FID,SHAPE,BEZIRK,KREUZUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AMPELOGD.fid-7d8850_14a347986c2_33f3,POINT (16.42715221458296 48.17936901825927),11,1.Haidequerstr.-Lautenschlägerg.,416,
AMPELOGD.fid-7d8850_14a347986c2_33f4,POINT (16.35983999451801 48.19223093193256),5,Margaretenstr.-Ziegelofeng.,419,
AMPELOGD.fid-7d8850_14a347986c2_33f5,POINT (16.324784981297356 48.19860452110636),15,Hütteldorfer Str.-Huglg.,420,
AMPELOGD.fid-7d8850_14a347986c2_33f6,POINT (16.406337550883592 48.28139643522793),21,Jedlersd. Str.-Strebersdf. Str./Bernr.pl.,423,
AMPELOGD.fid-7d8850_14a347986c2_33f7,POINT (16.327455264970055 48.227812856764984),18,Gersthofer Str.-Czartoryskig./Kreuzg.,424,
AMPELOGD.fid-7d8850_14a347986c2_33f8,POINT (16.2997359511927 48.18897544417735),14,Hadikg.-Badhaussteg,425,
AMPELOGD.fid-7d8850_14a347986c2_33f9,POINT (16.470766353903723 48.26033773668363),22,Herm. Gebauer-Str.-Rautenweg,429,
AMPELOGD.fid-7d8850_14a347986c2_33fa,POINT (16.39625839073802 48.18579135144198),3,Landstr. Gürtel-Landstr. Hptstr.,433,
AMPELOGD.fid-7d8850_14a347986c2_33fb,POINT (16.348470240908483 48.213218321025295),8,Laudong.-Ledererg.,435,
AMPELOGD.fid-7d8850_14a347986c2_33fc,POINT (16.306841945464125 48.214466950529335),16,Maroltingerg.-Sandleiteng.,436,
AMPELOGD.fid-7d8850_14a347986c2_33fd,POINT (16.324333132195193 48.180322905793936),12,Tivolig.-Aichholzg.,437,
AMPELOGD.fid-7d8850_14a347986c2_33fe,POINT (16.328679714578897 48.23036078948952),18,Gersthofer Str.-Währinger Str./Thimigg,439,
AMPELOGD.fid-7d8850_14a347986c2_33ff,POINT (16.418162060677876 48.1886253136706),3,Erdbergstr.-Modecenterstr.,445,
AMPELOGD.fid-7d8850_14a347986c2_3400,POINT (16.423649878371247 48.26212660255207),21,Leopoldauer Str.-Heinrich v. Buol-G.,447,
AMPELOGD.fid-7d8850_14a347986c2_3401,POINT (16.325193534981054 48.21060029711714),16,Thaliastr.-Panikeng./Feßtg.,449,
AMPELOGD.fid-7d8850_14a347986c2_3402,POINT (16.299450379108976 48.192623806830966),14,Ameisbrücke-Karlingerg.,450,
AMPELOGD.fid-7d8850_14a347986c2_3403,POINT (16.46345835223233 48.15086036510982),11,Etrichstr.-P. Hayse G. /Wopenkastr.,453,
AMPELOGD.fid-7d8850_14a347986c2_3404,POINT (16.381224715347752 48.19666266166105),3,Rennweg-Salesianerg.,457,
AMPELOGD.fid-7d8850_14a347986c2_3405,POINT (16.40318027904218 48.273842804075024),21,Trillerg.-Jedlersdorfer Str.,459,
AMPELOGD.fid-7d8850_14a347986c2_3406,POINT (16.34348387886998 48.23956076258073),19,Cottageg.-Chimanistr.,462,
AMPELOGD.fid-7d8850_14a347986c2_3407,POINT (16.325331550513592 48.17187463939007),12,Breitenfurter Str.-Zufahrt XXX Lutz,474,
AMPELOGD.fid-7d8850_14a347986c2_3408,POINT (16.34475407768346 48.221331185894066),9,Währinger Gürtel-Notusfahrt AKH,477,
AMPELOGD.fid-7d8850_14a347986c2_3409,POINT (16.31168154503643 48.211326674036656),16,Paltaufg.-Hasnerstr.,490,
AMPELOGD.fid-7d8850_14a347986c2_340a,POINT (16.35710212251433 48.1713283480959),10,Gußriegelstr.-Troststr.,493,
AMPELOGD.fid-7d8850_14a347986c2_340b,POINT (16.38290055376669 48.2420178230045),20,Engerthstr.-Stromstr.,498,
AMPELOGD.fid-7d8850_14a347986c2_340c,POINT (16.30735480861313 48.21653667693018),16,Sandleiteng.-Degeng.,499,
AMPELOGD.fid-7d8850_14a347986c2_340d,POINT (16.39688083525255 48.148427520879046),10,Laaer-Berg-Strasse-Alaudag.,501,
AMPELOGD.fid-7d8850_14a347986c2_340e,POINT (16.410222221074577 48.23512094847225),22,Donau City-L. Bernst. Donau City Str.,504,
AMPELOGD.fid-7d8850_14a347986c2_340f,POINT (16.45334030355093 48.15153366891135),11,Simmeringer Hptstr.-Pantucekg.,506,
AMPELOGD.fid-7d8850_14a347986c2_3410,POINT (16.365638534077792 48.196952633832474),4,Operng.-Schleifmühlg.,510,
AMPELOGD.fid-7d8850_14a347986c2_3411,POINT (16.386101928058093 48.20359043424549),3,Ungarg.-Beatrixg.,517,
AMPELOGD.fid-7d8850_14a347986c2_3412,POINT (16.366735883509534 48.191290587688385),4,Wiedner Hauptstr.-Gr. Neug.,523,
AMPELOGD.fid-7d8850_14a347986c2_3413,POINT (16.384198185880553 48.16181829252896),10,Altes Landgut-Abfahrt A23 Arsenal,525,
AMPELOGD.fid-7d8850_14a347986c2_3414,POINT (16.40239118471728 48.2029372784852),2,Schüttelstr.-Friedensg.,527,
AMPELOGD.fid-7d8850_14a347986c2_3415,POINT (16.381801940670403 48.2824506691034),21,Einzingerg.-Autokaderstr.,529,
AMPELOGD.fid-7d8850_14a347986c2_3416,POINT (16.371707915509646 48.171499034579604),10,Laxenburger Str.-Inzersdorfer Str.,531,
AMPELOGD.fid-7d8850_14a347986c2_3417,POINT (16.39059286217274 48.175957844341376),10,Absbergg.-Gudrunstr.,536,
AMPELOGD.fid-7d8850_14a347986c2_3418,POINT (16.396164288109482 48.201807210744555),3,Erdbergstr.-Wasserg.,540,
AMPELOGD.fid-7d8850_14a347986c2_3419,POINT (16.368537631150488 48.19617393977626),4,Favoritenstr.-Gußhausstr./Paulanerg.,543,
AMPELOGD.fid-7d8850_14a347986c2_341a,POINT (16.485858869048844 48.217529978040695),22,Siegesplatz-ON 7,545,
AMPELOGD.fid-7d8850_14a347986c2_341b,POINT (16.339695901517207 48.19660584647689),7,Neubaugürtel-ON 4,546,
AMPELOGD.fid-7d8850_14a347986c2_341c,POINT (16.38049231986101 48.228233283433525),2,Nordwestbahnstr.-Rauscherstr.,549,
AMPELOGD.fid-7d8850_14a347986c2_341d,POINT (16.410846108080246 48.25414653383161),21,Donaufelder Str.-Plankenbüchlerg.,221,
AMPELOGD.fid-7d8850_14a347986c2_341e,POINT (16.363329754042574 48.2023165638),1,Nibelungeng.-Eschenbachg.,222,
AMPELOGD.fid-7d8850_14a347986c2_341f,POINT (16.437341744655285 48.24373812072571),22,Wagramer Str.-Wintzingerodestr.,226,
AMPELOGD.fid-7d8850_14a347986c2_3420,POINT (16.272983992221093 48.17758575219331),13,Wolkersbergenstr.-Jagdschloßg.,233,
AMPELOGD.fid-7d8850_14a347986c2_3421,POINT (16.33914184365448 48.195754638722164),15,Mariahilfer Gürtel-Mariahilfer Str. 15.Bz,236,
AMPELOGD.fid-7d8850_14a347986c2_3422,POINT (16.361746960270583 48.21635383617811),9,Hörlg.-Wasag.,238,
AMPELOGD.fid-7d8850_14a347986c2_3423,POINT (16.379614922237277 48.173726631909794),10,Laaer-Berg-Strasse-Herndlg.,239,
AMPELOGD.fid-7d8850_14a347986c2_3424,POINT (16.227353148441605 48.2077041639183),14,Hauptstr.-Mauerbachstr.,240,
AMPELOGD.fid-7d8850_14a347986c2_3425,POINT (16.323912835083103 48.20683931263366),16,Herbststr.-Panikeng.,246,
AMPELOGD.fid-7d8850_14a347986c2_3426,POINT (16.42971009813662 48.1859544950527),3,Erdbergstr.-Ausfahrt A 4,247,
AMPELOGD.fid-7d8850_14a347986c2_3427,POINT (16.370717435877292 48.19303413729145),4,Favoritenstr.-Mayerhofg.,248,
AMPELOGD.fid-7d8850_14a347986c2_3428,POINT (16.420598858797213 48.29740013883876),21,Brünner Str.-Johann Weber Str.,250,
AMPELOGD.fid-7d8850_14a347986c2_3429,POINT (16.38145950609027 48.235237041947734),20,Dresdner Str.-Donaueschingenstr.,252,
AMPELOGD.fid-7d8850_14a347986c2_342a,POINT (16.45453035204963 48.265024114923975),21,Julius Ficker-Str.-Seyringer Str.,254,
AMPELOGD.fid-7d8850_14a347986c2_342b,POINT (16.39272484786967 48.235468020956276),20,Handelskai-Brigittenauer Br.,258,
AMPELOGD.fid-7d8850_14a347986c2_342c,POINT (16.341221724191463 48.2164974243152),17,Hernalser Gürtel-Hernalser Hptstr.,259,
AMPELOGD.fid-7d8850_14a347986c2_342d,POINT (16.358020884995046 48.20991639865262),1,Rathauspl.-Lichtenfelsg.,260,
AMPELOGD.fid-7d8850_14a347986c2_342e,POINT (16.341341755396968 48.21517992017444),9,Hernalser Gürtel-Alser Str.,262,
AMPELOGD.fid-7d8850_14a347986c2_342f,POINT (16.429626632301186 48.26395549934811),21,Josef Brazdovics Str.-,265,
AMPELOGD.fid-7d8850_14a347986c2_3430,POINT (16.30216445427262 48.12842738702044),23,Ketzerg.-Liesinger-Flur-G.,267,
AMPELOGD.fid-7d8850_14a347986c2_3431,POINT (16.36059807223804 48.2409837930737),19,Heiligenst. Str.-Rampeng.,268,
AMPELOGD.fid-7d8850_14a347986c2_3432,POINT (16.358501789158257 48.21152158715049),1,Rathauspl.-Felderstr.,271,
AMPELOGD.fid-7d8850_14a347986c2_3433,POINT (16.38649061089314 48.21854591069869),2,Novarag.-Zirkusg.,272,
AMPELOGD.fid-7d8850_14a347986c2_3434,POINT (16.444508737649556 48.22736965295067),22,Donaustadtstr.-Lange Allee,273,
AMPELOGD.fid-7d8850_14a347986c2_3435,POINT (16.388412822839932 48.22791699667318),2,Nordbahnstr.-Taborstr.,274,
AMPELOGD.fid-7d8850_14a347986c2_3436,POINT (16.32654588875929 48.21936875417051),17,Hernalser Hptstr.-Rosensteing.,277,
AMPELOGD.fid-7d8850_14a347986c2_3437,POINT (16.31212578392751 48.21259255620567),16,Thaliastr.-Paltaufg.,279,
AMPELOGD.fid-7d8850_14a347986c2_3438,POINT (16.306391566774174 48.19373817625071),14,Linzer Str.-Missindstr./Diesterweg,281,
AMPELOGD.fid-7d8850_14a347986c2_3439,POINT (16.430107161420132 48.2393296306636),22,Wagramer Str.-Erzherzog Karl-Str.,286,
AMPELOGD.fid-7d8850_14a347986c2_343a,POINT (16.337111496096593 48.180920468275325),12,Niederhofstr./Steinbg.-Aßmayerg.,288,
AMPELOGD.fid-7d8850_14a347986c2_343b,POINT (16.323495930253436 48.20559488150962),16,Gablenzg.-Panikeng.,291,
AMPELOGD.fid-7d8850_14a347986c2_343c,POINT (16.341172711186267 48.240463618869335),19,Krottenbachstr.-Obkircherg.,293,
AMPELOGD.fid-7d8850_14a347986c2_343d,POINT (16.326973835646886 48.18279484097405),12,Ruckerg.-Hufelandg.,296,
AMPELOGD.fid-7d8850_14a347986c2_343e,POINT (16.33080198111477 48.2264106668437),18,Kreuzg.-Paulineng.,304,
AMPELOGD.fid-7d8850_14a347986c2_343f,POINT (16.343952139007285 48.1907852158654),6,Gumpendorfer Str.-Sonnenuhrg.,310,
AMPELOGD.fid-7d8850_14a347986c2_3440,POINT (16.36274461005276 48.16356771805706),10,Neilreichg.-Sahulkastr.,311,
AMPELOGD.fid-7d8850_14a347986c2_3441,POINT (16.305690482260868 48.2108795463987),16,Maroltingerg.-Rankg.,317,
AMPELOGD.fid-7d8850_14a347986c2_3442,POINT (16.321249120899644 48.14801466338853),23,Altmannsdorfer Str.-ON 170,321,
AMPELOGD.fid-7d8850_14a347986c2_3443,POINT (16.398790225313768 48.22238101461857),2,Lassallestr.-Harkortstr.,324,
AMPELOGD.fid-7d8850_14a347986c2_3444,POINT (16.3805900542934 48.291074134541944),21,Prager Str.-Laresg.,331,
