FID,SHAPE,BEZIRK,STRNAM,GELTUNGSBEREICH,ZEITRAUM,DAUER,SE_SDO_ROWID,SE_ANNO_CAD_DATA,GUELTIG_VON
KURZPARKSTREIFENOGD.354978,"LINESTRING (16.314042103777933 48.213354946029646, 16.313669373995033 48.21340799110217)",16,Ottakringer Straﬂe,161 bis 165,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354978,,2012-09-30
KURZPARKSTREIFENOGD.354979,"LINESTRING (16.313422676384047 48.21353432269097, 16.312493594396337 48.21365868471826, 16.312430561541312 48.21366050414368)",16,Ottakringer Straﬂe,184 bis 188,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354979,,2012-09-30
KURZPARKSTREIFENOGD.354980,"LINESTRING (16.31234560412789 48.21366598148399, 16.31175090611212 48.213691499098935)",16,Ottakringer Straﬂe,190-192 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354980,,2012-09-30
KURZPARKSTREIFENOGD.354981,"LINESTRING (16.313400790734384 48.21345006475435, 16.312701924138246 48.21354333699231)",16,Ottakringer Straﬂe,167 bis 179,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354981,,2012-09-30
KURZPARKSTREIFENOGD.354982,"LINESTRING (16.31231002732038 48.21355974121331, 16.31122751261812 48.213603471190446)",16,Ottakringer Straﬂe,181-187 bis 193,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354982,,2012-09-30
KURZPARKSTREIFENOGD.354983,"LINESTRING (16.337615023342952 48.208751516931834, 16.336220784769264 48.208966873536276, 16.336050438118363 48.20898296245263)",16,Thaliastraﬂe,2 bis 18,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354983,,2012-09-30
KURZPARKSTREIFENOGD.354984,"LINESTRING (16.337011408331787 48.20874904818483, 16.336505927973707 48.20882949750315)",16,Thaliastraﬂe,7 bis 9,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354984,,2012-09-30
KURZPARKSTREIFENOGD.354985,"LINESTRING (16.336298549976018 48.208855488414756, 16.33553384303576 48.208974298610975)",16,Thaliastraﬂe,11 bis 15,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354985,,2012-09-30
KURZPARKSTREIFENOGD.354986,"LINESTRING (16.33505188346556 48.2091432243679, 16.333656308551298 48.20935355975872)",16,Thaliastraﬂe,"26-34, Hofferplatz 10-11 ","Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354986,,2012-09-30
KURZPARKSTREIFENOGD.354987,"LINESTRING (16.33476296836133 48.20910528827837, 16.334621089184196 48.20911735656666, 16.333991663398077 48.20921562780797)",16,Thaliastraﬂe,21 bis 25,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354987,,2012-09-30
KURZPARKSTREIFENOGD.354988,"LINESTRING (16.332900474800812 48.209474236683995, 16.33201307586821 48.209610421815135)",16,Thaliastraﬂe,36 bis 42,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354988,,2012-09-30
KURZPARKSTREIFENOGD.354989,"LINESTRING (16.332854047659787 48.20939319677692, 16.33210853031998 48.20950352325776)",16,Thaliastraﬂe,27 bis 31,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354989,,2012-09-30
KURZPARKSTREIFENOGD.354990,"LINESTRING (16.33183766010069 48.209625934367146, 16.33121080287225 48.20972246602843)",16,Thaliastraﬂe,44 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354990,,2012-09-30
KURZPARKSTREIFENOGD.354991,"LINESTRING (16.325612612824756 48.197499280728316, 16.3261940438374 48.197663735506374)",15,M‰rzstraﬂe,57 bis 61,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354991,,2012-09-30
KURZPARKSTREIFENOGD.354992,"LINESTRING (16.32597118292306 48.197704816199646, 16.326265743645862 48.19778190545063)",15,M‰rzstraﬂe,64 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354992,,2012-09-30
KURZPARKSTREIFENOGD.354993,"LINESTRING (16.336473857411015 48.18979028832464, 16.33562320490194 48.18922640975791)",15,Sechshauser Straﬂe,6 bis 16,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354993,,2012-09-30
KURZPARKSTREIFENOGD.354994,"LINESTRING (16.33613138428574 48.18948003244909, 16.335656346482796 48.189152538551)",15,Sechshauser Straﬂe,5 bis 9,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354994,,2012-09-30
KURZPARKSTREIFENOGD.354995,"LINESTRING (16.335181761754285 48.188934230329885, 16.334968140654375 48.188793398257786, 16.334747979379785 48.18865116839157, 16.334444996494465 48.18848319166579, 16.33426651320241 48.18840130924448)",15,Sechshauser Straﬂe,20 bis 30,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354995,,2012-09-30
KURZPARKSTREIFENOGD.354996,"LINESTRING (16.335205133105042 48.188845430450506, 16.334922088214785 48.188658132102084, 16.334432660402747 48.18837028064048, 16.334270501880315 48.18827564495898, 16.334031685439204 48.18818495124726, 16.333748644043848 48.18809622567293, 16.333592382143404 48.188062706995)",15,Sechshauser Straﬂe,13 bis 25,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354996,,2012-09-30
KURZPARKSTREIFENOGD.354997,"LINESTRING (16.331723131905218 48.18778663672755, 16.331050438401054 48.187580055643714)",15,Sechshauser Straﬂe,48 bis 50,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354997,,2012-09-30
KURZPARKSTREIFENOGD.354998,"LINESTRING (16.33218095493795 48.187813452819974, 16.33108640657975 48.187469623962144)",15,Sechshauser Straﬂe,33 bis 39,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354998,,2012-09-30
KURZPARKSTREIFENOGD.354999,"LINESTRING (16.330802822008586 48.18738865448849, 16.33042304844318 48.18729215511557)",15,Sechshauser Straﬂe,41 bis 43,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",354999,,2012-09-30
KURZPARKSTREIFENOGD.355000,"LINESTRING (16.33020248535663 48.18719898906185, 16.329948754683898 48.1871213464805, 16.329885735088922 48.187106925877146, 16.329564012411378 48.187008208810305, 16.32935339843071 48.1869593995705, 16.329212434902946 48.186932775863355, 16.329005136244465 48.18689949408425, 16.328822711037894 48.18688062961466)",15,Sechshauser Straﬂe,45 bis 53,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355000,,2012-09-30
KURZPARKSTREIFENOGD.355001,"LINESTRING (16.335487537860836 48.194235224131376, 16.335385213933872 48.194181128366985)",15,Mariahilfer Straﬂe,149 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355001,,2012-09-30
KURZPARKSTREIFENOGD.355002,"LINESTRING (16.335237674875756 48.19428772717673, 16.33494498407492 48.19411271145641)",15,Mariahilfer Straﬂe,146 bis 148,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355002,,2012-09-30
KURZPARKSTREIFENOGD.355003,"LINESTRING (16.3347593763062 48.19398383584916, 16.334530936832802 48.193826320536395)",15,Mariahilfer Straﬂe,150 bis 152,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355003,,2012-09-30
KURZPARKSTREIFENOGD.355004,"LINESTRING (16.33520198363758 48.194068164707495, 16.33501637535325 48.19394088018634)",15,Mariahilfer Straﬂe,151 bis 153,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355004,,2012-09-30
KURZPARKSTREIFENOGD.355005,"LINESTRING (16.334933090149523 48.193888375983, 16.334473833371206 48.1935717548794, 16.334354857610876 48.193490609788235, 16.3340788309325 48.193275816281435)",15,Mariahilfer Straﬂe,153 bis 163,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355005,,2012-09-30
KURZPARKSTREIFENOGD.355006,"LINESTRING (16.33429298102064 48.193662440807024, 16.333997918736376 48.19342537178669, 16.333726656222048 48.193191484951896, 16.333536298109944 48.193000557539165)",15,Mariahilfer Straﬂe,154 bis 160,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355006,,2012-09-30
KURZPARKSTREIFENOGD.355007,"LINESTRING (16.333919405169848 48.19313262032164, 16.33367907878889 48.19289714325991)",15,Mariahilfer Straﬂe,165 bis 167,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355007,,2012-09-30
KURZPARKSTREIFENOGD.355008,"LINESTRING (16.333336422185237 48.1928366766331, 16.332791535510946 48.192300483292605)",15,Mariahilfer Straﬂe,162 bis 164,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355008,,2012-09-30
KURZPARKSTREIFENOGD.355009,"LINESTRING (16.333412579702294 48.192640980724626, 16.33329360594677 48.192531196795365)",15,Mariahilfer Straﬂe,169 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355009,,2012-09-30
KURZPARKSTREIFENOGD.355010,"LINESTRING (16.33309135694374 48.19233867654108, 16.332693996257465 48.19196636503252)",15,Mariahilfer Straﬂe,173-175 bis 179,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355010,,2012-09-30
KURZPARKSTREIFENOGD.355011,"LINESTRING (16.331263924669607 48.19168788255687, 16.33100218161683 48.19165445935947)",15,Mariahilfer Straﬂe,172 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355011,,2012-09-30
KURZPARKSTREIFENOGD.355012,"LINESTRING (16.3305596101438 48.19147783503838, 16.33007895518236 48.191442808397376)",15,Mariahilfer Straﬂe,191 bis 193,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355012,,2012-09-30
