FID,OBJECTID,SHAPE,ADRESSE,ZEITRAUM,AUSN_TEXT,WEBLINK1,SE_ANNO_CAD_DATA
FUSSGEHERZONEOGD.13973,13973,"POLYGON ((16.336441282798422 48.21244065024616, 16.336412017283156 48.21246307031546, 16.336650671826366 48.213149832732604, 16.33668669283446 48.213164878111364, 16.33673171728566 48.21329880412876, 16.33670695905454 48.2133198662745, 16.33692084806984 48.213938307069256, 16.336713721877558 48.213944333871986, 16.336495327390043 48.2132938320624, 16.336004517133404 48.21324116891235, 16.336051800431637 48.21310273706754, 16.336387250200733 48.213146371434085, 16.336434533143663 48.213110254718174, 16.336213898679627 48.212461721790866, 16.336184632967555 48.212451190826016, 16.336441282798422 48.21244065024616))","16., Brunnengasse",,,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13974,13974,"POLYGON ((16.400189019713064 48.25874011037518, 16.400188399820138 48.25873980495559, 16.399924582731884 48.25830758161484, 16.40004241079301 48.25827583341686, 16.400102839413282 48.25837279933568, 16.400256225360778 48.258623549296615, 16.400559923663256 48.259119123845245, 16.40066875113182 48.25923251965892, 16.400526471599214 48.25929189101457, 16.40049578484991 48.25923261672627, 16.400189019713064 48.25874011037518))","21., Pius-Parsch-Platz",Mo.-Fr. (werkt.) von 8-10.30h,ausgen. Fahrräder sowie Ladetätigkeit mit Lastfahrzeugen,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13976,13976,"POLYGON ((16.328516096459 48.18310100958096, 16.328545348425752 48.183080470988386, 16.328387485455078 48.18262474729036, 16.328375792839708 48.18257878217651, 16.328355326665697 48.18257095670885, 16.328533726930747 48.18254652495082, 16.32851617587685 48.1825592312177, 16.328581948417575 48.18274406411124, 16.328638956878855 48.18290542410044, 16.32867696915797 48.18303060312917, 16.328682817261125 48.18304233965193, 16.328693049205775 48.18305505671569, 16.32870328115678 48.18306776478531, 16.32871644431269 48.183083413822914, 16.32873544451836 48.183094170920825, 16.32851756212697 48.18310198094438, 16.328516096459 48.18310100958096))","12., Theresienbadgasse",,,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13977,13977,"MULTIPOLYGON (((16.325578617256312 48.18169166817385, 16.325606597818222 48.18151055628452, 16.326069824430615 48.18148721507467, 16.326076811850367 48.181514105406215, 16.3260907973583 48.18151293750052, 16.32609079554613 48.18152229044814, 16.32632154127032 48.18151178814607, 16.326321543261784 48.18150126607995, 16.326333780379976 48.181501267115195, 16.326333784799882 48.18147788474597, 16.32686342693267 48.181456884170935, 16.32686339204076 48.181652108965274, 16.326840668830023 48.18163573948838, 16.325578617256312 48.18169166817385)), ((16.32557685562617 48.18169174895229, 16.325578617256312 48.18169166817385, 16.32557860379239 48.18169174911159, 16.32557685562617 48.18169174895229)))","12., Rosasgasse",,,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13978,13978,"POLYGON ((16.367084667820357 48.21251660071473, 16.367006134463697 48.2124379316451, 16.367019590392662 48.212438674454575, 16.36702743313075 48.21243567761602, 16.367044247502033 48.212427426347254, 16.367402876476064 48.212141058501906, 16.36760591177217 48.212283391829835, 16.367084667820357 48.21251660071473))","1., Wächtergasse",(werkt.) von 6-10.30h,Zufahrt zur und auf die Dauer einer Ladetätigkeit gestattet,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13979,13979,"POLYGON ((16.355328853682185 48.20316486521896, 16.355245463077235 48.203393944580945, 16.35517526567207 48.20364944365472, 16.35514454335757 48.20373461421471, 16.355118228866388 48.20384328322389, 16.355056810872473 48.204087035651256, 16.354977742627035 48.20407824436817, 16.355122464548725 48.203402769377625, 16.355183906237567 48.20326179999221, 16.35524535555584 48.20310614469804, 16.355373779029836 48.202746949752736, 16.35550936388468 48.20277015538446, 16.355469311401095 48.202865296569115, 16.35540788406992 48.203076745706475, 16.35536835686495 48.20307087980479, 16.355328853682185 48.20316486521896))","7., Spittelberggasse",(werkt.) von 6-10.30h,ausgen. Zufahrt zur Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13975,13975,"POLYGON ((16.399860440268647 48.257347082251385, 16.39991029367872 48.25741004225008, 16.399822993245554 48.25743807722715, 16.399793291077465 48.257421771219136, 16.399767935939114 48.25740311559559, 16.39974956817223 48.25738272042759, 16.399731204027418 48.25736523002595, 16.3997748624056 48.25735238167888, 16.399287648221986 48.256668032863246, 16.399169259972226 48.256526519512406, 16.39892501539007 48.25625784051614, 16.399011967241726 48.2562213438967, 16.399114466535416 48.25635454751286, 16.399415135801956 48.25672913375721, 16.39986108735706 48.257347612485226, 16.399860440268647 48.257347082251385))","21., Franz-Jonas-Platz",von 4-6h u. 9-11h,ausgen. Zufahrt zur Ladetätigkeit mit Lastfahrzeugen,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13980,13980,"POLYGON ((16.35553288553154 48.20405935588532, 16.355491349377516 48.20418608586429, 16.355420418239362 48.20417219437463, 16.355448498626398 48.20407408300209, 16.355420378786626 48.20406754969853, 16.355441140356703 48.20400459391372, 16.355468047517693 48.20400622613204, 16.35550346421963 48.203884407471435, 16.35547655588358 48.20387950174268, 16.355525422093255 48.20371271487904, 16.35555232910404 48.20371434707775, 16.355584079841034 48.20361133375619, 16.35568423258769 48.20324333357153, 16.355698901762192 48.20322208016975, 16.35573065002055 48.20311415652025, 16.355692737169377 48.20310843434472, 16.35574038494796 48.202995606687026, 16.355753809581703 48.202921617451835, 16.355746476448573 48.20291834518885, 16.355773457239625 48.20281535599996, 16.355872102205986 48.2028322399292, 16.35580401921041 48.20306958270606, 16.355794226350696 48.20307203952767, 16.35577957923539 48.20315052556793, 16.355753931228385 48.203238825055706, 16.355751502491838 48.203255175081914, 16.35575150230562 48.203254689449935, 16.355655010909235 48.20359169855528, 16.35559882817018 48.2037977329767, 16.355562191545385 48.203930181818784, 16.35556952387847 48.2039309989539, 16.35553288553154 48.20405935588532))","7., Gutenberggasse",Mo.-Sa. (werkt.) von 6-10.30h,Zufahrt zur Ladetätigkeit mit Lastfahrzeugen gestattet,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13981,13981,"POLYGON ((16.348182497554998 48.19541286535007, 16.348204393346016 48.19540240394937, 16.348251344357692 48.19543168981974, 16.348176261585888 48.195492365869974, 16.34766615332315 48.195235087190696, 16.347822565684876 48.19507816696537, 16.348582783272924 48.194406519542085, 16.348686055549127 48.1944504400147, 16.34844204075046 48.19465549351115, 16.348470198379925 48.19467640865224, 16.34843266669301 48.194716171629736, 16.348398243478698 48.194705707249, 16.348370083444014 48.194730819279194, 16.34837947413922 48.194739181946915, 16.348307514129676 48.19480404858563, 16.348382618831735 48.19483960865293, 16.348329446077923 48.19488982336819, 16.34830753707983 48.194900284795075, 16.348282503483055 48.19489401020887, 16.34826686109813 48.19489820270219, 16.348248088623357 48.194919122873614, 16.348226193047136 48.194929584283514, 16.348172997221013 48.194940048993615, 16.348116675853277 48.1949295958289, 16.34779756266425 48.1952057919891, 16.347803821668816 48.19522461411171, 16.347822602102756 48.19523716669397, 16.348182497554998 48.19541286535007))","6., Loquaiplatz",Mo.-Fr. (werkt.) von 6-10.30h,Zufahrt zur Ladtetätigkeit gestattet sowie zum genehmigten Einstellplatz,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
FUSSGEHERZONEOGD.13982,13982,"POLYGON ((16.351839915577713 48.19389428843718, 16.35195255470664 48.19381895486672, 16.352141123620466 48.19396342236769, 16.35211814079606 48.19397725712253, 16.35225841068207 48.19408330322667, 16.352283695037897 48.19407408163033, 16.352384881476116 48.19414938534228, 16.35233891529537 48.19417552610013, 16.352543576151458 48.19432767983611, 16.352566561486004 48.19432152518852, 16.352683863310492 48.19443986776689, 16.352720655648344 48.194453702970925, 16.35275054326146 48.19445369863356, 16.35270458944444 48.19455977108302, 16.352612601068493 48.194481381666115, 16.352626398594037 48.19447216164915, 16.35252060805091 48.19438763179175, 16.352502210370474 48.19439685245449, 16.351839915577713 48.19389428843718))","6., Magdalenstraße",Mo.-Fr. (werkt.) von 6-10.30h,ausgen. Fahrräder Zufahrt zum genehmigten Einstellplatz sowie Ladetätigkeit,http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
