FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.1211,1211,POINT (16.40510993731542 48.253536252505896),Schulsport outdoor,"21., Franklinstraﬂe 26",3892,Rasenfl‰che 2128 m≤<br />Hartplatz 1764 m≤,,
SPORTSTAETTENOGD.1212,1212,POINT (16.403768567074803 48.254559116723556),Schulsport outdoor,"21., Franklinstraﬂe 27-33",903,Rasenfl‰che 903 m≤,,
SPORTSTAETTENOGD.1213,1213,POINT (16.403782045471935 48.25456810188989),Turnsaal,"21., Franklinstraﬂe 27-33",200,Turnsaal 200 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1214,1214,POINT (16.424926336646447 48.2854571668693),Turnsaal,"21., Gerasdorferstraﬂe 103",1288,3-fach Halle 1288 m≤,,
SPORTSTAETTENOGD.1215,1215,POINT (16.425695413308404 48.28723280627625),Schulsport outdoor,"21., Gerasdorferstraﬂe 103",8640,"4 Basketballpl‰tze,<br />Mehrzweckfeld,<br />Hochsprunganlage,<br />Beachvolleyballfeld gesamt 8640 m≤",,
SPORTSTAETTENOGD.1216,1216,POINT (16.410285787823724 48.284664109771526),Turnsaal,"21., Hanreitergasse 2",1215,Turnsaal 405 m≤<br />Turnsaal 405 m≤<br />Turnsaal 405 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1217,1217,POINT (16.450057124632746 48.273660647143835),Turnsaal,"21., Herchenhahngasse 6",288,Turnsaal 288 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1218,1218,POINT (16.45175892385162 48.273633317149844),Schulsport outdoor,"21., Herzmanovsky-Orlando-Gasse 11",4284,Rasenfl‰che 4284 m≤,,
SPORTSTAETTENOGD.1219,1219,POINT (16.451772415671307 48.27364229664981),Turnsaal,"21., Herzmanovsky-Orlando-Gasse 11",288,Turnsaal 288 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1220,1220,POINT (16.388705007614504 48.29032032544436),Schulsport outdoor,"21., Iren‰usgasse 2",2903,Rasenfl‰che 2903 m≤,,
SPORTSTAETTENOGD.1221,1221,POINT (16.388718492785593 48.29032931231763),Turnsaal,"21., Iren‰usgasse 2",461,Turnsaal 173 m≤<br />Turnsaal 288 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1222,1222,POINT (16.401733397982035 48.28001909054181),Turnsaal,"21., Jochbergengasse 1",576,Turnsaal 288 m≤<br />Turnsaal 288 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1223,1223,POINT (16.401746882723636 48.280028075903765),Schulsport outdoor,"21., Jochbergengasse 1",5519,Rasenfl‰che 5519 m≤,,
