FID,OBJECTID,SHAPE,ADRESSE,WEBLINK1,SE_ANNO_CAD_DATA
WOHNSTRASSEOGD.12475,12475,"POLYGON ((16.368194575276252 48.199191135754376, 16.368133624606067 48.19908404387041, 16.368864103895287 48.1988674615136, 16.36894747612479 48.19896812546216, 16.368194575276252 48.199191135754376))","4., Resselgasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12476,12476,"POLYGON ((16.36723272291497 48.19361593412308, 16.367232723804342 48.193617400014425, 16.367226082041906 48.19355551061284, 16.36737593083272 48.19352747404901, 16.36771965423374 48.19336676132339, 16.36786062920603 48.193237040452445, 16.367946467846696 48.193060183363585, 16.367968496590045 48.19303365630046, 16.36809620329278 48.192831732403555, 16.368272348742586 48.19257380311868, 16.368263528648416 48.19255759084775, 16.3684288413362 48.19259291467155, 16.367970853460402 48.19327679582128, 16.367748341937393 48.193428644622294, 16.367342917884873 48.19360705487373, 16.36723272291497 48.19361593412308))","4., Schlüsselgasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12477,12477,"MULTIPOLYGON (((16.36812219122993 48.19085162874321, 16.36821739465682 48.1907315248795, 16.369104119862968 48.1910560629335, 16.36899708575572 48.19118205247105, 16.36812219122993 48.19085162874321)), ((16.36812143786008 48.19085134117082, 16.36812219122993 48.19085162874321, 16.368121438628815 48.19085257323962, 16.36812143786008 48.19085134117082)))","4., Waltergasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12478,12478,"POLYGON ((16.39716006719752 48.218892610292286, 16.39717464026361 48.21872215516977, 16.399000684552977 48.21871622364738, 16.399008288900593 48.218881729615084, 16.397163754460564 48.218892608332425, 16.39716006719752 48.218892610292286))","2., Stuwerstraße",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12516,12516,"MULTIPOLYGON (((16.296117070646623 48.22258455017387, 16.296831930305537 48.222579832018056, 16.297151289049406 48.22258366367599, 16.297336969093013 48.22258620845774, 16.29743722475101 48.22259617061441, 16.297793710548188 48.22262358400942, 16.298066638716914 48.222646004503225, 16.298514082400807 48.222700748895456, 16.298831554213997 48.222746762158195, 16.299150891939885 48.22280021248151, 16.29947392161233 48.22286731470021, 16.299826653013593 48.22295552331193, 16.30026847507858 48.22308842759712, 16.300416976112473 48.22314306216165, 16.300632298288594 48.22323618984949, 16.300843908295505 48.22334668177547, 16.30102579391524 48.22345095898284, 16.300908776435644 48.223505520710496, 16.30089208563613 48.22348938189072, 16.300830839448185 48.22344593520808, 16.30061553058823 48.22333171895452, 16.300398356822015 48.223229912269325, 16.30016445659465 48.22314546573279, 16.300015936273134 48.223099509229684, 16.2998043066078 48.2230398900415, 16.299546263489887 48.22297529151518, 16.299358753954323 48.222931803886645, 16.299245508187227 48.222905705529804, 16.299111831172908 48.22288209160276, 16.298779509418047 48.22282367274225, 16.298486179349116 48.22278014933718, 16.298293086055462 48.22275526498142, 16.29802758979656 48.222727883262365, 16.2977286637328 48.222700489792544, 16.2975541359242 48.222685538824656, 16.297422306282602 48.22267681621493, 16.297227359803685 48.22266558105507, 16.297127099346458 48.22266182399064, 16.29709180546544 48.2226704994243, 16.29677987983602 48.22266046486357, 16.29665918898875 48.22265794146646, 16.296271125937857 48.22265408469167, 16.29624508052636 48.222711155230236, 16.296248720917163 48.22280669077151, 16.29627466639615 48.22287866297219, 16.29632659115328 48.22296181364246, 16.29636925194327 48.22301641681991, 16.296478712201164 48.223133086760946, 16.29667727595062 48.22329073297252, 16.29679233961316 48.223367699754974, 16.296957528461075 48.22345461191683, 16.29715056233956 48.223542765326236, 16.29727307787173 48.223591198869904, 16.297412321127585 48.22362350418847, 16.29751813943056 48.22364836080347, 16.29763882151277 48.22366576696383, 16.29771678477511 48.22368564986594, 16.297820735930838 48.2237241481928, 16.297902403376696 48.22377628164699, 16.298000749025956 48.22386068799576, 16.298061961177066 48.22394756410612, 16.298095312575885 48.22403690410561, 16.29809711389695 48.22411259107149, 16.29809893907067 48.22415601960681, 16.29811562433251 48.224196970935616, 16.298175029224872 48.22421684740046, 16.298192657053786 48.2242207742205, 16.297941054479185 48.224231653752895, 16.2979689569723 48.22417335139864, 16.297978282944054 48.224119998114155, 16.297974614397074 48.2240579621337, 16.297959804977367 48.22399219929688, 16.297896741209293 48.2238978761879, 16.29780396099001 48.223822158987886, 16.297750136825268 48.22379112368631, 16.297583055748543 48.22374763997147, 16.297336139181457 48.22368676338044, 16.297161638211357 48.22363210705746, 16.297098522686007 48.2236085146376, 16.296859072389076 48.223500488446625, 16.29664749045484 48.22338130181224, 16.29643223043712 48.22321620346837, 16.29633019907393 48.22309953605147, 16.29620035487675 48.2229245472928, 16.296185567329527 48.22283396311558, 16.296159655699466 48.222735937737156, 16.296117070646623 48.22258455017387)), ((16.298192657053786 48.2242207742205, 16.298197313870226 48.22422056891125, 16.298197312955132 48.224221809965925, 16.298192657053786 48.2242207742205)))","16., Steinmüllergasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12517,12517,"POLYGON ((16.299373642957836 48.206835964440224, 16.2993824958559 48.20700537178452, 16.299384608314487 48.207174767980376, 16.299373241555557 48.20739813693022, 16.299361906213502 48.207558544638644, 16.299343807854093 48.20778790987197, 16.29932795132664 48.20800527891033, 16.299280849912147 48.2080022601341, 16.29929895779114 48.20777889337209, 16.29931476290461 48.20763348772572, 16.299326066734647 48.207498566681856, 16.299330632236433 48.20739812332873, 16.299342003460918 48.2071687649273, 16.299342062388316 48.20708630648718, 16.299326539398077 48.20683744227113, 16.29930651183269 48.20662291256333, 16.299255097959662 48.206387535604314, 16.29918577803773 48.206095172079536, 16.299089610740168 48.20572035937749, 16.299015796697855 48.2054500455527, 16.29906738230271 48.20544406370675, 16.299134458219587 48.205730419170614, 16.299219453225312 48.206057258629855, 16.29928653078879 48.20634361397471, 16.299344634236757 48.2066314682622, 16.29937588913561 48.20683686447477, 16.299373642957836 48.206835964440224))","16., Anton-Geiger-Weg",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12518,12518,"POLYGON ((16.30832148605495 48.214146422686106, 16.308318781413593 48.21414642203375, 16.308154051727428 48.214175250250136, 16.308019236817422 48.21380525650649, 16.308467527978017 48.21373678303031, 16.308311154709784 48.21326932545147, 16.308478583088903 48.21324591154083, 16.30863765090252 48.21370975428249, 16.308586335202403 48.21372598369792, 16.308586332307115 48.21373139758473, 16.308591729000746 48.21375486205057, 16.308564704807814 48.21378914654455, 16.308534986593592 48.21380357347131, 16.308510680509272 48.21381259679268, 16.308483683252813 48.21382161047046, 16.30848907226428 48.21383424716416, 16.308421556522344 48.21384866499405, 16.30835404463231 48.213855870264155, 16.308302718944308 48.213890148839084, 16.30828110765152 48.21391721305776, 16.3082864800389 48.2139605254536, 16.30834039552929 48.21413920573145, 16.30832148605495 48.214146422686106))","16., Johannes-Krawarik-Gasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12519,12519,"POLYGON ((16.31128010055588 48.21318634000582, 16.31128253603322 48.21318634053053, 16.311448353031675 48.213236908752236, 16.311380011376514 48.21334937167504, 16.311260422223928 48.21353354403824, 16.31121648295302 48.21360199055637, 16.311004306629513 48.213585648907, 16.311021386832056 48.213548160105944, 16.311106805663446 48.2134340733429, 16.311201991337033 48.21329553619849, 16.31128010055588 48.21318634000582))","16., Weinheimergasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12520,12520,"POLYGON ((16.325387793817285 48.21535253095159, 16.325384739249788 48.21535253066825, 16.325433553499504 48.21524657770517, 16.326470122823387 48.21526500582437, 16.326488403554023 48.21537096482728, 16.325387793817285 48.21535253095159))","17., Lorenz-Bayer-Platz (Nord)",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12521,12521,"MULTIPOLYGON (((16.31872343620673 48.221387075144044, 16.318902096371723 48.22132426674596, 16.319452171327292 48.2220305800151, 16.31924345435918 48.222103403245484, 16.319262262052973 48.222082460934516, 16.31872343620673 48.221387075144044)), ((16.319452171327292 48.2220305800151, 16.319453449982113 48.22203013054193, 16.31945344930472 48.22203222594705, 16.319452171327292 48.2220305800151)))","17., Redtenbachergasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12522,12522,"POLYGON ((16.31610243854208 48.224691022786516, 16.316185705451563 48.22483536828628, 16.315773699559106 48.2249559214979, 16.315659580078812 48.22482702946189, 16.31610243854208 48.224691022786516))","17., Halirschgasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12523,12523,"MULTIPOLYGON (((16.329706500219586 48.22282371120498, 16.32973185431455 48.22283312843357, 16.330396897869026 48.22265333594818, 16.330410990835666 48.22263262540575, 16.330506782343782 48.22279080166236, 16.330367301307707 48.22279361870248, 16.329836102606595 48.22293576398947, 16.329816385039617 48.22294611404219, 16.329805105206315 48.222961176962784, 16.32980128120001 48.22297651008238, 16.329706500219586 48.22282371120498)), ((16.32980128120001 48.22297651008238, 16.329802290371187 48.22297812890492, 16.32980087725566 48.22297812882812, 16.32980128120001 48.22297651008238)))","17., Diepoldplatz (Süd)",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12524,12524,"POLYGON ((16.325930444437283 48.23528428770102, 16.32616221140954 48.23521007853263, 16.32644784577294 48.23566396824502, 16.326197030645037 48.23572968683421, 16.325927267949012 48.23528216504162, 16.325930444437283 48.23528428770102))","18., Alseggerstraße",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12525,12525,"POLYGON ((16.343991731011602 48.22505082914615, 16.34397268944755 48.2250678005348, 16.344153683861872 48.22558315837721, 16.34417590622688 48.225593759732526, 16.344401366720955 48.226234244659395, 16.34417601499104 48.22628091726102, 16.344188702559563 48.22625334336989, 16.343798117071167 48.22507841535492, 16.343775894687887 48.225065691542156, 16.343991731011602 48.22505082914615))","18., Maynollogasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12526,12526,"POLYGON ((16.33908618630842 48.22541441355644, 16.338805768182777 48.22512038057722, 16.338789389036098 48.22512448184516, 16.33853967600801 48.22488105192666, 16.33870545690296 48.22480582950416, 16.338697275057314 48.22482634307013, 16.339204889444957 48.225346026448165, 16.339256059960345 48.225344658074214, 16.33908618630842 48.22541441355644))","18., Leitermayergasse",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
WOHNSTRASSEOGD.12527,12527,"POLYGON ((16.328947844394953 48.234910237392626, 16.328947844158463 48.23491194608833, 16.328817375813507 48.23491706404221, 16.32869457944545 48.23492902611495, 16.328546191938397 48.23494781217875, 16.328425938366028 48.23496831760876, 16.328190570570083 48.23502641539916, 16.328124055668866 48.23504008039832, 16.327944956754333 48.23509304647038, 16.32787844006738 48.23511697249402, 16.32763795170068 48.235198990526044, 16.327573977819164 48.23522975134148, 16.327300218714115 48.23534937549649, 16.327062282128807 48.23545361455028, 16.327041808366555 48.23544676917283, 16.327008575894663 48.23534764423712, 16.327254183079404 48.23525536674866, 16.32733350324265 48.23522460727571, 16.327607260759656 48.23511011811878, 16.327942414205317 48.234997341349114, 16.328231523362174 48.234917025696525, 16.32840549055215 48.23487772840093, 16.328625507776263 48.234845268607536, 16.328830177102947 48.234824777293284, 16.328947844394953 48.234910237392626))","18., Türkenschanzplatz (Nord)",http://www.wien.gv.at/verkehr/verkehrssicherheit/massnahmen/index.html,
