FID,OBJECTID,SHAPE,DIRECTION_NAME,SE_ANNO_CAD_DATA
EINBAHNOGD.1632561,1632561,"LINESTRING (16.343956821756038 48.19226007839189, 16.342878467211946 48.19363912805065)",in Richtung,
EINBAHNOGD.1632562,1632562,"LINESTRING (16.42088329400435 48.17854538470892, 16.421013221001036 48.1780231897858)",in Richtung,
EINBAHNOGD.1632563,1632563,"LINESTRING (16.384819276676197 48.161265460217834, 16.38478337550474 48.16139032694647, 16.384726671372185 48.16150698264077, 16.38464568644403 48.16160095410412, 16.38457223604021 48.16166548292391, 16.384470427679794 48.1617270738581, 16.384349189683125 48.161788671967194, 16.38417155456506 48.161846078433726)",in Richtung,
EINBAHNOGD.1632564,1632564,"LINESTRING (16.424781060828177 48.168641947529586, 16.426397805443944 48.17013461990005)",in Richtung,
EINBAHNOGD.1632565,1632565,"LINESTRING (16.414933553458276 48.169002673544604, 16.41396241032466 48.168576156970104)",gegen Richtung,
EINBAHNOGD.1632566,1632566,"LINESTRING (16.321984465044505 48.183383754080346, 16.321854517174184 48.18257434859638)",in Richtung,
EINBAHNOGD.1632567,1632567,"LINESTRING (16.381233213244148 48.17075198714176, 16.380554592144726 48.17052559443016)",gegen Richtung,
EINBAHNOGD.1632568,1632568,"LINESTRING (16.33299611705011 48.17903066172314, 16.333082727419136 48.17821691755823)",in Richtung,
EINBAHNOGD.1632569,1632569,"LINESTRING (16.33232977410949 48.178946962832626, 16.332404101359824 48.178181417054546)",gegen Richtung,
EINBAHNOGD.1632570,1632570,"LINESTRING (16.366570871439812 48.15820561624157, 16.366739794715247 48.15814219669605, 16.366777068510952 48.15813509106055, 16.366976827873525 48.15801067695351)",gegen Richtung,
EINBAHNOGD.1632571,1632571,"LINESTRING (16.41001369985604 48.17803065274014, 16.41121325356427 48.17693888398137)",gegen Richtung,
EINBAHNOGD.1632572,1632572,"LINESTRING (16.309827323810246 48.17195123425843, 16.30814892649947 48.17058007307869, 16.30807281496477 48.170509724770845, 16.30801130645613 48.17043305683035)",in Richtung,
EINBAHNOGD.1632573,1632573,"LINESTRING (16.30801130645613 48.17043305683035, 16.307795014385412 48.17047677574459, 16.307601510484023 48.17053005520785, 16.30451480907109 48.17126381368993)",in Richtung,
EINBAHNOGD.1632574,1632574,"LINESTRING (16.25786379254912 48.16399784348623, 16.257605791001154 48.16404221215516)",gegen Richtung,
EINBAHNOGD.1632575,1632575,"LINESTRING (16.24961400994589 48.20623531374253, 16.248970466823433 48.206276983637814)",gegen Richtung,
EINBAHNOGD.1632576,1632576,"LINESTRING (16.407667293592805 48.1613609233827, 16.410301240737795 48.159851126057085)",gegen Richtung,
EINBAHNOGD.1632577,1632577,"LINESTRING (16.336613496866498 48.178837346696206, 16.336733043332316 48.17853607306637, 16.337013842004932 48.178314683071996)",gegen Richtung,
EINBAHNOGD.1632578,1632578,"LINESTRING (16.412378986177917 48.17581396242253, 16.413368351598667 48.17626127643409)",gegen Richtung,
EINBAHNOGD.1632579,1632579,"LINESTRING (16.411791059845363 48.17639610072738, 16.412378986177917 48.17581396242253)",gegen Richtung,
EINBAHNOGD.1632580,1632580,"LINESTRING (16.31149764810986 48.171274862286744, 16.309827323810246 48.17195123425843)",gegen Richtung,
EINBAHNOGD.1632581,1632581,"LINESTRING (16.32951491849447 48.18371401595224, 16.329609734261414 48.18330967822592)",gegen Richtung,
EINBAHNOGD.1632582,1632582,"LINESTRING (16.280266559336937 48.17405964962894, 16.27977879262596 48.174589098795316)",gegen Richtung,
EINBAHNOGD.1632583,1632583,"LINESTRING (16.27699407220211 48.16106397508728, 16.27652772228989 48.16149484852572)",gegen Richtung,
EINBAHNOGD.1632584,1632584,"LINESTRING (16.396784521992533 48.15298772061928, 16.396654010146126 48.15298940559112, 16.396531355569746 48.15297647222674, 16.396466984674397 48.15297158766134, 16.396401367900182 48.15297815663592, 16.39634058898844 48.15299118649463, 16.396270166524616 48.1530188354278, 16.39623260398424 48.153042462418, 16.396176686180834 48.15308310166322, 16.396077212708274 48.1531392914034, 16.396056540531188 48.15315068407131)",in Richtung,
EINBAHNOGD.1632585,1632585,"LINESTRING (16.328958799129968 48.17704073256205, 16.327714373261056 48.177165500188416)",in Richtung,
EINBAHNOGD.1632586,1632586,"LINESTRING (16.334821005693946 48.18263423676814, 16.33442157088926 48.18249877145899)",in Richtung,
EINBAHNOGD.1632587,1632587,"LINESTRING (16.329609734261414 48.18330967822592, 16.32983308934675 48.18248997320211)",gegen Richtung,
EINBAHNOGD.1632588,1632588,"LINESTRING (16.365443434938854 48.15885820162384, 16.365382394867563 48.15880685763669, 16.364607493556527 48.15744253662579)",in Richtung,
EINBAHNOGD.1632589,1632589,"LINESTRING (16.426601910611446 48.15869118502596, 16.42541423418644 48.15754153971017)",gegen Richtung,
EINBAHNOGD.1632590,1632590,"LINESTRING (16.451745067842694 48.15370715933759, 16.452747277483414 48.155595012918674, 16.452821740718576 48.15564812344545)",in Richtung,
EINBAHNOGD.1632591,1632591,"LINESTRING (16.316331108801 48.17515517853349, 16.316156098701594 48.17517053489066, 16.31597709190723 48.17519755360219, 16.315815520365796 48.17522710490092, 16.315690505979905 48.17525743497217, 16.31527731460394 48.1753791914106)",in Richtung,
EINBAHNOGD.1632592,1632592,"LINESTRING (16.341951063434873 48.184956027832506, 16.341515881851628 48.184926821394285)",in Richtung,
EINBAHNOGD.1632593,1632593,"LINESTRING (16.344783419031582 48.18260355970571, 16.34526509189173 48.18186888863284)",in Richtung,
EINBAHNOGD.1632594,1632594,"LINESTRING (16.323400867451813 48.18310681521045, 16.323113243992502 48.181719579375965)",gegen Richtung,
EINBAHNOGD.1632595,1632595,"LINESTRING (16.323113243992502 48.181719579375965, 16.32173894241525 48.18185038021813)",gegen Richtung,
EINBAHNOGD.1632596,1632596,"LINESTRING (16.345884335699566 48.180923987252946, 16.34631493562655 48.18026069961401)",in Richtung,
EINBAHNOGD.1632597,1632597,"LINESTRING (16.32537024827945 48.18102339884839, 16.325221755210727 48.180252778379916)",in Richtung,
EINBAHNOGD.1632598,1632598,"LINESTRING (16.389003962838252 48.20155323156748, 16.38869775491276 48.20149892114241)",in Richtung,
EINBAHNOGD.1632599,1632599,"LINESTRING (16.351700863257072 48.184966917703605, 16.35090859770461 48.1846972264065)",in Richtung,
EINBAHNOGD.1632600,1632600,"LINESTRING (16.35090859770461 48.1846972264065, 16.350262578660658 48.185533184985616)",in Richtung,
EINBAHNOGD.1632601,1632601,"LINESTRING (16.354898735322156 48.193607153243796, 16.35497566030117 48.19304808639734, 16.35496859183636 48.19297059134975, 16.354933773706353 48.19287413150262)",gegen Richtung,
EINBAHNOGD.1632602,1632602,"LINESTRING (16.40232754491505 48.19920029454944, 16.401831167878893 48.19869246428367)",gegen Richtung,
EINBAHNOGD.1632603,1632603,"LINESTRING (16.40013284398436 48.19951686259137, 16.401831167878893 48.19869246428367)",in Richtung,
EINBAHNOGD.1632604,1632604,"LINESTRING (16.39290505861525 48.20054757403881, 16.391715647510598 48.20022608747762)",in Richtung,
EINBAHNOGD.1632605,1632605,"LINESTRING (16.352410612640096 48.18144976895498, 16.352294515095984 48.18142097923671, 16.35041071907304 48.18138427322412, 16.350297153378495 48.18139356116004, 16.35000616071732 48.18145310677888)",gegen Richtung,
EINBAHNOGD.1632606,1632606,"LINESTRING (16.36478897628124 48.17779679534846, 16.363828848097512 48.17785323900532)",gegen Richtung,
EINBAHNOGD.1632607,1632607,"LINESTRING (16.37471970919166 48.18007415792042, 16.375002341663905 48.17915000893845)",in Richtung,
EINBAHNOGD.1632608,1632608,"LINESTRING (16.365361297994223 48.183377075455454, 16.36489226763344 48.18384070531694)",gegen Richtung,
EINBAHNOGD.1632609,1632609,"LINESTRING (16.362114581757915 48.226842266268, 16.36240967863858 48.22734026467895)",in Richtung,
EINBAHNOGD.1632610,1632610,"LINESTRING (16.361792399366855 48.22683938819947, 16.3619132248915 48.22685629338359, 16.362114581757915 48.226842266268)",in Richtung,
EINBAHNOGD.1632611,1632611,"LINESTRING (16.35435236497234 48.20291863851268, 16.354045248943684 48.20408885496682)",gegen Richtung,
EINBAHNOGD.1632612,1632612,"LINESTRING (16.352719307845746 48.23112474893084, 16.353239071434096 48.231323083575575)",in Richtung,
EINBAHNOGD.1632613,1632613,"LINESTRING (16.370204551552245 48.15348207891522, 16.369902971933623 48.15185832182798)",gegen Richtung,
EINBAHNOGD.1632614,1632614,"LINESTRING (16.369902971933623 48.15185832182798, 16.368634909745168 48.152006515061956)",in Richtung,
EINBAHNOGD.1632615,1632615,"LINESTRING (16.376925319972724 48.152560324404654, 16.37647439153849 48.151811232457774)",in Richtung,
EINBAHNOGD.1632616,1632616,"LINESTRING (16.406500945227066 48.13801455448167, 16.408148451890355 48.13742840706969, 16.408824281283938 48.1370165381913)",gegen Richtung,
EINBAHNOGD.1632617,1632617,"LINESTRING (16.367222148555353 48.222149450419856, 16.3671098585283 48.22336805320759)",gegen Richtung,
EINBAHNOGD.1632618,1632618,"LINESTRING (16.36629160767971 48.222073257116335, 16.367222148555353 48.222149450419856)",in Richtung,
