FID,OBJECTID,SHAPE,BEZIRK,STRASSE,ONR,TELEFON,OEFFNUNGSZEIT,INFORMATION,ABTEILUNG,KATEGORIE,SE_ANNO_CAD_DATA
WCANLAGEOGD.137715,137715,POINT (16.390693712919113 48.20294980940478),3,Rochusmarkt,,+43 (1) 546 48,MO-FR: 6-18.30 Uhr
SA: 6-14 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137716,137716,POINT (16.36916824379187 48.20914376841394),1,Am Graben,,+43 (1) 546 48,Jan-April+Okt-Nov:
Mo-Sa: 8-20 Uhr
So:8-17 Uhr
Mai-Sep+Dez:
Mo-Sa: 8-21 Uhr
So:8-20 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.137717,137717,POINT (16.351047170413402 48.21189655736051),8,Florianigasse ( Schönbornpark ),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137718,137718,POINT (16.401568124083813 48.221338129701266),2,Vorgartenmarkt / Ennsgasse,,+43 (1) 546 48,Mo-Do: 8-13 Uhr +Fr-Sa: 7-13 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Euro-Key-Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.137719,137719,POINT (16.38665585782033 48.29153414670148),21,Strebersdorf / Rußbergstraße (Endstelle Linie 26),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.137720,137720,POINT (16.391909310641672 48.25600785711084),21,Floridsdorfer Aupark (Eingang ggü. Frömmlg.),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137721,137721,POINT (16.3841633554641 48.270082201194555),21,Lorettoplatz / Überfuhrstr.,59 ggü.,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.137722,137722,POINT (16.40733280135746 48.25305310830824),21,Kinzerplatz / Scheffelstraße (historisch),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.137723,137723,POINT (16.40797438425094 48.255090375648706),21,Hoßplatz,11 ggü.,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
