FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,STRASSE,TYP,BEZEICHNUNG,WEBLINK1,SE_ANNO_CAD_DATA
PARKENVERKAUFOGD.676427,676427,POINT (16.3320644724118 48.20703926309698),"16., Kirchstetterngasse 25",16,Kirchstetterngasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676428,676428,POINT (16.387605803063124 48.19924623979086),"3., Ungargasse 49",3,Ungargasse,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676429,676429,POINT (16.31531741407624 48.21797369741329),"16., Seebˆckgasse 27",16,Seebˆckgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676430,676430,POINT (16.335350194498318 48.20924517658428),"16., Brunnengasse 37",16,Brunnengasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676431,676431,POINT (16.382961162305044 48.175600583431724),"10., Gellertgasse 19",10,Gellertgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676432,676432,POINT (16.38073397375984 48.20791288009306),"1., Stubenring 22",1,Stubenring,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676433,676433,POINT (16.343672188974136 48.20761815041917),"8., Lerchenfelder Straﬂe 108",8,Lerchenfelder Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676434,676434,POINT (16.346347328504923 48.18430496922399),"5., Arbeitergasse 52",5,Arbeitergasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676435,676435,POINT (16.37349780153267 48.18052550771328),"10., Laxenburger Straﬂe 12",10,Laxenburger Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676436,676436,POINT (16.38539188551947 48.21663246261899),"2., Rotensterngasse 30",2,Rotensterngasse,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676437,676437,POINT (16.334178867158478 48.19724052073809),"15., Felberstraﬂe 20",15,Felberstraﬂe,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676438,676438,POINT (16.33794009797308 48.195119834956934),"15., Mariahilfer Straﬂe 133",15,Mariahilfer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676439,676439,POINT (16.336653984340543 48.20073771680913),"15., M‰rzstraﬂe 4",15,M‰rzstraﬂe,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676440,676440,POINT (16.27886284621716 48.20674281264438),"14., Baumgartner Hˆhe 1",14,Baumgartner Hˆhe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676441,676441,POINT (16.29369208676076 48.19893064689868),"14., Heinrich-Collin-Straﬂe 30",14,Heinrich-Collin-Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
