FID,OBJECTID,SHAPE,NAME,HAUPTKATEGORIE,UNTERKATEGORIE,TYP,WEBLINK1,WEBLINK2,SE_ANNO_CAD_DATA
RELIGIONOGD.223807,223807,POINT (16.360233338738762 48.15747264756763),Pfarrkirche Salvator am Wienerfeld,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,members.chello.at/pfarre.salvator,http://www.erzdioezese-wien.at/pages/pfarren/9076,
RELIGIONOGD.223806,223806,POINT (16.386150263810073 48.17309096291746),Pfarrkirche Zur Hl. Familie,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-puchsbaumplatz.at,http://www.erzdioezese-wien.at/pages/pfarren/9075,
RELIGIONOGD.223805,223805,POINT (16.376563918912286 48.15582120679954),Pfarrkirche Zum hl. Franz von Sales,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarrefranzvonsales.at,http://www.erzdioezese-wien.at/pages/pfarren/9074,
RELIGIONOGD.223804,223804,POINT (16.370521536353692 48.16568767289993),Pfarrkirche Zu den hl. Aposteln,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.apostelpfarre.at,http://www.erzdioezese-wien.at/pages/pfarren/9073,
RELIGIONOGD.223803,223803,POINT (16.391853377246875 48.14676914712082),Pfarrkirche St. Paul - P.A.-Hansson-Siedlung Ost,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarrestpaulpaho.at,http://www.erzdioezese-wien.at/pages/pfarren/9072,
RELIGIONOGD.223802,223802,POINT (16.375479350615045 48.17868832850348),Pfarrkirche St. Johann der Evangelist,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.stjohann10.at,http://www.erzdioezese-wien.at/pages/pfarren/9071,
RELIGIONOGD.223801,223801,POINT (16.357294321971914 48.165648272645434),Pfarrkirche Maria vom Berge Karmel,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.mariavombergekarmel.org,http://www.erzdioezese-wien.at/pages/pfarren/9068,
RELIGIONOGD.223800,223800,POINT (16.39641335226222 48.15246359171882),Pfarrkirche Laaer Berg,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/pages/pfarren/9067,
RELIGIONOGD.223799,223799,POINT (16.361551109035613 48.17621247067529),Pfarrkirche Königin des Friedens,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.kdf.at,http://www.erzdioezese-wien.at/pages/pfarren/9066,
RELIGIONOGD.223798,223798,POINT (16.36942188450721 48.175409798187964),Pfarrkirche Dreimal Wunderbare Muttergottes,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.muttergottes.at,http://www.erzdioezese-wien.at/pages/pfarren/9065,
RELIGIONOGD.223797,223797,POINT (16.368032514147867 48.18092839774742),Pfarrkirche Allerheiligste Dreifaltigkeit,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.dreifaltigkeitspfarre.at,http://www.erzdioezese-wien.at/pages/pfarren/9064,
RELIGIONOGD.223796,223796,POINT (16.4343172820165 48.167928271208474),St. Josef auf der Haide,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223795,223795,POINT (16.379139820343322 48.20961985747774),Pfarrkirche Griech.-kath. Zentralpfarre,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.st-barbara-austria.org,http://www.erzdioezese-wien.at/pages/pfarren/9006,
RELIGIONOGD.223794,223794,POINT (16.389506404944264 48.26964346132458),Seniorenhaus St. Martin der Caritas,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223777,223777,POINT (16.35192690693818 48.20375437594475),Maria Hilf,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223793,223793,POINT (16.31202893539746 48.19755951296637),Jüngerzentrum St. Josef,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223792,223792,POINT (16.33620350433979 48.19243639198199),Immaculatahaus,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223791,223791,POINT (16.28289922555207 48.15349471437983),Mariapolizentrum,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223790,223790,POINT (16.251013701841938 48.13692701696272),Hlst. Herz Jesu,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223789,223789,POINT (16.352805841415826 48.214590847855625),Antoniuskapelle,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223788,223788,POINT (16.381667766093948 48.19586362112051),Verein Unsere Liebe Frau vom Hlst. Herzen,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223787,223787,POINT (16.38940774320772 48.296717228107454),Maria Immaculata,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223786,223786,POINT (16.37460707137435 48.20618615939785),Franziskanerkirche,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.franziskaner.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223785,223785,POINT (16.29633031478447 48.18746862809301),Pallottihaus,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pallottihaus-wien.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223784,223784,POINT (16.356007987044325 48.22239464300807),Santa Maria de Mercede,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.priesterseminar.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223783,223783,POINT (16.387221165801364 48.20056518654882),Stephanushaus,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.stephanushaus.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223782,223782,POINT (16.354451858137868 48.205687639918395),Maria Schutz,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.mechitaristen.org,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223781,223781,POINT (16.35924876207314 48.254826256496266),St. Jakob,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223780,223780,POINT (16.371887893310785 48.20441924941894),St. Anna,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.annakirche.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223779,223779,POINT (16.305462881045937 48.18999274859636),Rochuskapelle,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223778,223778,POINT (16.340693472970642 48.19921498768912),Zum Göttlichen Heiland,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223758,223758,POINT (16.358236799021217 48.20019153306704),Pfarrkirche St. Josef ob der Laimgrube,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarrelaimgrube.at,http://www.erzdioezese-wien.at/pages/pfarren/9048,
RELIGIONOGD.223776,223776,POINT (16.438038550573246 48.150674831686366),Dr.-Karl-Lueger-Gedächtnis-Kirche,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.luegerkirche.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223775,223775,POINT (16.464031082444997 48.15483690452292),Pfarrkirche St. Benedikt - Am Leberberg,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-st-benedikt.at,http://www.erzdioezese-wien.at/pages/pfarren/9085,
RELIGIONOGD.223774,223774,POINT (16.35241712098902 48.175386047292875),SMZ Süd-Kaiser-Franz-Josef-Spital,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223773,223773,POINT (16.34403934793064 48.17295462550936),Unfallkrankenhaus Meidling,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223772,223772,POINT (16.387108815808727 48.19633338630018),Januariuskapelle,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223771,223771,POINT (16.39103879695759 48.196515034960974),Krankenanstalt Rudolfstiftung Kath. Seelsorge,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223770,223770,POINT (16.44289936815039 48.19456372439497),Maria Grün,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223769,223769,POINT (16.381663752632814 48.195979202375135),Mariä Heimsuchung,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.salesianerinnen.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223768,223768,POINT (16.380593865374173 48.21470287220072),Hl. Johannes der Täufer,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.barmherzige-brueder.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223767,223767,POINT (16.377710995429368 48.20915723197027),Jesuitenkirche - Universitätskirche,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.jesuiten.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223766,223766,POINT (16.349260341343765 48.22367034452844),St.-Johannes-Nepomuk-Kapelle,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.johanneskapelle.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223765,223765,POINT (16.363716303686523 48.22067936384818),Pfarrkirche Rossau,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.rossau.at,http://www.erzdioezese-wien.at/pages/pfarren/9059,
RELIGIONOGD.223764,223764,POINT (16.357904102296384 48.22731935597214),Pfarrkirche Lichtental,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.schubertkirche.at,http://www.erzdioezese-wien.at/pages/pfarren/9057,
RELIGIONOGD.223763,223763,POINT (16.352333637754707 48.22849649337199),Pfarrkirche Canisiuskirche,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-canisius.at,http://www.erzdioezese-wien.at/pages/pfarren/9056,
