FID,SHAPE,NAME,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.17625,POINT (16.344759097947748 48.28714641768246),Auslaufbrunnen,17625,
TRINKBRUNNENOGD.17626,POINT (16.38864855753832 48.28521634440876),Auslaufbrunnen,17626,
TRINKBRUNNENOGD.17627,POINT (16.489658611448515 48.22648831037378),Auslaufbrunnen,17627,
TRINKBRUNNENOGD.17628,POINT (16.383411465463773 48.14946215018275),Auslaufbrunnen,17628,
TRINKBRUNNENOGD.17629,POINT (16.40063822616606 48.16614047950879),Auslaufbrunnen,17629,
TRINKBRUNNENOGD.17630,POINT (16.27684729550835 48.17300521683259),Auslaufbrunnen,17630,
TRINKBRUNNENOGD.17631,POINT (16.25710268949822 48.18760855355202),Auslaufbrunnen,17631,
TRINKBRUNNENOGD.17632,POINT (16.399163339787496 48.19439377330025),Auslaufbrunnen,17632,
TRINKBRUNNENOGD.17633,POINT (16.411315410825154 48.197175484133254),Auslaufbrunnen,17633,
TRINKBRUNNENOGD.17634,POINT (16.413393157723142 48.191419306366434),Auslaufbrunnen,17634,
TRINKBRUNNENOGD.17636,POINT (16.331601187384646 48.212407991521665),Auslaufbrunnen,17636,
TRINKBRUNNENOGD.17637,POINT (16.28512147683651 48.21437286632664),Auslaufbrunnen,17637,
TRINKBRUNNENOGD.17638,POINT (16.3209838644978 48.22437482944122),Auslaufbrunnen,17638,
TRINKBRUNNENOGD.17639,POINT (16.282038193304786 48.21678297665138),Auslaufbrunnen,17639,
TRINKBRUNNENOGD.17640,POINT (16.295097215163995 48.24643354779716),Auslaufbrunnen,17640,
TRINKBRUNNENOGD.17641,POINT (16.474336663194666 48.24555899814089),Auslaufbrunnen,17641,
TRINKBRUNNENOGD.17642,POINT (16.497438272987807 48.25109707319894),Auslaufbrunnen,17642,
TRINKBRUNNENOGD.17643,POINT (16.48659291035277 48.25132177259636),Auslaufbrunnen,17643,
TRINKBRUNNENOGD.17644,POINT (16.32153816419271 48.25552808286953),Auslaufbrunnen,17644,
TRINKBRUNNENOGD.17645,POINT (16.458943758778013 48.216386086193204),Auslaufbrunnen,17645,
TRINKBRUNNENOGD.17646,POINT (16.457811874493796 48.218291772935196),Auslaufbrunnen,17646,
TRINKBRUNNENOGD.17647,POINT (16.42645387969103 48.221396995979056),Auslaufbrunnen,17647,
TRINKBRUNNENOGD.17648,POINT (16.44572432462461 48.21795185634721),Auslaufbrunnen,17648,
TRINKBRUNNENOGD.17649,POINT (16.425837068461274 48.224529885061486),Auslaufbrunnen,17649,
TRINKBRUNNENOGD.17650,POINT (16.36668854962307 48.22717337048005),Auslaufbrunnen,17650,
TRINKBRUNNENOGD.17651,POINT (16.362551782563486 48.225770261251135),Auslaufbrunnen,17651,
TRINKBRUNNENOGD.17652,POINT (16.4233584839309 48.22631344500725),Auslaufbrunnen,17652,
TRINKBRUNNENOGD.17653,POINT (16.422334752563515 48.229351455393044),Auslaufbrunnen,17653,
TRINKBRUNNENOGD.17654,POINT (16.421084407576597 48.23427505230634),Auslaufbrunnen,17654,
TRINKBRUNNENOGD.17655,POINT (16.28158603979285 48.24206154787553),Auslaufbrunnen,17655,
TRINKBRUNNENOGD.17656,POINT (16.273822022832572 48.242508298651494),Auslaufbrunnen,17656,
TRINKBRUNNENOGD.17657,POINT (16.308215934231196 48.23557448623858),Auslaufbrunnen,17657,
TRINKBRUNNENOGD.17658,POINT (16.2972924520886 48.23785890619244),Auslaufbrunnen,17658,
TRINKBRUNNENOGD.17659,POINT (16.34162411192442 48.24262127331233),Auslaufbrunnen,17659,
TRINKBRUNNENOGD.17660,POINT (16.41550682381815 48.24709775484307),Auslaufbrunnen,17660,
TRINKBRUNNENOGD.17661,POINT (16.402759964865293 48.24713652304281),Auslaufbrunnen,17661,
TRINKBRUNNENOGD.17662,POINT (16.418557074597576 48.245833872216394),Auslaufbrunnen,17662,
