FID,OBJECTID,SHAPE,BEZEICHNUNG,WL_NUMMER,SE_ANNO_CAD_DATA
HALTESTELLEWLOGD.159,159,POINT (16.295041534518013 48.18956421273706),Braunschweiggasse,161,
HALTESTELLEWLOGD.160,160,POINT (16.405431081781206 48.251633848701495),Scheffelstraﬂe,162,
HALTESTELLEWLOGD.161,161,POINT (16.32935130328217 48.14412440828384),Breiteneckergasse,163,
HALTESTELLEWLOGD.162,162,POINT (16.492960651995652 48.251123797226974),Breitenlee Friedhof,164,
HALTESTELLEWLOGD.163,163,POINT (16.497580630524567 48.2511937938875),Breitenlee Ort,165,
HALTESTELLEWLOGD.164,164,POINT (16.30659149121785 48.198904161328215),Breitensee,166,
HALTESTELLEWLOGD.165,165,POINT (16.450370726267742 48.15403428571236),Roschegasse,167,
HALTESTELLEWLOGD.166,166,POINT (16.34812136563082 48.2542338713936),Bretschneidergasse,168,
HALTESTELLEWLOGD.167,167,POINT (16.37472120646717 48.23327395499036),Brigittagasse,169,
HALTESTELLEWLOGD.168,168,POINT (16.370331226014017 48.23263396062354),Brigittaplatz,170,
HALTESTELLEWLOGD.169,169,POINT (16.476970670886057 48.20760401429983),Brockhausengasse,171,
HALTESTELLEWLOGD.170,170,POINT (16.33543136476021 48.20904409504063),Thaliastraﬂe/Brunnengasse,172,
HALTESTELLEWLOGD.171,171,POINT (16.335941364771188 48.21108408489838),Neulerchenfelder Str/Brunneng,173,
HALTESTELLEWLOGD.172,172,POINT (16.296801465447132 48.146184418498535),Brunner Straﬂe/Erlaaer Straﬂe,174,
HALTESTELLEWLOGD.173,173,POINT (16.347601280045232 48.19129417164298),Br¸ckengasse,175,
HALTESTELLEWLOGD.174,174,POINT (16.403511113049447 48.26781377249396),Br¸nner Straﬂe,176,
HALTESTELLEWLOGD.175,175,POINT (16.397300975740798 48.14660435419451),Bergtaidingweg,177,
HALTESTELLEWLOGD.176,176,POINT (16.345721322505383 48.21538405798325),Br¸nnlbadgasse,178,
HALTESTELLEWLOGD.177,177,POINT (16.32036143436716 48.20605411815116),Br¸ﬂlgasse,179,
HALTESTELLEWLOGD.178,178,POINT (16.451450882022357 48.27043373018166),Bubergasse,180,
HALTESTELLEWLOGD.179,179,POINT (16.270311619491977 48.163684352017604),Buchbindergasse,181,
HALTESTELLEWLOGD.180,180,POINT (16.454220759384764 48.190884107622885),Lindmayer/Friedenspagode,182,
HALTESTELLEWLOGD.181,181,POINT (16.33687128961393 48.15996432832891),Computerstr/Gutheil-Schoder-G,183,
HALTESTELLEWLOGD.182,182,POINT (16.25537174723507 48.20288417388153),"H¸tteldorf, Bujattigasse",184,
HALTESTELLEWLOGD.183,183,POINT (16.42056099189601 48.24020389355337),Bundessportbad,185,
HALTESTELLEWLOGD.184,184,POINT (16.391031167145265 48.263063802679305),Bunsengasse,186,
HALTESTELLEWLOGD.185,185,POINT (16.298231536529926 48.20256414908687),Burgersteingasse,187,
HALTESTELLEWLOGD.186,186,POINT (16.33731134524103 48.20229412558464),Burggasse-Stadthalle,188,
HALTESTELLEWLOGD.187,187,POINT (16.249511791512038 48.21451412268953),Campingplatz Wien-West 2,189,
HALTESTELLEWLOGD.188,188,POINT (16.3637112188897 48.20392410161324),Burgring,190,
HALTESTELLEWLOGD.189,189,POINT (16.36122132258399 48.26994378860196),Burgstall,191,
HALTESTELLEWLOGD.190,190,POINT (16.360621242743008 48.210394072680096),Rathausplatz/Burgtheater,192,
HALTESTELLEWLOGD.191,191,POINT (16.366281199971656 48.199504121411806),B‰renm¸hldurchgang,193,
HALTESTELLEWLOGD.192,192,POINT (16.331611436063394 48.247553913710775),Bˆrnergasse,194,
HALTESTELLEWLOGD.193,193,POINT (16.366001223799692 48.21556404494388),Bˆrsegasse/Wipplingerstraﬂe,195,
HALTESTELLEWLOGD.194,194,POINT (16.37077118072552 48.201264109906106),Bˆsendorferstraﬂe,196,
HALTESTELLEWLOGD.195,195,POINT (16.327291398978243 48.204994119207555),Camillo-Sitte-Gasse,197,
HALTESTELLEWLOGD.196,196,POINT (16.257831643686547 48.13804448209257),Breitenfurter Str/Willergasse,198,
HALTESTELLEWLOGD.197,197,POINT (16.29942145839279 48.14983439969297),Campingplatz Wien-S¸d,199,
HALTESTELLEWLOGD.198,198,POINT (16.253421768996873 48.21134413479826),Campingplatz Wien-West 1,200,
HALTESTELLEWLOGD.199,199,POINT (16.481120744475525 48.27582368653965),Campingplatzweg,201,
HALTESTELLEWLOGD.200,200,POINT (16.354801295853882 48.228043992429676),Canisiusgasse,202,
HALTESTELLEWLOGD.201,201,POINT (16.410671094604165 48.28001370940905),Carabelligasse,203,
HALTESTELLEWLOGD.202,202,POINT (16.29793145271379 48.141214442117025),Carlbergergasse,204,
HALTESTELLEWLOGD.203,203,POINT (16.358331224635897 48.18863417796902),Castelligasse,205,
HALTESTELLEWLOGD.204,204,POINT (16.296221615202303 48.25181391532799),Celtesgasse,206,
HALTESTELLEWLOGD.205,205,POINT (16.343571367218246 48.23955394459695),Chimanistraﬂe,208,
HALTESTELLEWLOGD.206,206,POINT (16.322381503231227 48.26352384310741),Cobenzl Parkplatz,209,
HALTESTELLEWLOGD.207,207,POINT (16.329991467067444 48.26393383605112),Cobenzlgasse,210,
HALTESTELLEWLOGD.208,208,POINT (16.37373113983673 48.18191420040235),Columbusplatz,211,
HALTESTELLEWLOGD.209,209,POINT (16.342011260868027 48.15761433652506),Triester Straﬂe/Computerstraﬂe,212,
HALTESTELLEWLOGD.210,210,POINT (16.370061201709103 48.21369405099754),Concordiaplatz,213,
HALTESTELLEWLOGD.211,211,POINT (16.280671541274003 48.144504437095826),Corvinusgasse,214,
HALTESTELLEWLOGD.212,212,POINT (16.342131365934932 48.23384397262579),Cottagegasse,215,
HALTESTELLEWLOGD.213,213,POINT (16.226531905327107 48.21512413369554),Cottagestraﬂe,216,
HALTESTELLEWLOGD.214,214,POINT (16.327411430175736 48.22784401023495),Czartoryskigasse,217,
HALTESTELLEWLOGD.215,215,POINT (16.444860937407764 48.28693365581522),Dahliengasse,218,
HALTESTELLEWLOGD.216,216,POINT (16.375251205258646 48.234723947579106),Dammstraﬂe,219,
HALTESTELLEWLOGD.217,217,POINT (16.46008074042572 48.19801406999297),Dampfkraftwerk Donaustadt,220,
HALTESTELLEWLOGD.218,218,POINT (16.432220901879575 48.21710399644747),Dampfschiffhaufen,221,
HALTESTELLEWLOGD.219,219,POINT (16.488710614913252 48.208714001667566),Danzergasse,222,
HALTESTELLEWLOGD.220,220,POINT (16.530260460496535 48.244343806435786),Daphneweg,223,
HALTESTELLEWLOGD.221,221,POINT (16.3349014185385 48.24659391644587),Daringergasse,224,
HALTESTELLEWLOGD.222,222,POINT (16.356461215068272 48.175424242212564),Knˆllgasse/Davidgasse,225,
HALTESTELLEWLOGD.223,223,POINT (16.543190359684147 48.21685392921173),Deindorfstraﬂe,226,
HALTESTELLEWLOGD.224,224,POINT (16.27983156534019 48.15829437137508),Deiﬂenhofergasse,227,
HALTESTELLEWLOGD.225,225,POINT (16.358591154080425 48.13964441198246),Laxenburger Str/Heizwerkstr,228,
HALTESTELLEWLOGD.226,226,POINT (16.368661244187393 48.239303929564585),Dietmayrgasse,229,
HALTESTELLEWLOGD.227,227,POINT (16.379551264911814 48.29264366848466),Dirnelwiese,230,
HALTESTELLEWLOGD.228,228,POINT (16.33172129085324 48.143544409751016),Dobrowskygasse,231,
HALTESTELLEWLOGD.229,229,POINT (16.43818093126033 48.2594737905497),Doeltergasse,232,
HALTESTELLEWLOGD.230,230,POINT (16.298611513113606 48.186454225665784),Dommayergasse,233,
HALTESTELLEWLOGD.231,231,POINT (16.410971022973953 48.2289939527886),Donauinsel,234,
HALTESTELLEWLOGD.232,232,POINT (16.38773116405574 48.24855387405781),Floridsdorfer Br¸cke,235,
HALTESTELLEWLOGD.233,233,POINT (16.443680869716204 48.233673910368495),Donaustadtstraﬂe,236,
HALTESTELLEWLOGD.234,234,POINT (16.345961417527533 48.284543728381315),Donauwarte,237,
HALTESTELLEWLOGD.235,235,POINT (16.434540925840285 48.241853877435084),Donauzentrum,238,
HALTESTELLEWLOGD.236,236,POINT (16.438750942777954 48.26924374382894),Dopschstraﬂe,239,
HALTESTELLEWLOGD.237,237,POINT (16.296171494432667 48.164524332126746),Dorfmeistergasse,240,
HALTESTELLEWLOGD.238,238,POINT (16.301871554625748 48.22815402467416),Dornbacher Straﬂe,241,
HALTESTELLEWLOGD.239,239,POINT (16.26355164639562 48.15972437531303),Dostalgasse,242,
HALTESTELLEWLOGD.240,240,POINT (16.25315178240965 48.22016409282297),Dostgasse,243,
HALTESTELLEWLOGD.241,241,POINT (16.370221245559865 48.245873897255585),Dr.-Adolf-Sch‰rf-Heim,244,
HALTESTELLEWLOGD.242,242,POINT (16.380371141998175 48.20711407646828),Stubentor,245,
HALTESTELLEWLOGD.243,243,POINT (16.359851242111066 48.20679409075697),Dr.-Karl-Renner-Ring,246,
HALTESTELLEWLOGD.244,244,POINT (16.28809149605348 48.13806446352039),Dr.-Neumann-Gasse,247,
HALTESTELLEWLOGD.245,245,POINT (16.272351612907137 48.1667443363245),Dr.-Schober-Straﬂe,248,
HALTESTELLEWLOGD.246,246,POINT (16.438210967563002 48.28547366700484),Draugasse,249,
HALTESTELLEWLOGD.247,247,POINT (16.388921174049013 48.26002381895616),Dunantgasse,250,
HALTESTELLEWLOGD.248,248,POINT (16.334511408451593 48.237093961259646),D‰nenstraﬂe,251,
HALTESTELLEWLOGD.249,249,POINT (16.35710131691029 48.25114388097274),Dˆblinger Bad,252,
HALTESTELLEWLOGD.250,250,POINT (16.32933143580179 48.23911395513676),Dˆblinger Friedhof,253,
HALTESTELLEWLOGD.251,251,POINT (16.365391261733485 48.24076392467481),Dˆblinger Steg,254,
HALTESTELLEWLOGD.252,252,POINT (16.534060412159143 48.22239390857239),Dˆrmanngasse,255,
HALTESTELLEWLOGD.253,253,POINT (16.430730864799326 48.184884150825326),E-Werk,256,
HALTESTELLEWLOGD.254,254,POINT (16.280081558880692 48.1547343886344),Eberstorferweg,257,
HALTESTELLEWLOGD.255,255,POINT (16.425590997316704 48.26228378518609),Edelsteingasse,258,
HALTESTELLEWLOGD.256,256,POINT (16.246321808071947 48.21480412257603),Edenstraﬂe,259,
HALTESTELLEWLOGD.257,257,POINT (16.386141229437364 48.290923673077124),Edmund-Hawranek-Platz,260,
HALTESTELLEWLOGD.258,258,POINT (16.3036314182849 48.13670446027462),Eduard-Kittenberger-Gasse,261,
HALTESTELLEWLOGD.259,259,POINT (16.320461452209518 48.21927405499068),Albrechtskreithgasse,262,
HALTESTELLEWLOGD.260,260,POINT (16.436350960664182 48.2739137232867),Egon-Friedell-Gasse,263,
HALTESTELLEWLOGD.261,261,POINT (16.33742130166253 48.171024274997485),Eibesbrunnergasse,264,
HALTESTELLEWLOGD.262,262,POINT (16.476570723706 48.2446238378467),Eibischweg,265,
HALTESTELLEWLOGD.263,263,POINT (16.247361812198307 48.22162408967892),Eichbachgasse,266,
HALTESTELLEWLOGD.264,264,POINT (16.349611255219006 48.18034422256855),Eichenstraﬂe,267,
HALTESTELLEWLOGD.265,265,POINT (16.264261676058123 48.18320426290668),Einsiedeleigasse,268,
HALTESTELLEWLOGD.266,266,POINT (16.34947126298925 48.185254199998134),Einsiedlerplatz,269,
