FID,OBJECTID,SHAPE,ADRESSE,AUSNAHME_TXT,STELLPL_ANZ,WEITERE_INF,SE_ANNO_CAD_DATA
PARKENANRAINEROGD.42139,42139,"LINESTRING (16.374954868004036 48.20856839141443, 16.37514207938841 48.20875517913986)","1, Strobelgasse 1",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42140,42140,"LINESTRING (16.374900299533913 48.20843206768715, 16.375049434484996 48.208581780567826)","1, Strobelgasse 2",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42141,42141,"LINESTRING (16.371579951901545 48.21205139348058, 16.371789199487303 48.21192997702402, 16.37183331097476 48.2118814226616, 16.371967798252022 48.21176288445145)","1, Salvatorgasse 3 bis 5",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42142,42142,"LINESTRING (16.37264007322505 48.21206159199343, 16.37219140964384 48.21223286495261)","1, Sterngasse 6 bis 6A",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42143,42143,"LINESTRING (16.37188376864448 48.212407194934045, 16.371929629888218 48.21252749913457, 16.371950143579156 48.212588763200344, 16.371963394073898 48.21264192556031)","1, Fischerstiege 4-8",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42144,42144,"LINESTRING (16.37197960958977 48.212723549250754, 16.37200640665311 48.212860953137586, 16.372034081944797 48.21298170251402)","1, Fischerstiege 10",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42145,42145,"LINESTRING (16.37309988688298 48.212149509243616, 16.37388058107388 48.21258992937164)","1, Marc-Aurel-Straße 5 bis 9",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,15,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42146,42146,"LINESTRING (16.37289681369501 48.21304390706265, 16.373150577841074 48.21332684386783)","1, Salztorgasse 2 bis 4",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,13,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42147,42147,"LINESTRING (16.372721964691323 48.21405488056632, 16.372316306757018 48.214334398854945)","1, Rudolfsplatz 58",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42148,42148,"LINESTRING (16.37022062524876 48.213792807846794, 16.37054323145116 48.21400193532523)","1, Heinrichsgasse 2",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,10,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42149,42149,"LINESTRING (16.366953362461057 48.21155804498409, 16.366760171118322 48.21145816012552)","1, Tiefer Graben 2A",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42150,42150,"LINESTRING (16.368456997693226 48.213614663556534, 16.368146282372045 48.21347317350798)","1, Renngasse 18 bis 20",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42151,42151,"LINESTRING (16.36874189665454 48.21374604728752, 16.36854335767255 48.21365568400408)","1, Renngasse 18 bis 20",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42152,42152,"LINESTRING (16.368642801970935 48.21430377773936, 16.369118954182813 48.21452205208674)","1, Werdertorgasse 2A",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42153,42153,"LINESTRING (16.369058730795622 48.2146566746205, 16.368729610074286 48.2149756134947)","1, Neutorgasse 9 bis 11",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,16,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42154,42154,"LINESTRING (16.3687478884127 48.21516822393427, 16.369063467603954 48.21531385789265)","1, Eßlinggasse 8",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42155,42155,"LINESTRING (16.36770980618686 48.21713170768949, 16.36802893947742 48.216822142137715)","1, Deutschmeisterplatz 1 bis 2",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,12,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42156,42156,"LINESTRING (16.365013696704246 48.21480201965481, 16.36543624134474 48.21438967352673)","1, Hohenstaufengasse 12 bis 14",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42157,42157,"LINESTRING (16.365780773419747 48.213349146214625, 16.365067467179127 48.21361701574033)","1, Rockhgasse 2",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,12,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42158,42158,"LINESTRING (16.364206157090575 48.2138319114338, 16.36389134145759 48.21366257141864)","1, Schottenbastei 1-5",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42159,42159,"LINESTRING (16.37423682836543 48.21074252195285, 16.374752959582096 48.21112782036537)","1, Rotgasse 9 bis 11",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42160,42160,"LINESTRING (16.373201052444617 48.21095583200591, 16.37330705138805 48.211078338677645, 16.37338002180281 48.21115457936029)","1, Judengasse 2",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42161,42161,"LINESTRING (16.373476842082937 48.2112474833277, 16.37361815798722 48.21136884281652)","1, Judengasse 4",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42162,42162,"LINESTRING (16.37202689767864 48.21056761939212, 16.371866619974945 48.21045642949783, 16.371759762511825 48.210371993228556, 16.37164309754202 48.21026197993637)","1, Wildpretmarkt 8 bis 10",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42163,42163,"LINESTRING (16.371515737241822 48.21012876855837, 16.371347396607458 48.20993549072328)","1, Wildpretmarkt 2-4",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42164,42164,"LINESTRING (16.372481887857106 48.20943354925344, 16.372757027275036 48.20962560204961)","1, Kramergasse 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42165,42165,"LINESTRING (16.370382654037936 48.20573127555371, 16.370535860048623 48.20601944091123)","1, Neuer Markt ggü. 9",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42166,42166,"LINESTRING (16.37090486396592 48.20640833414542, 16.370955540353307 48.2066418525392)","1, Neuer Markt 1 bis 2",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42167,42167,"LINESTRING (16.369262404615167 48.20614512792885, 16.369474383117055 48.206367285732746)","1, Spiegelgasse 21",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42168,42168,"LINESTRING (16.369755922324206 48.20532107627808, 16.368980947350554 48.20569431778856)","1, Gluckgasse 2 bis 4",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,13,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
