FID,SHAPE,STRNAM,ZEITRAUM,STELLPL_ANZ,BESCHREIBUNG,WEBLINK2,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA,KATEGORIE,KATEGORIE_TXT
BEHINDERTENPARKPLATZOGD.475005,POINT (16.36979734300897 48.216449235389184),Zelinkagasse,Mo.-Fr. (w.) v. 6-11.30h,2,Versicherung,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475005,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475006,POINT (16.377056989110763 48.23785116090471),Leithastraﬂe,Mo.-Fr. (w.) v. 8-20h,2,Arztpraxis,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475006,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475007,POINT (16.440976121970408 48.215915386706754),Industriestraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475007,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475008,POINT (16.264641276378807 48.15645941883394),Franz-Asenbauer-Gasse,1.9.-30.6.,1,Schule,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,23,475008,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475009,POINT (16.425159356578703 48.22480525201854),Sch¸ttaustraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475009,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475010,POINT (16.309547523520784 48.208467761817),Huttengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,16,475010,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475011,POINT (16.3743974405426 48.205005921684126),Seilerst‰tte,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,1,475011,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475012,POINT (16.29710362203276 48.229091885446934),Dornbacher Straﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,17,475012,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475013,POINT (16.3128253393126 48.2136202760661),Ottakringer Straﬂe,,2,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,16,475013,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475014,POINT (16.395284688592522 48.209267476566914),Weiﬂgerberl‰nde,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,3,475014,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475015,POINT (16.446684195461167 48.23103936693792),Tietzestraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475015,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475016,POINT (16.404132509907456 48.19860093625627),Drorygasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,3,475016,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475017,POINT (16.362874623995058 48.199741746822255),Lehargasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,6,475017,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475018,POINT (16.30357696673005 48.22351009476428),Rosenackerstraﬂe,,2,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,16,475018,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475019,POINT (16.31656611484745 48.20091364094502),Tautenhayngasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,15,475019,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475020,POINT (16.36970722015068 48.19380712200238),Tilgnerstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475020,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475021,POINT (16.417647640726095 48.16824788525282),Haugerstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,11,475021,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475022,POINT (16.362383195503032 48.16221305961808),Neilreichgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475022,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475023,POINT (16.435357956293153 48.16886893321686),Oriongasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,11,475023,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475024,POINT (16.388637443102233 48.272908619184456),Rudolf-Virchow-Straﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,21,475024,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475025,POINT (16.39567989323118 48.25296715645451),Schˆpfleuthnergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,21,475025,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475026,POINT (16.39199151136434 48.26476452453964),Voltagasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,21,475026,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475027,POINT (16.39999294673421 48.27671887158119),Znaimergasse/Mitterhofergasse 2,von 8-18h,1,Arztpraxis,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,21,475027,,1,Allgemein
