FID,SHAPE,STRASSE,STELLPL_ANZ,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MOTORRADABSTELLPLATZOGD.327788,POINT (16.392097088123144 48.1960807209116),Boerhaavegasse,8,3,327788,
MOTORRADABSTELLPLATZOGD.327233,POINT (16.376545657249373 48.21528920121167),Hollandstraﬂe,13,2,327233,
MOTORRADABSTELLPLATZOGD.327234,POINT (16.37257296365857 48.220593582607705),Untere Augartenstraﬂe,5,2,327234,
MOTORRADABSTELLPLATZOGD.327235,POINT (16.281729281246776 48.13535076619711),Lehmanngasse,10,23,327235,
MOTORRADABSTELLPLATZOGD.327236,POINT (16.398891140998092 48.229301245791696),Wehlistraﬂe,5,2,327236,
MOTORRADABSTELLPLATZOGD.327237,POINT (16.411798395040194 48.301630113038),Stammesrsdorfer Straﬂe,1,21,327237,
MOTORRADABSTELLPLATZOGD.327238,POINT (16.414838576846467 48.21603538659464),Engerthstraﬂe,11,2,327238,
MOTORRADABSTELLPLATZOGD.327239,POINT (16.4163713174066 48.214942740000566),Engerthstraﬂe,11,2,327239,
MOTORRADABSTELLPLATZOGD.327240,POINT (16.420876803988275 48.21174682815733),Engerthstraﬂe,7,2,327240,
MOTORRADABSTELLPLATZOGD.327241,POINT (16.41813868412789 48.21384994144979),Engerthstraﬂe,9,2,327241,
MOTORRADABSTELLPLATZOGD.327242,POINT (16.41296095642272 48.21755575806105),Engerthstraﬂe,11,2,327242,
MOTORRADABSTELLPLATZOGD.327243,POINT (16.399360420049778 48.27763746471852),÷denburger Straﬂe,6,21,327243,
MOTORRADABSTELLPLATZOGD.327244,POINT (16.386845933251987 48.223112670274524),Volkertplatz,5,2,327244,
MOTORRADABSTELLPLATZOGD.327245,POINT (16.450151685169146 48.27674743661781),Schererstraﬂe,4,21,327245,
MOTORRADABSTELLPLATZOGD.327246,POINT (16.389170091287042 48.264787543019516),O'Brien-Gasse,5,21,327246,
MOTORRADABSTELLPLATZOGD.327247,POINT (16.411236070593485 48.2907334181872),Jedlersdorfer Straﬂe,5,21,327247,
MOTORRADABSTELLPLATZOGD.327248,POINT (16.408816181510844 48.27478458491207),Kantnergasse,3,21,327248,
