FID,OBJECTID,SHAPE,TEXT13ID,F_TYP,T_TEXT,T_LANG,O,P,O_UEREG,O_REGION,O_LOKAL,P_WLD,P_WAS,P_WIE,P_WGT,P_LW,P_PK,P_GPK,P_GST,P_SGR,P_AGR,P_RGR,P_URB,Q_MOB,Q_SPI,Q_GRI,Q_HUN,Q_BAB,Q_WC,Q_SPO,Q_TRB,UMFANG,FLAECHE,SE_ANNO_CAD_DATA
OEFFGRUENFLOGD.315,315,"POLYGON ((16.308731140828584 48.2094874913088, 16.307782626222707 48.20963059072885, 16.307713863832223 48.20940237198, 16.308644867973936 48.2092603930959, 16.308731140828584 48.2094874913088))",Park Wiesber*,L,Park Wiesberggasse,Parkanlage Wiesberggasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,1,195.184045,1859.443872,
OEFFGRUENFLOGD.316,316,"POLYGON ((16.319596519240434 48.210573799403875, 16.31877842749429 48.210697616126005, 16.318659602031293 48.21035220459182, 16.319478376666314 48.21022248658637, 16.319596519240434 48.210573799403875))",Schuhmeierpl*,L,Schuhmeierplatz,Schuhmeierplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,123,1,204.330093,2480.364337,
OEFFGRUENFLOGD.317,317,"POLYGON ((16.327940184174466 48.210092993943576, 16.327189382690264 48.210208444151974, 16.326965070999663 48.209552768466786, 16.32771236513737 48.20943760004304, 16.327940184174466 48.210092993943576))",Richard-Wagn*,L,Richard-Wagner-Park,Richard-Wagner-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,1,263.865688,4273.460063,
OEFFGRUENFLOGD.318,318,"POLYGON ((16.334553372681246 48.20546543680769, 16.334482844603944 48.20603764139169, 16.33383459644021 48.20599408124244, 16.333759911858373 48.20599151762089, 16.333815723804896 48.20542973358968, 16.334553372681246 48.20546543680769))",Ludo-Hartman*,L,Ludo-Hartmann-Park,Ludo-Hartmann-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,12,1,235.404542,3437.088735,
OEFFGRUENFLOGD.319,319,"POLYGON ((16.228203349457587 48.21672602801202, 16.227823004150427 48.217062347746335, 16.227708098029346 48.21715390325941, 16.227661370373646 48.21719113588619, 16.227116205484517 48.216909082409046, 16.22720720141146 48.21682813657089, 16.22764711236971 48.21643414250755, 16.228203349457587 48.21672602801202))",Salzwiesenga*,L,Salzwiesengasse,Salzwiesengasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,235.278354,3432.16647,
OEFFGRUENFLOGD.320,320,"POLYGON ((16.30283811328635 48.22342478262228, 16.302702092960256 48.22354811762275, 16.301876106492006 48.22340932475977, 16.301627681697774 48.223386767767494, 16.30137414348772 48.22335943063377, 16.301215465475586 48.22336949996483, 16.301029425345718 48.22343464381076, 16.301196415188162 48.223258485401, 16.301300938864127 48.22294881530006, 16.30132138580213 48.22284161858246, 16.301710565024166 48.2230144310195, 16.301748385597328 48.223024217867746, 16.301992178537724 48.2231165196345, 16.302018177790735 48.22307914908741, 16.302355595373445 48.22321667554959, 16.302379702881574 48.223211061891, 16.30283811328635 48.22342478262228))",Park Spinoza*,L,Park Spinozagasse,Parkanlage Spinozagasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,351.916217,4361.734142,
OEFFGRUENFLOGD.641,641,"POLYGON ((16.305956423145027 48.21443641517268, 16.306668066119297 48.21451528946346, 16.305486308286547 48.2145987302411, 16.305451172347723 48.21440143328489, 16.30512902774537 48.214412588553415, 16.304028679832598 48.214328045645274, 16.303994935646084 48.2142881029797, 16.303981323376195 48.214049264924355, 16.303986270907686 48.21388364721814, 16.304987307552235 48.21377458040382, 16.30509458390101 48.214183534094055, 16.305120633068544 48.214275440488514, 16.305408566144134 48.214316548917715, 16.30557605529828 48.21438010768198, 16.305956423145027 48.21443641517268))",Karl-Kantner*,L,Karl-Kantner-Park,Karl-Kantner-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,517.48917,6256.531169,
OEFFGRUENFLOGD.642,642,"POLYGON ((16.286007957810895 48.207743881377354, 16.28683391982155 48.208298442521496, 16.28710504314169 48.20837921627741, 16.28697825087047 48.20861635727408, 16.286915427344226 48.208608461411586, 16.286238945974077 48.208182118529, 16.285992705100675 48.20806931536855, 16.285849737438163 48.20801754225717, 16.28590329155822 48.20787367478121, 16.286007957810895 48.207743881377354))",Steinhofer P*,L,Steinhofer /Park Demuthga,Parkanlage Demuthgasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,1,278.087593,2642.570594,
OEFFGRUENFLOGD.643,643,"POLYGON ((16.36442031856587 48.24994542131998, 16.36342680530737 48.25012130931034, 16.36298843515677 48.2489576474747, 16.363976948573107 48.24879019639305, 16.36442031856587 48.24994542131998))",HeiligenstäS*,L,Heiligenstädter Straße,Heiligenstädter Straße,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,418.106121,10113.700525,
OEFFGRUENFLOGD.644,644,"POLYGON ((16.35496900456305 48.25503914983724, 16.355156820404712 48.255282494640404, 16.35527927871526 48.25540472467074, 16.355180303866987 48.25542019762563, 16.354208332761583 48.25539365739869, 16.354114971250187 48.2546809686522, 16.3544761679973 48.254671636751105, 16.354578163238486 48.255005770824575, 16.35492025335498 48.25496074967605, 16.35496900456305 48.25503914983724))",Rudolf-Kassn*,L,Rudolf-Kassner-Gasse,Rudolf-Kassner-Gasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.221359,4183.445057,
OEFFGRUENFLOGD.645,645,"POLYGON ((16.358480355388718 48.25393377228368, 16.358212371482086 48.253923144933935, 16.357776063611862 48.25393165923511, 16.35585923350937 48.25386315151809, 16.35578786095405 48.253857262515815, 16.355860222817135 48.25363186036465, 16.355743782814564 48.253394125129205, 16.355548055100105 48.253152749338796, 16.355732759386424 48.253095948885836, 16.355652527714746 48.25280958879732, 16.355742707138887 48.252865305470934, 16.355727519363167 48.252814279383536, 16.35568875139471 48.25279188238314, 16.355650347168183 48.25274162376252, 16.355727367731053 48.25272442208237, 16.355746243026463 48.25278737060031, 16.355864645440278 48.252865861880544, 16.355992062057503 48.252950328293586, 16.356131632812897 48.253008654877, 16.35636802126414 48.253110893750595, 16.35637052366676 48.25310848495447, 16.356389770216673 48.2530865608544, 16.357794725475816 48.25316667964198, 16.357829877032927 48.252854724601065, 16.357961174798902 48.25286284921033, 16.357970139511398 48.25273132331151, 16.35732308640737 48.25270530907148, 16.357366935170162 48.25236019045309, 16.357502937638635 48.25128914168901, 16.357556116780476 48.2512646821886, 16.357569948963967 48.25117221874402, 16.358416842811767 48.251266484777666, 16.358776931858735 48.25130828878591, 16.358894171999918 48.25132315994158, 16.360919587851015 48.251578481260786, 16.361014025792507 48.25166417681552, 16.36176123728651 48.25163197421599, 16.36193541929787 48.25206360434623, 16.362371939412512 48.25198144313748, 16.36238191900377 48.25201038697027, 16.362399963589933 48.25200841604393, 16.362491606041996 48.25215312739193, 16.362416608949495 48.25216860196733, 16.3616804547519 48.252359309884035, 16.361565404376854 48.25238912514022, 16.36080542044273 48.25246123612809, 16.360699284920287 48.25269507972061, 16.360575026454 48.253327434104676, 16.359555880722866 48.25327368831846, 16.35952360271186 48.25336587425083, 16.359364450702305 48.253374337667076, 16.359370784505252 48.25341424329095, 16.359218621470305 48.25342607750237, 16.35922510685085 48.25347385207109, 16.359085479418017 48.253482873233416, 16.359098418050554 48.25353739134524, 16.35893589802791 48.25354697898131, 16.358949637302516 48.253615548677665, 16.358723828458007 48.25363189342965, 16.358712632813074 48.25358974045352, 16.358420560867422 48.253616214894585, 16.358480355388718 48.25393377228368))",HeiligenstäP*,L,Heiligenstädter Park,Heiligenstädter Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,123,1,1706.561388,78432.924769,
OEFFGRUENFLOGD.646,646,"POLYGON ((16.35128536500729 48.25695073108136, 16.35127881734888 48.25712328706167, 16.35117959201608 48.257218009195725, 16.350197182619223 48.25681990808581, 16.350185458165583 48.25679068195041, 16.350312966100397 48.256698486921685, 16.35053729622138 48.25658183004831, 16.350806608380896 48.256480903998856, 16.351180694513918 48.256390362300905, 16.35128536500729 48.25695073108136))",Park Langack*,L,Park Langackergasse,Parkanlage Langackergasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.08084,4282.211787,
OEFFGRUENFLOGD.647,647,"POLYGON ((16.331011591558834 48.243447802854305, 16.33113450774367 48.243783619423596, 16.331104614913468 48.24381905103928, 16.331099091373126 48.24385448369877, 16.33082954059245 48.24392452818986, 16.330746190589764 48.2434430965093, 16.3303536952597 48.243492535408194, 16.33032102324947 48.243334311498316, 16.33024408065804 48.24296165513794, 16.33061879009666 48.24289366295811, 16.33084996049785 48.2428672563471, 16.330872745700017 48.242950846650956, 16.330832196854224 48.24295947641708, 16.33087171726418 48.243042493716736, 16.33082074335057 48.24305309430115, 16.330992904420047 48.24343054333404, 16.331011591558834 48.243447802854305))",Alfred-Auer-*,L,Alfred-Auer-Park,Alfred-Auer-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.31833,3846.40284,
OEFFGRUENFLOGD.648,648,"POLYGON ((16.334965593981334 48.21876971365952, 16.33495549991504 48.21882648288893, 16.335102040828257 48.21923258202528, 16.334254361762856 48.21940878117539, 16.33410433212086 48.21889869839669, 16.334306864164112 48.21885233021498, 16.33479805305954 48.218750320903176, 16.334943983044216 48.21871266354117, 16.334965593981334 48.21876971365952))",Pezzlpark,L,Pezzlpark,Pezzlpark,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,248.878278,3768.797616,
OEFFGRUENFLOGD.649,649,"POLYGON ((16.331141160852276 48.24601364353679, 16.33120753219084 48.246094044822584, 16.331775353727537 48.246585902709725, 16.33174969481584 48.24663094377831, 16.33124360641224 48.24620206446878, 16.3309486277607 48.245951368607905, 16.330601786249105 48.2460963667203, 16.330542671867715 48.24602751079716, 16.330372646416105 48.24576979304438, 16.3301422378392 48.24548391089084, 16.33036675892823 48.245437890929395, 16.330352491721243 48.24539489142521, 16.330726401386805 48.245289240198524, 16.331047520007992 48.24528981668672, 16.331836048174566 48.24518279060223, 16.332179322125295 48.24515412091505, 16.332287549181423 48.24548117725792, 16.331720824850567 48.24569959296874, 16.331371865537044 48.24579725535602, 16.331290093805595 48.245820140384886, 16.331292286919005 48.24582240943933, 16.331263336612558 48.245831560534015, 16.33118544482979 48.24587226461367, 16.3311416813985 48.24592058907153, 16.331141160852276 48.24601364353679))",Park Börnerg*,L,Park Börnergasse,Parkanlage Börnergasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,1,596.421058,9524.124612,
OEFFGRUENFLOGD.650,650,"POLYGON ((16.346318884068786 48.2236696879741, 16.346613352176732 48.22373085340804, 16.345574490814343 48.22381629006975, 16.345751179517922 48.22352753304264, 16.346318884068786 48.2236696879741))",Vilma-Degisc*,L,Vilma-Degischer-Park,Vilma-Degischer-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,180.420663,1147.398491,
OEFFGRUENFLOGD.651,651,"POLYGON ((16.306142540231118 48.24881892609931, 16.305988483514025 48.24861794559437, 16.30582619221602 48.248454622276455, 16.305630927157743 48.248267401596934, 16.305378550938244 48.24789130994891, 16.30586298116658 48.247717758607756, 16.30584414477513 48.247693584663956, 16.306306882998616 48.247538011977724, 16.306662996473552 48.24735093431987, 16.306791604576738 48.24729082565352, 16.30693450588563 48.24724111830343, 16.30713852080471 48.24719479947522, 16.307658228685888 48.24699764248472, 16.307657516969016 48.24709150796011, 16.307678510533265 48.24719446183864, 16.30765454513074 48.247327823832336, 16.30748097050736 48.247537029955765, 16.306688886939938 48.248370698122635, 16.306341442788153 48.24877718216464, 16.306217801031227 48.248736603802094, 16.306142540231118 48.24881892609931))",Ottingerwiese,L,Ottingerwiese,Ottingerwiese,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.417062,14786.954098,
OEFFGRUENFLOGD.652,652,"POLYGON ((16.3601652438625 48.25671679666987, 16.36042353511324 48.25701520073884, 16.360191650005547 48.257342935743196, 16.359858879849615 48.25727140656093, 16.359885608022324 48.25720131329833, 16.360123305063915 48.25670337156347, 16.3601652438625 48.25671679666987))",Park Hammers*,L,Park Hammerschmidt*,Parkanlage Hammerschmidtgasse,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,174.200472,1614.386478,
OEFFGRUENFLOGD.653,653,"POLYGON ((16.307871793943008 48.20135969598527, 16.307330815510873 48.20144949398942, 16.306775885774147 48.20146677831816, 16.306776518487272 48.20082854269273, 16.307587853603806 48.20079530345996, 16.307871793943008 48.20135969598527))",Ordeltpark,L,Ordeltpark,Ordeltpark,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,12,1,280.335714,4989.250727,
OEFFGRUENFLOGD.654,654,"POLYGON ((16.36073953139031 48.212080930842596, 16.358980880774716 48.21231483599051, 16.358698832495193 48.21136156806907, 16.358636730911496 48.21136970561642, 16.358579093487773 48.21137725769938, 16.358402304890934 48.21140042354202, 16.358342160835083 48.211408304244245, 16.35818407102938 48.21142901908218, 16.35818368019877 48.21142755866629, 16.358342698326073 48.211406651194984, 16.358238961606567 48.21110202755107, 16.35830798350013 48.21109526933071, 16.358213121763818 48.210776311508674, 16.358343359520667 48.21075998620395, 16.35830926991844 48.210648420804894, 16.35818602807271 48.21066249643133, 16.35808699674458 48.21034325779747, 16.358017964540956 48.21035507454824, 16.357935234182932 48.21004876033874, 16.357782923009868 48.21006896991226, 16.357782258785143 48.21006366226645, 16.357939671769923 48.210042858173125, 16.35799977927893 48.21003491383501, 16.35810526201973 48.210020973114986, 16.358235490785336 48.21000376120503, 16.35829588073845 48.20999577978554, 16.358289763980334 48.209973593908636, 16.358279090994866 48.209934874961306, 16.358277745590282 48.209935055084884, 16.358276532671503 48.20993046880046, 16.35827106318582 48.20991157699696, 16.35826387834585 48.20988676441854, 16.358255674808667 48.20985843390647, 16.358244192835624 48.209818779821184, 16.358243518269713 48.209814553159376, 16.358228787437238 48.209763480166245, 16.358214521517326 48.20971401506076, 16.358211720081 48.20970430297209, 16.35820960586665 48.209696973942236, 16.358209022402576 48.209694950590375, 16.358207137223104 48.209691443615526, 16.358203209459028 48.20967822440553, 16.358197705203075 48.20965969952596, 16.358184095946385 48.20961338729642, 16.358183826386583 48.20961230816732, 16.35818247916891 48.20960826149797, 16.358184510678658 48.209607899581265, 16.358018494164057 48.20904516279357, 16.359773669472734 48.20880818109425, 16.36016823696499 48.210152016601555, 16.360168188536704 48.210152036396686, 16.360169096874916 48.21015518651498, 16.360170676363126 48.210160672019796, 16.36017296559381 48.210164718467794, 16.360189443243854 48.21022081262985, 16.360212903103914 48.21030067877678, 16.360233069367514 48.21036932662649, 16.36027861616346 48.21052438183232, 16.36029973540294 48.21059627420376, 16.360301655828636 48.21060281543296, 16.360320930174193 48.21066843005445, 16.360338592751283 48.21072855557957, 16.36033994021076 48.21073269215455, 16.360341362035918 48.21073759583143, 16.360341962161062 48.21073766045547, 16.36073953139031 48.212080930842596))",Rathauspark,R,Rathauspark,Rathauspark,10,110000,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1139.610152,53116.735222,
OEFFGRUENFLOGD.655,655,"POLYGON ((16.325344454317364 48.23437542435315, 16.32537358811981 48.23442235954077, 16.32466897076693 48.23461339608896, 16.324219752727817 48.23473532014664, 16.323955887891092 48.23437528667939, 16.3237768741653 48.234091906577746, 16.324210911834 48.233992097697026, 16.325006411768907 48.233818960049895, 16.325344454317364 48.23437542435315))",Albert-Dub-P*,L,Albert-Dub-Park,Albert-Dub-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,12,1,339.969166,7175.263917,
OEFFGRUENFLOGD.656,656,"POLYGON ((16.239635101625122 48.213953358809945, 16.23969380185226 48.214004838160506, 16.239630941074125 48.21416047970767, 16.239569690958792 48.21424501987397, 16.239448606893273 48.21437841100419, 16.23929612251097 48.214465404106114, 16.23921657272042 48.21447067637741, 16.239110917448297 48.214348055412515, 16.23908934436672 48.21430054249565, 16.239298999142235 48.21393986819149, 16.239367520618444 48.21392193949454, 16.239635101625122 48.213953358809945))",Edenstraße,L,Edenstraße,Edenstraße,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,163.696473,1690.886993,
OEFFGRUENFLOGD.657,657,"POLYGON ((16.320973220973265 48.252361178086666, 16.32072231611312 48.252475525555624, 16.32067101072346 48.252475518705566, 16.320624429922773 48.25243729175899, 16.32058528037601 48.25236112656917, 16.320387973377976 48.251976925078985, 16.320484663899677 48.25195810933655, 16.321043877695384 48.25203602981633, 16.322007827877 48.251804298439765, 16.322024128819024 48.25182678320077, 16.321775079627056 48.25201673197059, 16.321512727293428 48.25214850389632, 16.321245771089643 48.2522424927828, 16.32122777104275 48.2522103967595, 16.321157605337536 48.2522389857774, 16.32108491102081 48.25216478319867, 16.321020404958908 48.252179793276305, 16.320980433207396 48.252132468108755, 16.32075255887633 48.25221078417954, 16.320869939213406 48.25234500928012, 16.320995321975477 48.25230380495423, 16.321037388051995 48.252331967874476, 16.320973220973265 48.252361178086666))",Blindengarten,L,Blindengarten,Blindengarten,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,377.3638,3016.316559,
OEFFGRUENFLOGD.658,658,"POLYGON ((16.360797520882638 48.24725563090851, 16.360902652274167 48.24747734518906, 16.361465834209977 48.24819863806597, 16.36129323634688 48.24824532786638, 16.361155376436145 48.24828695120143, 16.36029911153219 48.2473569096481, 16.3603099847386 48.2470334366693, 16.360694385100945 48.24697911474382, 16.360797520882638 48.24725563090851))",Park Püchlga*,L,Park Püchlgasse,Parkanlage Püchlgasse,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,359.633887,4642.36646,
OEFFGRUENFLOGD.659,659,"POLYGON ((16.326326709726832 48.24498851201184, 16.326330160406968 48.24499639567198, 16.32577224580178 48.245093865845405, 16.325468582176175 48.24441963580963, 16.325055157330226 48.24355569534431, 16.325074552427527 48.24352084885095, 16.325611297613523 48.24336857783084, 16.325616912273976 48.24336689213008, 16.32561761203781 48.24336857840393, 16.326009480015777 48.2442591912879, 16.326326709726832 48.24498851201184))",Raimund-Zode*,L,Raimund-Zoder-Park,Raimund-Zoder-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,458.66125,8179.521018,
OEFFGRUENFLOGD.660,660,"POLYGON ((16.337932979139467 48.243127626666194, 16.33660870763467 48.24323078104613, 16.33659914497261 48.24290028384758, 16.33789715442705 48.24280190804296, 16.337932979139467 48.243127626666194))",Park In-der-*,L,Park In-der-Krim,Parkanlage In-der-Krim,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,0,269.127914,3571.905732,
OEFFGRUENFLOGD.661,661,"POLYGON ((16.318660067751548 48.241554723000135, 16.318603547898338 48.24148052115841, 16.319938433707843 48.24117298739662, 16.320004768846808 48.24110787025668, 16.32041838781022 48.2409908367357, 16.321170458672523 48.240889134334125, 16.321535589337955 48.24083360348662, 16.321574208860735 48.24090121417857, 16.321725272017403 48.24135145143909, 16.320660839878084 48.241492955623556, 16.320480957313528 48.241100561356646, 16.318660067751548 48.241554723000135))",Dr.-Meißner-*,L,Dr.-Meißner-Park,Dr.-Meißner-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,571.045849,6149.350173,
OEFFGRUENFLOGD.662,662,"POLYGON ((16.356958101715 48.24510844370103, 16.356942438267314 48.24585712366364, 16.356346370868255 48.24584374074505, 16.35626543694163 48.2458086251857, 16.35616597523329 48.245221279579994, 16.35612773897516 48.2450880756874, 16.356858150241063 48.24505590784245, 16.356958101715 48.24510844370103))",Setagayapark,L,Setagayapark,Setagayapark,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.343672,4770.866863,
