FID,OBJECTID,SHAPE,TEXT13ID,P_TYP,T_TEXT,T_LANG,O,P,SE_ANNO_CAD_DATA
OEFFGRUENPKTGOGD.2220,2220,POINT (16.426949349259676 48.30004335456254),Marchfeldkan*,Z,Marchfeldkanal,Marchfeldkanal,10,0,
OEFFGRUENPKTGOGD.2221,2221,POINT (16.430486480855954 48.30260158512472),Marchfeldkan*,Z,Marchfeldkanal,Marchfeldkanal,10,0,
OEFFGRUENPKTGOGD.2222,2222,POINT (16.428657532810693 48.3017330119442),Marchfeldkan*,Z,Marchfeldkanal,Marchfeldkanal,10,0,
OEFFGRUENPKTGOGD.2223,2223,POINT (16.427060590651497 48.297734856860856),Marchfeldkan*,Z,Marchfeldkanal,Marchfeldkanal,10,0,
OEFFGRUENPKTGOGD.2224,2224,POINT (16.427005001719145 48.2985523453999),Marchfeldkan*,Z,Marchfeldkanal,Marchfeldkanal,10,0,
OEFFGRUENPKTGOGD.2225,2225,POINT (16.43126403602852 48.28987825397246),In den Winke*,Z,In den Winkeln,In den Winkeln,1,0,
OEFFGRUENPKTGOGD.2226,2226,POINT (16.436627885326935 48.28869490863704),In den Winke*,Z,In den Winkeln,In den Winkeln,1,0,
OEFFGRUENPKTGOGD.2227,2227,POINT (16.438837019788508 48.21191558727165),Neue Donau,Z,Am Kaisermühlendamm,Am Kaisermühlendamm,100,0,
OEFFGRUENPKTGOGD.2228,2228,POINT (16.43870042488198 48.2120676012921),Neue Donau,Z,Am Kaisermühlendamm,Am Kaisermühlendamm,100,0,
OEFFGRUENPKTGOGD.2229,2229,POINT (16.44530532985328 48.15556119922056),Kaiser-Ebers*,Z,Kaiser-Ebersdorf,Kaiser-Ebersdorf,1,0,
OEFFGRUENPKTGOGD.2230,2230,POINT (16.455687487926816 48.15054027443919),SimmeringeS *,Z,Simmeringer Hauptstraße,Simmeringer Hauptstraße,1,0,
OEFFGRUENPKTGOGD.2231,2231,POINT (16.449506836525273 48.20539857523667),Kleehäufel,Z,Kleehäufel,Kleehäufel,1,0,
OEFFGRUENPKTGOGD.2232,2232,POINT (16.451430850644964 48.205737487668266),Kleehäufel,Z,Kleehäufel,Kleehäufel,1,0,
OEFFGRUENPKTGOGD.2233,2233,POINT (16.455454128282796 48.20234347930373),Kleehäufel,Z,Kleehäufel,Kleehäufel,1,0,
OEFFGRUENPKTGOGD.2234,2234,POINT (16.453728969601986 48.20266879791197),Kleehäufel,Z,Kleehäufel,Kleehäufel,1,0,
OEFFGRUENPKTGOGD.2235,2235,POINT (16.45409491963814 48.20285303489861),Kleehäufel,Z,Kleehäufel,Kleehäufel,1,0,
OEFFGRUENPKTGOGD.2236,2236,POINT (16.467303844436312 48.21890633022048),Langobarden-*,Z,Langobarden-straße,Langobardenstraße,1,0,
OEFFGRUENPKTGOGD.2237,2237,POINT (16.464498753566076 48.21936852993915),Langobarden-*,Z,Langobarden-straße,Langobardenstraße,1,0,
OEFFGRUENPKTGOGD.2238,2238,POINT (16.48828582221495 48.20244250245934),Naturistenpa*,Z,Naturistenpark Lobau,Naturistenpark Lobau,1,0,
OEFFGRUENPKTGOGD.2239,2239,POINT (16.493852636519755 48.278353905182904),Schloss Süße*,Z,Schloss Süßenbrunn,Schloss Süßenbrunn,1,0,
OEFFGRUENPKTGOGD.2240,2240,POINT (16.492438903102396 48.253976958130416),AgavenwegW,Z,Agavenweg West,Agavenweg West,1,0,
OEFFGRUENPKTGOGD.2241,2241,POINT (16.523821969921613 48.20915191719399),Raphael-Donn*,Z,Raphael-Donner-Allee,Raphael-Donner-Allee,1,0,
OEFFGRUENPKTGOGD.2242,2242,POINT (16.531494309510343 48.259118514422724),Neurisse,Z,Neurisse,Speierlinggasse,1,0,
OEFFGRUENPKTGOGD.2243,2243,POINT (16.489576004388173 48.204406592392644),Naturisten-p,Z,Naturisten-park Lobau,Naturistenpark Lobau,1,0,
OEFFGRUENPKTGOGD.2244,2244,POINT (16.519549607451644 48.20146527707874),Lobau,Z,Lobau,Lobau,1,1,
OEFFGRUENPKTGOGD.2245,2245,POINT (16.39195627444065 48.28907413394927),Marchfeldkan*,Z,Marchfeldkanal/Ziegelofen,Ziegelofenweg,1,0,
