FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHULEOGD.481919,POINT (16.404887239912636 48.19848927251813),Volksschule Dietrichgasse 36,"3., Dietrichgasse 36",481919,
SCHULEOGD.481923,POINT (16.326300642049134 48.177835474167416),Volksschule Ruckergasse 42,"12., Ruckergasse 42",481923,
SCHULEOGD.481926,POINT (16.294637871638457 48.14769906544388),Volksschule Kirchenplatz 2-3,"23., Kirchenplatz 2-3",481926,
SCHULEOGD.481927,POINT (16.332660696341723 48.21202932522844),Volksschule Gaullachergasse 49,"16., Gaullachergasse 49-51",481927,
SCHULEOGD.481928,POINT (16.438990688397833 48.25147667193374),Volksschule Klenaugasse 12,"22., Klenaugasse 12",481928,
SCHULEOGD.481929,POINT (16.350111310577034 48.20791287024368),Volksschule Zeltgasse 7,"8., Zeltgasse 7",481929,
SCHULEOGD.481930,POINT (16.274841953899415 48.136276853789894),Volksschule Pülslgasse 28,"23., Pülslgasse 28",481930,
SCHULEOGD.481935,POINT (16.31226880633135 48.14255118858157),Volksschule Erlaaer Straße 72-74,"23., Erlaaer Straße 72-74",481935,
SCHULEOGD.481940,POINT (16.33991877535654 48.22892954002813),Volksschule Cottagegasse 17,"18., Cottagegasse 17",481940,
SCHULEOGD.481941,POINT (16.34469928857731 48.199652904423544),Volksschule Zieglergasse 21,"7., Zieglergasse 21-23",481941,
SCHULEOGD.481943,POINT (16.481338269407658 48.24008056580797),Volksschule Prinzgasse 3,"22., Prinzgasse 3",481943,
SCHULEOGD.481944,POINT (16.33308165003379 48.194535883736975),Volksschule Friedrichsplatz 5,"15., Friedrichsplatz 5",481944,
SCHULEOGD.481947,POINT (16.362937155355382 48.1628838266293),Volksschule Neilreichgasse 111,"10., Neilreichgasse 111",481947,
SCHULEOGD.481949,POINT (16.354035107993816 48.22589533171641),Volksschule Galileigasse 5,"9., Galileigasse 5",481949,
SCHULEOGD.481950,POINT (16.385289810400437 48.21871622210383),Volksschule Novaragasse 30,"2., Novaragasse 30",481950,
SCHULEOGD.481953,POINT (16.41074397239202 48.17266110129706),Volksschule Herderplatz 1,"11., Herderplatz 1",481953,
SCHULEOGD.481956,POINT (16.410933629547312 48.27590021820922),Volksschule Berzeliusgasse 2,"21., Berzeliusgasse 2-4",481956,
SCHULEOGD.481960,POINT (16.38482023170256 48.224150662951594),Volksschule Vereinsgasse 29,"2., Vereinsgasse 29",481960,
SCHULEOGD.481961,POINT (16.453526403743197 48.269578200465524),Volksschule Adolf Loos-Gasse 2,"21., Adolf-Loos-Gasse 2",481961,
SCHULEOGD.481964,POINT (16.313918010315746 48.197655725461054),Volksschule Lortzinggasse 2,"14., Lortzinggasse 2",481964,
SCHULEOGD.481970,POINT (16.366925526366973 48.24039367701616),Volksschule Dietmayrgasse 3,"20., Dietmayrgasse 3",481970,
SCHULEOGD.481975,POINT (16.40478600494767 48.137580794301954),Volksschule Ober-Laaer Platz 1,"10., Ober-Laaer Platz 1",481975,
SCHULEOGD.481978,POINT (16.478966904940723 48.217346162958684),Expositur der Volksschule Oberdorfstraße 2 Langobardenstraße 178,"22., Langobardenstraße 178",481978,
SCHULEOGD.481983,POINT (16.320574601937434 48.16229278747633),Volksschule Rothenburgstraße 1,"12., Rothenburgstraße 1",481983,
SCHULEOGD.481984,POINT (16.377711238345093 48.21536207907496),Volksschule Kleine Sperlgasse 2a,"2., Kleine Sperlgasse 2A",481984,
SCHULEOGD.481985,POINT (16.410076913573533 48.28430498973837),Volksschule Hanreitergasse 2,"21., Hanreitergasse 2",481985,
SCHULEOGD.481987,POINT (16.35434967542187 48.220694451572186),Volksschule Währinger Straße 43,"9., Währinger Straße 43",481987,
SCHULEOGD.481988,POINT (16.420584793178005 48.28659365509687),Volksschule Rittingergasse 29a,"21., Rittingergasse 29A",481988,
SCHULEOGD.481991,POINT (16.26771839285241 48.15211630693759),Volksschule I Bendagasse 1-2,"23., Bendagasse 1-2",481991,
SCHULEOGD.481995,POINT (16.420367154256933 48.17990605421701),Volksschule Simoningplatz 2,"11., Simoningplatz 2",481995,
SCHULEOGD.481997,POINT (16.472750915559992 48.24583500460501),Volksschule Pastinakweg 10,"22., Pastinakweg 10",481997,
SCHULEOGD.481998,POINT (16.437400260961134 48.25952151695806),Volksschule Zehdengasse 9,"21., Zehdengasse 9",481998,
SCHULEOGD.482000,POINT (16.37963542826202 48.17533127718863),Volksschule Quellenstraße 54,"10., Quellenstraße 52-54",482000,
SCHULEOGD.482001,POINT (16.364303086573806 48.18948346913715),Volksschule Phorusgasse 4,"4., Phorusgasse 4",482001,
SCHULEOGD.482005,POINT (16.389856508691565 48.1666394639052),Volksschule Rudolf-Friemel-Gasse 3,"10., Rudolf-Friemel-Gasse 3",482005,
SCHULEOGD.481661,POINT (16.39446998099772 48.1473635722971),Volksschule Wendstattgasse 3,"10., Wendstattgasse 3",481661,
SCHULEOGD.481665,POINT (16.314825694548862 48.151212571397586),Volksschule II Anton-Baumgartner-Straße 44,"23., Anton-Baumgartner-Straße 44",481665,
SCHULEOGD.481671,POINT (16.457328006946252 48.25738507095711),Volksschule Mira-Lobe-Weg 4,"22., Mira-Lobe-Weg 4",481671,
SCHULEOGD.481673,POINT (16.36115135272926 48.16739316452508),Volksschule Georg-Wilhelm-Pabst-Gasse 2,"10., Georg-Wilhelm-Pabst-Gasse 2",481673,
SCHULEOGD.481679,POINT (16.387472086043157 48.21477953454689),Volksschule Czerninplatz 3,"2., Czerninplatz 3",481679,
SCHULEOGD.481680,POINT (16.363885981613013 48.231523707084314),Volksschule Treustraße 55,"20., Treustraße 55",481680,
SCHULEOGD.481682,POINT (16.362169249966588 48.22124348422627),Volksschule Grünentorgasse 9,"9., Grünentorgasse 9",481682,
SCHULEOGD.481698,POINT (16.315824371529466 48.224717486015884),Volksschule Halirschgasse 25,"17., Halirschgasse 25",481698,
SCHULEOGD.481706,POINT (16.444667225543355 48.237159876970146),Volksschule Georg-Bilgeri-Straße 13,"22., Georg-Bilgeri-Straße 13",481706,
SCHULEOGD.481707,POINT (16.501438234927136 48.25247444033789),Volksschule Schukowitzgasse 89,"22., Schukowitzgasse 89",481707,
SCHULEOGD.481709,POINT (16.306504458871593 48.20140892315035),Volksschule Zennerstraße 1,"14., Zennerstraße 1",481709,
SCHULEOGD.481688,POINT (16.402206240002037 48.2799351210464),Volksschule Jochbergengasse 1,"21., Jochbergengasse 1",481688,
SCHULEOGD.481690,POINT (16.330295473693234 48.19639014824681),Volksschule Benedikt-Schellinger-Gasse 1-3,"15., Benedikt-Schellinger-Gasse 1-3",481690,
SCHULEOGD.481692,POINT (16.331536540128727 48.185547394228585),Volksschule Ortnergasse 4,"15., Ortnergasse 4",481692,
