FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,ZUSATZ,SE_ANNO_CAD_DATA
MULTIMEDIAOGD.90,90,POINT (16.350721217920803 48.155584315432286),"10., Otto Probst Straﬂe 14",10,Einkaufszentrum Tesarekplatz,
MULTIMEDIAOGD.91,91,POINT (16.407801113057882 48.28100368205725),"21., Bernreiterplatz 11",21,,
MULTIMEDIAOGD.92,92,POINT (16.387141154833213 48.238083898877534),"20., Engerthstraﬂe 95-97",20,Donaueschingenstraﬂe,
MULTIMEDIAOGD.93,93,POINT (16.3657712831212 48.25487383276061),"19., Grinzinger Straﬂe 145",19,Heiligenst‰dter Straﬂe,
MULTIMEDIAOGD.94,94,POINT (16.345821337049387 48.22361399356939),"18., Staudgasse gegen¸ber von 5",18,Hans Sachs Gasse,
MULTIMEDIAOGD.95,95,POINT (16.33733136114522 48.2108040601033),"16., Neulerchenfelder Straﬂe 11",16,,
MULTIMEDIAOGD.96,96,POINT (16.364661208895956 48.197644106200094),"4., K¸hnplatz 4",4,,
MULTIMEDIAOGD.97,97,POINT (16.354471262009994 48.19984410223713),"6., Mariahilfer Straﬂe 47",6,,
MULTIMEDIAOGD.98,98,POINT (16.361901288198318 48.24488388226),"19., Heiligenst‰dter Straﬂe 78",19,Gunoldstraﬂe,
MULTIMEDIAOGD.99,99,POINT (16.363161201019498 48.18633416132454),"5., Wiedner Hauptstraﬂe 100",5,,
MULTIMEDIAOGD.100,100,POINT (16.405311112622947 48.271743727377164),"21., Lundenburgergasse 2",21,Br¸nner Straﬂe,
MULTIMEDIAOGD.101,101,POINT (16.344431306539544 48.19679412320241),"6., Mariahilfer Straﬂe 109",6,,
MULTIMEDIAOGD.102,102,POINT (16.326231429444043 48.2211840173989),"17., Gschwandnergasse 60",17,Rˆtzergasse,
MULTIMEDIAOGD.103,103,POINT (16.377601204003206 48.23956389765519),"20., Hˆchst‰dtplatz 5",20,,
MULTIMEDIAOGD.104,104,POINT (16.34192131818943 48.196284127150875),"6., Mariahilfer Straﬂe 119",6,,
MULTIMEDIAOGD.105,105,POINT (16.39095108758091 48.20284406542148),"3., Rochusplatz ",3,W7 U-3 Aufgang Rasumofskygasse bei PA,
MULTIMEDIAOGD.106,106,POINT (16.32821138754787 48.19808412697404),"15., Schweglerstraﬂe 23",15,M‰rzstraﬂe,
MULTIMEDIAOGD.107,107,POINT (16.420761036653793 48.27123372067954),"21., Siemensstraﬂe 85",21,Thayagasse,
MULTIMEDIAOGD.108,108,POINT (16.394761140621704 48.254203817317794),"21., Floridsdorfer Hauptstraﬂe 10",21,Matth‰us Jiszda Straﬂe,
MULTIMEDIAOGD.109,109,POINT (16.393001086029138 48.20851403705734),"3., Lˆwengasse 22",3,W7 PA1035,
MULTIMEDIAOGD.110,110,POINT (16.341711383357346 48.242343906739876),"19., Obkirchergasse 16",19,Sonnbergplatz,
MULTIMEDIAOGD.111,111,POINT (16.307301518147618 48.21796404496948),"16., Wilhelminenstraﬂe 94",16,,
MULTIMEDIAOGD.112,112,POINT (16.39113107391284 48.193554108944944),"3., Boerhaavegasse ",3,Rennweg 63,
MULTIMEDIAOGD.113,113,POINT (16.35300131315755 48.23125395262711),"9., W‰hringer G¸rtel gegen¸ber von 164",9,vor U-6 Station Nuﬂdorfer Straﬂe,
MULTIMEDIAOGD.114,114,POINT (16.298941513984843 48.186484200024815),"13., Hietzinger Hauptstraﬂe 19",13,Verkehrsinsel Dommayergasse,
MULTIMEDIAOGD.115,115,POINT (16.32972135657985 48.18120420665629),"12., Meidlinger Hauptstraﬂe 17",12,,
MULTIMEDIAOGD.116,116,POINT (16.371871137667696 48.171354226929154),"10., Inzersdorfer Straﬂe 34",10,Laxenburger Straﬂe Merkur Markt,
MULTIMEDIAOGD.117,117,POINT (16.327951361908728 48.178344221353306),"12., Pohlgasse 12",12,PA1123,
MULTIMEDIAOGD.118,118,POINT (16.285661555690293 48.16946428963594),"13., Speisinger Straﬂe 41",13,PA1134,
MULTIMEDIAOGD.119,119,POINT (16.397961129272097 48.257973797459385),"21., Am Spitz 2-3",21,Schloﬂhofer Straﬂe,
MULTIMEDIAOGD.120,120,POINT (16.387441108535374 48.20516405610766),"3., Landstraﬂer Hauptstraﬂe 10",3,W7 G‰rtnergasse,
MULTIMEDIAOGD.121,121,POINT (16.274021645491715 48.193104184469675),"14., Hochsatzengasse 1A",14,Hackinger Straﬂe,
MULTIMEDIAOGD.122,122,POINT (16.395861136575657 48.2559538084351),"21., Floridsdorfer Hauptstraﬂe 31",21,Wolfschanzengasse,
MULTIMEDIAOGD.123,123,POINT (16.354471258911804 48.19788411164613),"6., Schadekgasse 2",6,Fritz Gr¸nbaumplatz,
MULTIMEDIAOGD.124,124,POINT (16.395791144004672 48.26056378640065),"21., Prager Straﬂe 20",21,Gerichtsgasse,
MULTIMEDIAOGD.125,125,POINT (16.355511269611604 48.209094057148846),"1., Stadiongasse 11",1,Halle Eingang Rest.,
MULTIMEDIAOGD.126,126,POINT (16.384721071971587 48.16938422894455),"10., Laaer Berg Straﬂe 32",10,,
MULTIMEDIAOGD.127,127,POINT (16.330471341706843 48.17329424395719),"12., Schedifkaplatz ",12,"U-6,Badner Bahn,Haidackergasse",
MULTIMEDIAOGD.128,128,POINT (16.361941217806713 48.19421412438831),"4., Kettenbr¸ckengasse 2",4,W6,
MULTIMEDIAOGD.129,129,POINT (16.352341254741344 48.187764160841),"5., Margaretenstraﬂe 125",5,,
MULTIMEDIAOGD.130,130,POINT (16.249321795807703 48.21461409687006),"14., H¸ttelbergstraﬂe 71",14,Knˆdelh¸ttenstraﬂe,
MULTIMEDIAOGD.131,131,POINT (16.31767137377471 48.151074357673494),"23., Anton Baumgartner Straﬂe 119",23,Erlaaer Schleife,
MULTIMEDIAOGD.132,132,POINT (16.31123146452121 48.19344415905163),"14., Linzer Straﬂe 42",14,Reinlgasse,
MULTIMEDIAOGD.133,133,POINT (16.401781119982964 48.26490376184105),"21., Br¸nnerstraﬂe 53",21,vor PA 1210/Autobahnabfahrt,
MULTIMEDIAOGD.134,134,POINT (16.390331101435915 48.21095402675359),"3., Radetzkyplatz 5",3,,
MULTIMEDIAOGD.135,135,POINT (16.34845127990872 48.19198414327031),"6., Grabnergasse 15",6,Gumpendorfer Straﬂe,
MULTIMEDIAOGD.136,136,POINT (16.363671169318266 48.16600425765237),"10., Neilreichgasse 105",10,,
MULTIMEDIAOGD.137,137,POINT (16.354851313608908 48.239013914728694),"19., Dˆblinger Hauptstraﬂe 66",19,,
MULTIMEDIAOGD.138,138,POINT (16.324361381903742 48.180204214341025),"12., Aichholzgasse 23-25",12,Tivoligasse,
MULTIMEDIAOGD.139,139,POINT (16.224101912003935 48.20889414032931),"14., Hauptstraﬂe 35",14,,
MULTIMEDIAOGD.140,140,POINT (16.335211347824135 48.19428414004984),"15., Mariahilfer Straﬂe 146",15,Zwˆlfergasse,
MULTIMEDIAOGD.141,141,POINT (16.409601073765042 48.2589637859066),"21., Leopoldauer Straﬂe 39",21,Pilzgasse,
MULTIMEDIAOGD.142,142,POINT (16.294551565398393 48.20730410344799),"14., Flˆtzersteig ",14,bei Fuﬂg‰ngerbr¸cke,
MULTIMEDIAOGD.143,143,POINT (16.41361104621564 48.25294381212524),"21., Donaufelder Straﬂe 44",21,Fultonstraﬂe 31,
MULTIMEDIAOGD.144,144,POINT (16.310251406981592 48.14899437220335),"23., Anton Baumgartner Straﬂe 133-135",23,,
MULTIMEDIAOGD.145,145,POINT (16.30193151599654 48.19816414222501),"14., Heinrich-Collin-Straﬂe 2",14,H¸tteldorfer Straﬂe,
MULTIMEDIAOGD.146,146,POINT (16.335291334914693 48.18540418255513),"12., Stiegerbr¸cke ",12,U-6 Ost,
MULTIMEDIAOGD.147,147,POINT (16.307971431946708 48.15922432468351),"23., Breitenfurter Straﬂe 116",23,,
MULTIMEDIAOGD.148,148,POINT (16.394031076707996 48.205504050132326),"3., Rasumofskygasse 9-11",3,,
MULTIMEDIAOGD.149,149,POINT (16.25884172675393 48.19826416929789),"14., Brudermanngasse 18",14,Keiﬂlergasse,
MULTIMEDIAOGD.150,150,POINT (16.337741314010618 48.17885421234446),"12., Aﬂmayergasse 35",12,vor Kindertagesheim,
MULTIMEDIAOGD.151,151,POINT (16.339411324107413 48.19171415018148),"6., Strohmayergasse 15",6,,
MULTIMEDIAOGD.152,152,POINT (16.306761513339552 48.21330406753283),"16., Thaliastraﬂe 147",16,,
MULTIMEDIAOGD.153,153,POINT (16.3343013389012 48.18429418882798),"12., Schˆnbrunner Straﬂe gegen¸ber von 223",12,U-6 West gegen¸ber Gierstergasse,
MULTIMEDIAOGD.154,154,POINT (16.369961188711773 48.20213408101738),"1., K‰rntner Ring 2a",1,W5,
