FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,ZUSATZ,SE_ANNO_CAD_DATA
MULTIMEDIAOGD.420,420,POINT (16.56163014042324 48.12001435501852),"30., Flughafen ",30,Pier Ost Cafe Johann Strauﬂ/,
MULTIMEDIAOGD.421,421,POINT (16.39154108894949 48.2063140482512),"3., Marxergasse 26",3,Weyrgasse,
MULTIMEDIAOGD.422,422,POINT (16.391181085546478 48.20180406960158),"3., Rochusgasse 2",3,Landstraﬂer Hauptstr,
MULTIMEDIAOGD.423,423,POINT (16.40100103056617 48.19716408615854),"3., Kardinal Nagl Platz gegen¸ber von 7",3,Eingang U-3,
MULTIMEDIAOGD.424,424,POINT (16.39270107498624 48.20038407602549),"3., Hintzerstraﬂe 1",3,W7 Landstraﬂer Hauptstraﬂe,
MULTIMEDIAOGD.425,425,POINT (16.406760999488384 48.19485409376695),"3., Schlachthausgasse 24a",3,W7,
MULTIMEDIAOGD.426,426,POINT (16.390281090630832 48.20265406601326),"3., Landstraﬂer Hauptstraﬂe 50",3,Sechskr¸gelgasse,
MULTIMEDIAOGD.427,427,POINT (16.39229107496455 48.19803408749464),"3., Dannebergplatz gegen¸ber von 9",3,"Boerhaavegasse ,Arenbergpark",
MULTIMEDIAOGD.428,428,POINT (16.399601026029604 48.189244124768315),"3., Rennweg 93",3,W7,
MULTIMEDIAOGD.429,429,POINT (16.396841054193366 48.19928407819383),"3., Hainburger Straﬂe 40",3,vor Schule Apostelgasse,
MULTIMEDIAOGD.430,430,POINT (16.403841014072533 48.19559409167832),"3., Leonhardgasse 2",3,Fiakerplatz,
MULTIMEDIAOGD.431,431,POINT (16.40497101116393 48.19672408583836),"3., Lechnerstraﬂe 20",3,Erdbergstraﬂe,
MULTIMEDIAOGD.432,432,POINT (16.38444111941645 48.20269406965678),"3., Linke Bahngasse 11",3,Beatrixgasse /Anton von Webernplatz,
MULTIMEDIAOGD.433,433,POINT (16.393851068406388 48.19944407944118),"3., Neulinggasse ",3,Landstraﬂer Hauptstraﬂe,
MULTIMEDIAOGD.434,434,POINT (16.40110102462113 48.19294410629895),"3., Paulusplatz 9",3,,
MULTIMEDIAOGD.435,435,POINT (16.389211097068852 48.20374406225239),"3., Landstraﬂer Hauptstraﬂe 32",3,W7,
MULTIMEDIAOGD.436,436,POINT (16.401191030010676 48.1978240827195),"3., Kardinal Nagl Platz gegen¸ber von 10",3,W7,
MULTIMEDIAOGD.437,437,POINT (16.394071093115247 48.217783992229),"2., Praterstern ",2,W6 Ausstellungsstraﬂe,
MULTIMEDIAOGD.438,438,POINT (16.42103091691222 48.18538412954684),"11., Guglgasse 14",11,Gaso Kinocenter,
MULTIMEDIAOGD.439,439,POINT (16.416100941558458 48.18622412866739),"3., Modecenterstraﬂe 11",3,,
MULTIMEDIAOGD.440,440,POINT (16.41514093508753 48.17814416769005),"11., Kopalgasse 12",11,Stiege 40,
MULTIMEDIAOGD.441,441,POINT (16.462200664214578 48.14831428144188),"11., Simmeringer Hauptstraﬂe 487",11,,
MULTIMEDIAOGD.442,442,POINT (16.420030900027204 48.17043420183656),"11., Simmeringer Hauptstraﬂe 120a",11,,
MULTIMEDIAOGD.443,443,POINT (16.410250975959073 48.189944114804845),"3., Baumgasse ",3,W7 Nottendorfer Gasse,
MULTIMEDIAOGD.444,444,POINT (16.389661079180158 48.19250411555021),"3., Gerlgasse 22",3,W7 Obere Bahn Gasse,
MULTIMEDIAOGD.445,445,POINT (16.389931072411354 48.18835413503044),"3., Landstraﬂer G¸rtel 43",3,W7,
MULTIMEDIAOGD.446,446,POINT (16.39663103578973 48.185884142796084),"3., Landstraﬂer Hauptstraﬂe ",3,Wildgansplatz,
MULTIMEDIAOGD.447,447,POINT (16.394681054216477 48.191814114905824),"3., Rennweg 70",3,,
MULTIMEDIAOGD.448,448,POINT (16.301391456938124 48.153464356543445),"23., Breitenfurter Straﬂe 164",23,,
MULTIMEDIAOGD.449,449,POINT (16.301371502573847 48.18624419972077),"13., Hietzinger Hauptstraﬂe 18",13,,
MULTIMEDIAOGD.450,450,POINT (16.27271159925289 48.15578436330275),"23., Speisinger Straﬂe 220",23,,
MULTIMEDIAOGD.451,451,POINT (16.329851370711463 48.191214158310196),"15., Schwendergasse 6",15,Reindorfgasse,
MULTIMEDIAOGD.452,452,POINT (16.33267135734894 48.191864153473226),"15., Clementinengasse 29",15,Mariahilfer Straﬂe,
MULTIMEDIAOGD.453,453,POINT (16.33142135549082 48.18641418059783),"15., Storchengasse 23",15,Sparkassenplatz,
MULTIMEDIAOGD.454,454,POINT (16.322591403398835 48.190124168115545),"15., Schwendergasse 49",15,Straﬂenbahnhaltestelle,
MULTIMEDIAOGD.455,455,POINT (16.33504134355264 48.18993416178282),"15., F¸nfhausgasse 12",15,Herklotzgasse,
MULTIMEDIAOGD.456,456,POINT (16.33380135341305 48.19303414724354),"15., Mariahilfer Straﬂe 167",15,,
MULTIMEDIAOGD.457,457,POINT (16.326481386445646 48.19128416046855),"15., Mariahilfer Straﬂe 194",15,PA1153 Lehnergasse gegen¸ber PA,
MULTIMEDIAOGD.458,458,POINT (16.328111386302293 48.19686413219814),"15., Goldschlagstraﬂe 52",15,St‰ttermayergasse /U3 Schweglerstraﬂe,
MULTIMEDIAOGD.459,459,POINT (16.31750143451649 48.19435415136321),"15., Goldschlagstraﬂe 104",15,,
MULTIMEDIAOGD.460,460,POINT (16.324881404098928 48.19857412633143),"15., H¸tteldorfer Straﬂe 71",15,Huglgasse,
MULTIMEDIAOGD.461,461,POINT (16.32029142375609 48.19612414119528),"15., M‰rzstraﬂe 86",15,Wurmsergasse,
MULTIMEDIAOGD.462,462,POINT (16.32952137850533 48.19596413605874),"15., Schweglerstraﬂe 1",15,Felberstraﬂe,
MULTIMEDIAOGD.463,463,POINT (16.327501400713558 48.20490409437772),"15., Gablenzgasse 35-37",15,Camillo Sitte Gasse,
MULTIMEDIAOGD.464,464,POINT (16.35490122547977 48.17569421729722),"10., Kundratstraﬂe 1",10,Triester Straﬂe,
MULTIMEDIAOGD.465,465,POINT (16.321871436839707 48.21096406895841),"16., Br¸ﬂlgasse 51",16,Thaliastraﬂe,
MULTIMEDIAOGD.466,466,POINT (16.33993136113624 48.21991401486816),"18., Martinstraﬂe 21",18,,
MULTIMEDIAOGD.467,467,POINT (16.337551305155745 48.1711342498532),"12., Wienerbergstraﬂe 12d",12,Eibesbrunnergasse,
MULTIMEDIAOGD.468,468,POINT (16.373371184455497 48.21062403898583),"1., Hoher Markt 12",1,,
MULTIMEDIAOGD.469,469,POINT (16.3784811522973 48.205464059813515),"1., Parkring 12",1,W5 Gartenbaukino,
MULTIMEDIAOGD.470,470,POINT (16.448500893719057 48.266453726404265),"21., Julius Ficker Straﬂe 77",21,K¸rschnergasse,
MULTIMEDIAOGD.471,471,POINT (16.4189009876188 48.229803918743016),"22., Sch¸ttaustraﬂe 1-19",22,,
MULTIMEDIAOGD.472,472,POINT (16.363941232825372 48.21202403818924),"1., Teinfaltstraﬂe 1",1,W5 Herrengasse,
MULTIMEDIAOGD.473,473,POINT (16.35579122966401 48.18177418747076),"5., Kohlgasse 2a",5,,
MULTIMEDIAOGD.474,474,POINT (16.343701326418742 48.20875406588761),"8., Albertgasse 9",8,Pfeilgasse,
MULTIMEDIAOGD.475,475,POINT (16.355151275351066 48.212274042391186),"8., Florianigasse 2",8,Landesgerichtsstraﬂe 9 a,
MULTIMEDIAOGD.476,476,POINT (16.352821269487933 48.19946410467578),"7., Kirchengasse 1",7,Mariahilfer Straﬂe,
MULTIMEDIAOGD.477,477,POINT (16.343611335327672 48.21424403993891),"8., Albertplatz 5",8,,
MULTIMEDIAOGD.478,478,POINT (16.294691550384137 48.19729415160911),"14., H¸tteldorfer Straﬂe 142",14,L¸tzowgasse,
MULTIMEDIAOGD.479,479,POINT (16.421740949329266 48.21138400530047),"2., Meiereistraﬂe 8",2,W6 Engerthstraﬂe,
MULTIMEDIAOGD.480,480,POINT (16.444420892420744 48.25101380181145),"22., Wagramer Straﬂe 162",22,PA1222 /Am langen Felde,
MULTIMEDIAOGD.481,481,POINT (16.32959142630449 48.23117396821555),"18., Gentzgasse 137",18,Simonygasse,
MULTIMEDIAOGD.482,482,POINT (16.291491536177958 48.17578425600732),"13., W¸rzburggasse 30",13,ORF,
MULTIMEDIAOGD.483,483,POINT (16.336451351945808 48.201604104346586),"15., H¸tteldorfer Straﬂe 2",15,Wurzbachgasse,
MULTIMEDIAOGD.484,484,POINT (16.358621265508706 48.21763401435521),"9., W‰hringer Straﬂe 13",9,,
MULTIMEDIAOGD.485,485,POINT (16.41624109949407 48.30131357977679),"21., Freiheitsplatz 5",21,,
MULTIMEDIAOGD.486,486,POINT (16.36746121280495 48.21058404299573),"1., Am Hof 3",1,,
MULTIMEDIAOGD.487,487,POINT (16.389021125744563 48.22390396573833),"2., Nordbahnstraﬂe 32",2,W6 Am Tabor,
MULTIMEDIAOGD.488,488,POINT (16.369821201250375 48.20998404373715),"1., Milchgasse 1",1,,
MULTIMEDIAOGD.489,489,POINT (16.34408135408537 48.229573966687745),"18., Gymnasiumstraﬂe 26",18,PA1182,
MULTIMEDIAOGD.490,490,POINT (16.351681273613234 48.198954107655545),"7., Mariahilfer Straﬂe 58",7,,
MULTIMEDIAOGD.491,491,POINT (16.36135123205782 48.20236408565769),"6., Mariahilfer Straﬂe 1",6,,
MULTIMEDIAOGD.492,492,POINT (16.325171452398155 48.23355395972474),"18., Alseggerstraﬂe 44",18,Bischof Faber Platz,
MULTIMEDIAOGD.493,493,POINT (16.355961283065778 48.22054400254758),"9., W‰hringer Straﬂe 38-42",9,Boltzmanngasse,
MULTIMEDIAOGD.494,494,POINT (16.342651342105814 48.215754033703746),"9., Zimmermanngasse 3",9,PA1095,
MULTIMEDIAOGD.495,495,POINT (16.353751306371073 48.22914396294818),"9., Sobieskigasse 28",9,Pulverturmgasse,
MULTIMEDIAOGD.496,496,POINT (16.38599113570299 48.22029398528724),"2., Heinestraﬂe 22",2,Rueppgasse,
MULTIMEDIAOGD.497,497,POINT (16.386861145670093 48.23066393468156),"20., Innstraﬂe 3",20,Dresdner Straﬂe,
MULTIMEDIAOGD.498,498,POINT (16.33029134496279 48.174554237990485),"12., Meidlinger Hauptstraﬂe 86",12,,
MULTIMEDIAOGD.499,499,POINT (16.328191307321543 48.140484401583294),"23., Triester Straﬂe 224",23,Station Badner Bahn,
MULTIMEDIAOGD.500,500,POINT (16.366121226743182 48.215614019218116),"1., Schottenring 16",1,W5 Bˆrse,
MULTIMEDIAOGD.501,501,POINT (16.37351120809575 48.22840395427273),"20., Wasnergasse 25",20,,
MULTIMEDIAOGD.502,502,POINT (16.36529125847024 48.23593392272481),"20., Klosterneuburger Straﬂe 97",20,PA1202,
MULTIMEDIAOGD.503,503,POINT (16.375041192982003 48.22270398020418),"2., Obere Augartenstraﬂe 30",2,W6 Untere Augartenstraﬂe,
MULTIMEDIAOGD.504,504,POINT (16.41624096553583 48.20438404170088),"2., Hauptallee ",2,W6 Stadionallee,
MULTIMEDIAOGD.505,505,POINT (16.370191212982828 48.21993399636654),"2., Obere Donaustraﬂe 41",2,W6 Rembrandtstraﬂe,
MULTIMEDIAOGD.506,506,POINT (16.341951339600456 48.21215405084583),"8., Bennoplatz 5",8,,
MULTIMEDIAOGD.507,507,POINT (16.362721261184767 48.22835396052174),"9., Gussenbauergasse gegen¸ber von 5",9,Spittelauer L‰nde,
MULTIMEDIAOGD.508,508,POINT (16.344041337091255 48.217024026701196),"9., Zimmermannplatz 1",9,KHSAK,
MULTIMEDIAOGD.509,509,POINT (16.46861077468125 48.2517137837512),"22., Breitenleer Straﬂe 103",22,Zwerch‰ckerweg,
MULTIMEDIAOGD.510,510,POINT (16.403271008796878 48.18947412155579),"3., Viehmarktgasse 4",3,,
MULTIMEDIAOGD.511,511,POINT (16.392121104927693 48.21919398664582),"2., BHF Wien Nord ",2,Eingang Nordost,
MULTIMEDIAOGD.512,512,POINT (16.41137098046827 48.197204079374714),"2., Stadionallee ",2,W6,
MULTIMEDIAOGD.513,513,POINT (16.34117134759258 48.21511403765938),"8., Hernalser G¸rtel 22",8,verl‰ngerte Ottakringer Straﬂe,
MULTIMEDIAOGD.514,514,POINT (16.40604101461975 48.20322405383508),"2., Rustenschacherallee 56",2,W6 Lukschgasse,
MULTIMEDIAOGD.515,515,POINT (16.33920136066705 48.21769402608177),"18., Jˆrgerstraﬂe 18",18,Martinstraﬂe,
MULTIMEDIAOGD.516,516,POINT (16.36442123831356 48.21789400961348),"9., T¸rkenstraﬂe gegen¸ber von 25",9,Schlickplatz,
MULTIMEDIAOGD.517,517,POINT (16.39872107623511 48.22256396590964),"2., Lassallestraﬂe 9",2,PA1402 vor UZ,
MULTIMEDIAOGD.518,518,POINT (16.357161263359384 48.210244050635424),"1., Lichtenfelsgasse 2",1,Rathaus,
MULTIMEDIAOGD.519,519,POINT (16.409531017394986 48.21806398092268),"2., Ausstellungsstraﬂe 71",2,W6 Vorgartenstraﬂe,
MULTIMEDIAOGD.520,520,POINT (16.33149133873822 48.174874235010755),"12., Philadelphiabr¸cke ",12,÷BB Meidling Bahnhof Abgang Gleis 2-3,
MULTIMEDIAOGD.521,521,POINT (16.39642108025159 48.21722399304477),"2., Straﬂe des Ersten Mai ",2,W6 Prater vor dem Riesenrad,
MULTIMEDIAOGD.522,522,POINT (16.34959130613719 48.215084032146905),"8., Alser Straﬂe 33",8,Skodagasse,
MULTIMEDIAOGD.523,523,POINT (16.304171491029994 48.187964190208646),"13., Kennedybr¸cke ",13,"U-4,Flugdach OST",
MULTIMEDIAOGD.524,524,POINT (16.41033104512545 48.240583872608724),"22., Donauturmstraﬂe 4",22,vor Donauturm,
MULTIMEDIAOGD.525,525,POINT (16.56163014042324 48.12001435501852),"30., Flughafen ",30,Busgates B32,
MULTIMEDIAOGD.526,526,POINT (16.56163014042324 48.12001435501852),"30., Flughafen ",30,"Abholerhalle, Objekt 107",
MULTIMEDIAOGD.527,527,POINT (16.56163014042324 48.12001435501852),"30., Flughafen ",30,"1.OG, Pier West Gang bei Gate C51",
MULTIMEDIAOGD.528,528,POINT (16.353321276057887 48.20655407080978),"8., Lerchenfelder Straﬂe 10",8,,
MULTIMEDIAOGD.529,529,POINT (16.329154744440295 48.18311254300642),"12., Schˆnbrunner Straﬂe 259",12,MBA 12 / Schˆnbrunner Straﬂe 259,
MULTIMEDIAOGD.530,530,POINT (16.371009849605493 48.232967858581866),"20., Brigittaplatz 10",20,Brigittaplatz 10 / MBA 20,
MULTIMEDIAOGD.531,531,POINT (16.327260438512596 48.20934070987815),"16., Richard Wagner Platz 19",16,Richard Wagner Platz 19/ MBA 16,
MULTIMEDIAOGD.532,532,POINT (16.38276905536449 48.16379595798161),"10., Favoritenstraﬂe 211",10,Favoritenstraﬂe 211/AH,
MULTIMEDIAOGD.533,533,POINT (16.468167214420895 48.217571228940116),"22., Langobardenstaﬂe 122",22,Langobardenstraﬂe 122 / SMZ Ost,
MULTIMEDIAOGD.534,534,POINT (16.28214459677724 48.13485795215287),"23., Perchtoldsdorferstraﬂe 2",23,Perchtoldsdorferstraﬂe 2,
MULTIMEDIAOGD.535,535,POINT (16.319979653979626 48.19877877739566),"15., H¸tteldorferstraﬂe 81b",15,,
MULTIMEDIAOGD.536,536,POINT (16.334095317847673 48.194114574092296),"15., Gasgasse 8-10",15,Gasgasse 8-10 / MBA 15,
MULTIMEDIAOGD.537,537,POINT (16.38674499919223 48.1941922669524),"3., Fasanplatz ",3,,
MULTIMEDIAOGD.538,538,POINT (16.332806058414942 48.20920295492511),"16., Hofferplatz gegen¸ber von 7",16,,
MULTIMEDIAOGD.539,539,POINT (16.416856712127444 48.23482974015999),"22., Wagramer Straﬂe 5",22,VIC,
MULTIMEDIAOGD.540,540,POINT (16.34241727492376 48.22684039292397),"18., Martinstraﬂe 100",18,Martinstraﬂe 100 / MBA 18,
MULTIMEDIAOGD.541,541,POINT (16.363538713076647 48.213196370577634),"1., Schottengasse 4",1,,
MULTIMEDIAOGD.542,542,POINT (16.34059850407732 48.240266783477296),"19., Krottenbachstraﬂe 27",19,,
MULTIMEDIAOGD.543,543,POINT (16.370082403308928 48.235617514736965),"20., J‰gerstraﬂe 69",20,,
MULTIMEDIAOGD.544,544,POINT (16.38517970217297 48.23691129305447),"20., Donaueschingenstraﬂe 24",20,,
MULTIMEDIAOGD.545,545,POINT (16.361170304008066 48.202037817451014),"6., Mariahilfer Straﬂe 1a",6,,
MULTIMEDIAOGD.546,546,POINT (16.3798423636143 48.215494826631115),"2., Karmeliterplatz 1",2,,
MULTIMEDIAOGD.547,547,POINT (16.374449405266034 48.21052308179921),"1., Rotenturmstraﬂe 19-21",1,,
MULTIMEDIAOGD.548,548,POINT (16.377345059452317 48.21136986463913),"1., Franz Josefs Kai 17",1,,
MULTIMEDIAOGD.549,549,POINT (16.366479412909484 48.21403900925275),"1., Bˆrseplatz gegen¸ber von 1",1,,
MULTIMEDIAOGD.550,550,POINT (16.38500786671287 48.21440762763857),"2., Nestroyplatz 1",2,,
MULTIMEDIAOGD.551,551,POINT (16.39282761237706 48.20083035817895),"3., Landstraﬂer Hauptstraﬂe 69-71",3,,
MULTIMEDIAOGD.552,552,POINT (16.419001012808042 48.18578420575936),"3., Guglgasse 7-9",3,Guglgasse 7-9 /Wiener Wohnen Kundenservice,
MULTIMEDIAOGD.553,553,POINT (16.359918146227013 48.163851357100235),"10., Neilreichgasse ",10,,
MULTIMEDIAOGD.554,554,POINT (16.361339047406933 48.22617859042837),"9., Julius Tandler Platz 3",9,,
MULTIMEDIAOGD.555,555,POINT (16.37400481903204 48.17878605230979),"10., Laxenburger Straﬂe 43-45",10,Laxenburgerstraﬂe 43-45 / MBA 10,
MULTIMEDIAOGD.556,556,POINT (16.355540766877247 48.18404846094218),"5., Margareteng¸rtel ",5,Bruno Kreisky Park / VCT Gewista,
MULTIMEDIAOGD.557,557,POINT (16.367017849986986 48.19138296221707),"4., Wiedner Hauptstrasse 55",4,Wiedner Hauptstrasse 55/VCT GEWISTA,
MULTIMEDIAOGD.558,558,POINT (16.346085376846457 48.18439537418995),"5., Margareteng¸rtel gegen¸ber von 120",5,,
MULTIMEDIAOGD.559,559,POINT (16.369439076289872 48.19670922631393),"4., Karlsgasse 22",4,,
MULTIMEDIAOGD.560,560,POINT (16.30044928685484 48.18822365524373),"13., Hietzinger Kai 1-3",13,MBA 13/14 Hietzinger Kai 1-3,
MULTIMEDIAOGD.561,561,POINT (16.419001012808042 48.18578420575936),"3., Guglgasse 7-9",3,Guglgasse 7-9 /Wiener Wohnen Kundenservice,
MULTIMEDIAOGD.562,562,POINT (16.349171167455367 48.21487631353404),"8., Alser Straﬂe 31",8,,
MULTIMEDIAOGD.563,563,POINT (16.319342423795 48.211229117749646),"16., Schuhmeierplatz 18",16,,
MULTIMEDIAOGD.564,564,POINT (16.404606627771013 48.219623539155826),"2., Ilgplatz 3",2,,
MULTIMEDIAOGD.565,565,POINT (16.37421878925083 48.18172991237714),"10., Columbusplatz 3",10,Colubusplatz 3/ VCT GEWISTA,
MULTIMEDIAOGD.566,566,POINT (16.333597432102856 48.221051021339115),"17., Dornerplatz 3",17,,
MULTIMEDIAOGD.567,567,POINT (16.345326334744662 48.2259642623803),"18., W‰hringer Straﬂe 106",18,,
MULTIMEDIAOGD.568,568,POINT (16.347371796931544 48.236154027535115),"19., Gymnasiumstraﬂe 85",19,,
MULTIMEDIAOGD.569,569,POINT (16.468167214420895 48.217571228940116),"22., Langobardenstaﬂe 122",22,Langobardenstraﬂe 122 / SMZ Ost,
MULTIMEDIAOGD.570,570,POINT (16.35592286597065 48.225193555255416),"9., Alserbachstraﬂe 5",9,,
MULTIMEDIAOGD.571,571,POINT (16.331993756974093 48.218290975418),"17., Elterleinplatz 14",17,,
MULTIMEDIAOGD.572,572,POINT (16.351927653803433 48.19920553162078),"6., Mariahilfer Straﬂe 56",6,,
MULTIMEDIAOGD.573,573,POINT (16.33005768680516 48.17455221425636),"12., Meidlinger Hauptstraﬂe 86",12,,
MULTIMEDIAOGD.574,574,POINT (16.342339406461132 48.24600782069952),"19., Grinzinger Allee 1",19,,
MULTIMEDIAOGD.575,575,POINT (16.412728053525296 48.23370716643844),"22., Donaucitystraﬂe ",22,Donaucity 5 Stock,
MULTIMEDIAOGD.576,576,POINT (16.33253845077934 48.15994351566902),"12., Am Schˆpfwerk U6",12,,
MULTIMEDIAOGD.577,577,POINT (16.287721171853814 48.1704649477987),"13., Feldkellergasse 1A",13,,
MULTIMEDIAOGD.578,578,POINT (16.36889297361326 48.228728396349936),"20., Wallensteinstraﬂe 16",20,,
MULTIMEDIAOGD.579,579,POINT (16.415708438451425 48.23238836489365),"22., Platz der Vereinten Nationen ",22,,
MULTIMEDIAOGD.580,580,POINT (16.35843805289777 48.19185709625325),"5., Margaretenplatz 7",5,,
MULTIMEDIAOGD.581,581,POINT (16.32986655740666 48.180705278816305),"12., Meidlinger Hauptstraﬂe 19-21",12,,
MULTIMEDIAOGD.582,582,POINT (16.353854059729965 48.18544933763894),"5., Siebenbrunnenplatz 1",5,,
MULTIMEDIAOGD.583,583,POINT (16.35402455000952 48.198040424690845),"6., Schadekgasse 2",6,,
MULTIMEDIAOGD.584,584,POINT (16.36569396296147 48.21189056636232),"1., Freyung 7",1,,
MULTIMEDIAOGD.585,585,POINT (16.355123750327635 48.211250693296115),"8., Friedrich Schmidt Platz 5",8,,
