FID,OBJECTID,SHAPE,TEXT13ID,LAENGE,SE_ANNO_CAD_DATA
OEFFGRUENLINGOGD.61,61,"LINESTRING (16.369834486835646 48.21997865564546, 16.36993438381487 48.22003716361725)",Donaukanal,9.870625,
OEFFGRUENLINGOGD.62,62,"LINESTRING (16.38510365833305 48.21769671817231, 16.38512422789002 48.21773411105737)",Odeonpark,4.429991,
OEFFGRUENLINGOGD.63,63,"LINESTRING (16.399391793211787 48.220580673013636, 16.39934989550683 48.220570758648364)",Max-Winter-P*,3.302735,
OEFFGRUENLINGOGD.64,64,"LINESTRING (16.38495638984769 48.21333980073694, 16.384935142945825 48.21340024746664)",Veza-Canetti*,6.904391,
OEFFGRUENLINGOGD.65,65,"LINESTRING (16.36818732896708 48.2169467130937, 16.36830092080594 48.21683547542526)",Deutschmeist*,14.975027,
OEFFGRUENLINGOGD.66,66,"LINESTRING (16.367516202303477 48.21426545783427, 16.367588569317533 48.214196743695375)",Hermann-Gmei*,9.343661,
OEFFGRUENLINGOGD.67,67,"LINESTRING (16.367235200027185 48.21456663463032, 16.367175869131643 48.2146257070369)",Hermann-Gmei*,7.91124,
OEFFGRUENLINGOGD.68,68,"LINESTRING (16.372580483051767 48.21410047172931, 16.3726684654126 48.21415827880379)",Rudolfspark,9.168998,
OEFFGRUENLINGOGD.69,69,"LINESTRING (16.371901219659236 48.214589153929936, 16.371969090843074 48.21463374694908)",Rudolfspark,7.073066,
OEFFGRUENLINGOGD.70,70,"LINESTRING (16.377724687390202 48.21366846205563, 16.37769036325182 48.2136737750655)",Manes-Sperbe*,2.618399,
OEFFGRUENLINGOGD.71,71,"LINESTRING (16.341972636039586 48.20749045835148, 16.34206040265891 48.207475444183395)",Josef-Strauß*,6.733618,
OEFFGRUENLINGOGD.72,72,"LINESTRING (16.34483461916731 48.21140584980222, 16.34474590320213 48.21143540001485)",Hamerlingpark,7.366823,
OEFFGRUENLINGOGD.73,73,"LINESTRING (16.356620736716142 48.205624185171274, 16.356634504016643 48.20551371046957)",Weghuberpark,12.326823,
OEFFGRUENLINGOGD.74,74,"LINESTRING (16.3564408797972 48.20596695452538, 16.35667210150122 48.20610326788819)",Weghuberpark,22.915446,
OEFFGRUENLINGOGD.75,75,"LINESTRING (16.366379758724825 48.20063106625105, 16.366479513674914 48.20055855568792)",Park Secessi*,10.954342,
OEFFGRUENLINGOGD.76,76,"LINESTRING (16.365760143324007 48.20081535098766, 16.365776116079623 48.200849075813096)",Park Secessi*,3.933524,
OEFFGRUENLINGOGD.77,77,"LINESTRING (16.36577350023558 48.200259527078344, 16.365874161620866 48.200186357600614)",Park Secessi*,11.05392,
OEFFGRUENLINGOGD.78,78,"LINESTRING (16.36462175685549 48.20090084279131, 16.36456322777135 48.200866680506905)",Park Secessi*,5.775774,
OEFFGRUENLINGOGD.79,79,"LINESTRING (16.36702259177596 48.2004478834748, 16.366899484026998 48.200441166285344)",Esperantopark,9.181832,
OEFFGRUENLINGOGD.80,80,"LINESTRING (16.377389620428424 48.20210942962758, 16.37747768989003 48.20219559132614)",Beethovenpark,11.603824,
OEFFGRUENLINGOGD.81,81,"LINESTRING (16.38977364970146 48.200009303309926, 16.389828964951604 48.20001415355614)",Sebastianpla*,4.147196,
OEFFGRUENLINGOGD.82,82,"LINESTRING (16.392916840429027 48.199160897381795, 16.393026298577805 48.19917836462343)",Arenbergpark,8.365538,
OEFFGRUENLINGOGD.83,83,"LINESTRING (16.39325124281003 48.19927117867291, 16.393208175065116 48.199337946659526)",Arenbergpark,8.085177,
OEFFGRUENLINGOGD.84,84,"LINESTRING (16.39303272170123 48.199218204875656, 16.39301202441581 48.19921455670188)",Arenbergpark,1.59118,
OEFFGRUENLINGOGD.85,85,"LINESTRING (16.36708867908295 48.2001227294752, 16.366999175468774 48.20020250880721)",Rosa-Mayrede*,11.088921,
OEFFGRUENLINGOGD.86,86,"LINESTRING (16.36858287299156 48.20068908336156, 16.368561206892192 48.20078742551356)",Rosa-Mayrede*,11.053152,
OEFFGRUENLINGOGD.87,87,"LINESTRING (16.368048148739486 48.19962743629162, 16.368008844997266 48.19957661950897)",Rosa-Mayrede*,6.361269,
OEFFGRUENLINGOGD.88,88,"LINESTRING (16.36899629073811 48.199371214196994, 16.368972449536074 48.199333237384934)",Rosa-Mayrede*,4.57968,
OEFFGRUENLINGOGD.89,89,"LINESTRING (16.36926942828275 48.19929247305906, 16.36924601687051 48.19925578939993)",Rosa-Mayrede*,4.434805,
OEFFGRUENLINGOGD.90,90,"LINESTRING (16.37124004237222 48.19839788168025, 16.37116581770415 48.19848601967461)",Rosa-Mayrede*,11.247071,
OEFFGRUENLINGOGD.91,91,"LINESTRING (16.370840069199296 48.19839800250867, 16.37088672636032 48.1983576952808)",Rosa-Mayrede*,5.667306,
OEFFGRUENLINGOGD.92,92,"LINESTRING (16.347265666635977 48.19866842832029, 16.347197777767313 48.198656271630014)",Andreaspark,5.224694,
OEFFGRUENLINGOGD.93,93,"LINESTRING (16.34740268412682 48.19912234892063, 16.347390036734467 48.19916580257091)",Andreaspark,4.922461,
OEFFGRUENLINGOGD.94,94,"LINESTRING (16.347104349454995 48.199083007596144, 16.347041560095445 48.199072595003244)",Andreaspark,4.809125,
OEFFGRUENLINGOGD.95,95,"LINESTRING (16.347876036529115 48.195256537054384, 16.347839940201617 48.19528902688802)",Loquaipark,4.500345,
OEFFGRUENLINGOGD.96,96,"LINESTRING (16.35273535130469 48.19341582446843, 16.352849617818453 48.1934090665264)",Richard-Wald*,8.528506,
OEFFGRUENLINGOGD.97,97,"LINESTRING (16.352021256526967 48.193862765608365, 16.351935891384063 48.193912392916396)",Richard-Wald*,8.410148,
OEFFGRUENLINGOGD.98,98,"LINESTRING (16.352253482110754 48.193617462478024, 16.352180946552007 48.19356788687068)",Richard-Wald*,7.711695,
OEFFGRUENLINGOGD.99,99,"LINESTRING (16.3446870566935 48.1879819490405, 16.344697007504138 48.187909010670836)",Bruno-Kreisk*,8.144062,
OEFFGRUENLINGOGD.100,100,"LINESTRING (16.404121380467366 48.19584517885648, 16.40415218788282 48.19587888420044)",Bock-Park,4.392279,
OEFFGRUENLINGOGD.101,101,"LINESTRING (16.377087024951138 48.19804731953497, 16.377078279884817 48.198058977834364)",SchwarzenPla,1.450226,
OEFFGRUENLINGOGD.102,102,"LINESTRING (16.377421657546066 48.19808373535089, 16.377441138211196 48.19807022775767)",SchwarzenPla,2.086433,
OEFFGRUENLINGOGD.103,103,"LINESTRING (16.382180717901612 48.199298767952996, 16.382181018434487 48.199296386435364)",Modenapark,0.265754,
OEFFGRUENLINGOGD.104,104,"LINESTRING (16.382748952891543 48.20026453490614, 16.38274381696852 48.20028395778529)",Modenapark,2.193218,
OEFFGRUENLINGOGD.105,105,"LINESTRING (16.40089379502146 48.1975763686467, 16.400808049232847 48.19761161274164)",Kardinal-Nag*,7.482735,
OEFFGRUENLINGOGD.106,106,"LINESTRING (16.393167933314935 48.20169293763311, 16.393128970433033 48.20172207062977)",Rochuspark,4.345408,
OEFFGRUENLINGOGD.107,107,"LINESTRING (16.34140526615183 48.18804351385647, 16.34141703006118 48.18796606739146)",Stadtwildnis*,8.655969,
OEFFGRUENLINGOGD.108,108,"LINESTRING (16.339261604270263 48.188086529963265, 16.33919706326328 48.18806299382189)",Stadtwildnis*,5.466145,
