FID,OBJECTID,SHAPE,ANGEBOT,OEFFNUNGSZEITEN,STANDORT,BEZIRK,WASSER,WEBLINK1,SE_ANNO_CAD_DATA
SPIELPLATZOGD.157863,157863,POINT (16.27417885770571 48.164610025164066),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Anna-Freud-Park,13,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157866,157866,POINT (16.260794531456323 48.192731770453754),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Seilbahn,<br>Sandspielplatz","Nov.-M‰rz 6:00-21:30, April-Sep. 6:00-22:00",Hackinger-Schloﬂ-Park,13,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157869,157869,POINT (16.2882026700503 48.17290905812972),"Kleinkinderspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Himmelbaurgasse,13,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157871,157871,POINT (16.214857450675805 48.20518056635583),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Hofj‰gerstraﬂe,13,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157872,157872,POINT (16.28750451474297 48.184991000218446),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Sandspielplatz",0:00-24:00,H¸gelpark,13,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157874,157874,POINT (16.270937817800768 48.166234535562694),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Lainzerbachstraﬂe,13,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157875,157875,POINT (16.289311916349458 48.18009006964898),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sand- und Matschbereich",0:00-24:00,Parkanlage K¸niglberg,13,"Trinkbrunnen, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157877,157877,POINT (16.291942089804646 48.16351152777456),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Fred-Liewehr-Gasse,13,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157879,157879,POINT (16.300407160159498 48.17771287647251),Sandspielplatz,0:00-24:00,Maxingpark,13,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157880,157880,POINT (16.267974553788477 48.16121117802687),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Sandspielplatz",0:00-24:00,Napoleonwald,13,Trinkbrunnen+Tr‰nke,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
