FID,OBJECTID,SHAPE,ADRESSE,ZEITRAUM,STELLPLATZANZAHL,SE_ANNO_CAD_DATA
TAXIOGD.183,183,"LINESTRING (16.315193316151593 48.223124548815974, 16.31504451828691 48.22307045488596)","17., Heigerleinstraße 43",,2,
TAXIOGD.184,184,"LINESTRING (16.308258406790326 48.22629679621062, 16.30785772218004 48.2264470236368)","17., Hernalser Hauptstraße 230",,5,
TAXIOGD.185,185,"LINESTRING (16.332411747399032 48.2184038760637, 16.332506845711087 48.218685541459195)","17., Kalvarienberggasse 29-33",,9,
TAXIOGD.186,186,"LINESTRING (16.390306198164 48.19652617261443, 16.39040058744746 48.1964496049285, 16.390431455290457 48.19643258532259, 16.390475035757113 48.19641191632243, 16.39052407336072 48.19639853258122, 16.390789279317595 48.19635953802228)","3., Juchgasse 25",,6,
TAXIOGD.187,187,"LINESTRING (16.38612131701128 48.19343987689543, 16.38607053713913 48.19319369776693)","3., Fasangasse 10-14",,6,
TAXIOGD.188,188,"LINESTRING (16.30146556591152 48.18579550746517, 16.301719191366995 48.185762678451454)","13., Am Platz ggü. 2-3",,4,
TAXIOGD.189,189,"LINESTRING (16.301512768886596 48.18596004685758, 16.301512773988684 48.185952453215485, 16.301516564855582 48.185944860710755, 16.301486311862135 48.185903088264176, 16.301442813000197 48.185857514438304)","13., Am Platz ggü. 6",,2,
TAXIOGD.190,190,"LINESTRING (16.428544622725 48.16188673191633, 16.428546446882606 48.16186301524617, 16.42845301713319 48.1617819577742, 16.42843432572831 48.16176324997331)","11., Weißenböckstraße ggü. 2",,3,
TAXIOGD.191,191,"LINESTRING (16.37597847587848 48.21152867664241, 16.376127453465905 48.21168963968095)","1., Rotenturmstraße 24",v. 20-5h,5,
TAXIOGD.192,192,"LINESTRING (16.376045216366535 48.21171977745632, 16.3757198067122 48.21134942434504)","1., Rotenturmstraße 27-29",,10,
TAXIOGD.193,193,"LINESTRING (16.27906455165827 48.169037949456225, 16.278893301476337 48.168967409143654, 16.27884832319395 48.1690030843086, 16.279002724345396 48.16907079807038)","13., Wolkersbergenstraße 1",,12,
TAXIOGD.194,194,"LINESTRING (16.268026506533722 48.150748632880386, 16.267986779081763 48.150761895790886, 16.267948571892727 48.15078027001304, 16.267898134447673 48.15080783483609, 16.267861450178344 48.15082927551243, 16.267820182024522 48.15085275830027)","23., Maurer Hauptplatz 7",,4,
TAXIOGD.195,195,"LINESTRING (16.267708618165873 48.150904815875315, 16.26782171178157 48.15085071548821)","23., Maurer Hauptplatz 7",Ladezone Mo.-Fr.(w.)v.6-12h sowie ausg. Taxi f.d.verbl.Zeitraum,3,
TAXIOGD.196,196,"LINESTRING (16.26762153269943 48.150926227619095, 16.267528316869857 48.15096296466736)","23., Maurer Hauptplatz 9",Mo.-Fr. (w.) v. 8-19h,2,
TAXIOGD.197,197,"LINESTRING (16.343673333346135 48.219760800542076, 16.34367811950937 48.219774651937634, 16.343713198775447 48.21979169838607, 16.343875884869078 48.220130521540476)","9., Währinger Gürtel (AKH)  18-20",,8,
TAXIOGD.198,198,"LINESTRING (16.34388066862685 48.2201390456047, 16.34396360556514 48.22030313021482, 16.343984340458814 48.22034788098845, 16.344006668954265 48.22038517182325, 16.344027402097666 48.2204182011315, 16.34411351987356 48.220521551238704, 16.344185281886844 48.220591870428436, 16.344212390586627 48.220602523150774, 16.34424268537222 48.220602520996295, 16.344269790019624 48.22059825742937, 16.344295299734835 48.220582272513695, 16.3443080490487 48.220550305420005, 16.344308041680485 48.22050448865458, 16.34430481297504 48.220249830757766)","9., Währinger Gürtel (AKH)  18-20",,18,
TAXIOGD.199,199,"LINESTRING (16.369628748719222 48.20929623441807, 16.36961849010517 48.20930996324762, 16.369605342495998 48.20932945304823, 16.36960312393433 48.209362582305275, 16.369604853226527 48.20938888908657, 16.369611712494084 48.209410619092466, 16.36962712502648 48.20942891570397, 16.369654521783765 48.20945407172799, 16.36989760985151 48.20959239976466)","1., Petersplatz ggü. 6-7",,6,
TAXIOGD.200,200,"LINESTRING (16.372376398534623 48.21126781461399, 16.372569913014093 48.21117859724701)","1., Hoher Markt 8-9",,10,
TAXIOGD.201,201,"LINESTRING (16.372956471460064 48.209166064511265, 16.373425253503108 48.209569732503724)","1., Rotenturmstraße 2",,12,
TAXIOGD.202,202,"LINESTRING (16.378527939774333 48.211367747480395, 16.378388416399222 48.211143705949894)","1., Laurenzerberg 5",,3,
TAXIOGD.203,203,"LINESTRING (16.40814740210885 48.22943712782416, 16.40817264088 48.22940219386456, 16.408187767662536 48.22936951902654, 16.408180965680014 48.229327845690314, 16.40816405651835 48.22929181177383, 16.40813027464714 48.22924565091115)","22., Donauinsel (Reichsbrücke)",,2,
TAXIOGD.204,204,"LINESTRING (16.38683382474872 48.261930179036725, 16.387155920577474 48.262010406485395)","21., Bellgasse 36-38",,5,
TAXIOGD.205,205,"LINESTRING (16.387419452451287 48.278490402410796, 16.387491347525852 48.27833850322585)","21., Prager Straße 169-171",,3,
TAXIOGD.206,206,"LINESTRING (16.383992453447703 48.28842564108596, 16.383660280622113 48.28802325571569)","21., Rußbergstraße 9",,10,
TAXIOGD.207,207,"LINESTRING (16.416542210221557 48.28927418193506, 16.41674994968597 48.289217808424645)","21., Anton-Schall-Gasse 1",,2,
TAXIOGD.208,208,"LINESTRING (16.422516103829597 48.235504020758206, 16.42234451195553 48.23540928895374)","22., Wagramer Straße 23",,3,
TAXIOGD.209,209,"LINESTRING (16.41897376182407 48.233599700643396, 16.41919127931916 48.23372166475641)","22., Wagramer Straße 5",,4,
TAXIOGD.210,210,"LINESTRING (16.424118107501386 48.225123112345386, 16.424377181192575 48.225277644153344)","22., Mendelssohngasse 12-14",,5,
TAXIOGD.211,211,"LINESTRING (16.378787400786692 48.202195476158565, 16.378937966163388 48.20212695046435)","3., Johannesgasse 28",,3,
TAXIOGD.212,212,"LINESTRING (16.378212848527827 48.20246795701657, 16.378064516373822 48.20232301642375)","3., Lothringerstraße ggü. 13",,4,
TAXIOGD.213,213,"LINESTRING (16.378065051013422 48.20232288133059, 16.37787424430968 48.202136784070014)","3., Lothringerstraße ggü. 11",Zustelldienst v. 7-19h sowie ausg.Taxi für den verbleibenden Zeitraum,5,
TAXIOGD.214,214,"LINESTRING (16.369959725848748 48.20271418580011, 16.370288065654265 48.20336639344348)","1., Kärntner Straße 51-55",,15,
TAXIOGD.215,215,"LINESTRING (16.370130444086822 48.20374167752174, 16.36991997614015 48.20378864366828)","1., Philharmonikerstraße 2-4",,3,
TAXIOGD.216,216,"LINESTRING (16.372719916559966 48.20184720254334, 16.372265899716016 48.201950149824185)","1., Kärntner Ring 11-13",,6,
TAXIOGD.217,217,"LINESTRING (16.370890103778265 48.20182871503427, 16.370609787089325 48.20189215888889)","1., Kärntner Ring 6-8",,5,
