FID,SHAPE,NAME,BEZEICHNUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
UNIVERSITAETOGD.482271,POINT (16.367579995863043 48.246946804966775),Universität für Bodenkultur Wien,Armin Szilvinyi Haus (Muthgasse II),482271,
UNIVERSITAETOGD.482272,POINT (16.36619049879893 48.24701912251074),Universität für Bodenkultur Wien,VIBT (Muthgasse III),482272,
UNIVERSITAETOGD.482273,POINT (16.36963692946708 48.25263914109978),Universität für Bodenkultur Wien,Wien,482273,
UNIVERSITAETOGD.482274,POINT (16.43171923174527 48.25445401365066),Veterinärmedizinische Universität Wien,Wien,482274,
UNIVERSITAETOGD.482275,POINT (16.283295764789383 48.21987754994831),Veterinärmedizinische Universität Wien,Forschungsinstitut für Wildtierkunde und Ökologie,482275,
UNIVERSITAETOGD.482300,POINT (16.384741483747284 48.20182329985657),Universität für Musik und darstellende Kunst Wien,Hauptgebäude,482300,
UNIVERSITAETOGD.482301,POINT (16.376962857092224 48.20046442062659),Universität für Musik und darstellende Kunst Wien,Wien,482301,
UNIVERSITAETOGD.482302,POINT (16.313436856289165 48.189746777925365),Universität für Musik und darstellende Kunst Wien,Palais Cumberland,482302,
UNIVERSITAETOGD.482303,POINT (16.373020992308312 48.20468300243243),Universität für Musik und darstellende Kunst Wien,St. Ursula,482303,
UNIVERSITAETOGD.482304,POINT (16.35957159449422 48.23938184611682),Wirtschaftsuniversität Wien,Wien,482304,
UNIVERSITAETOGD.482305,POINT (16.348984783975943 48.23350876049785),Wirtschaftsuniversität Wien,Wien,482305,
UNIVERSITAETOGD.482306,POINT (16.369895225486264 48.198976375914846),Technische Universität Wien,Hauptgebäude,482306,
UNIVERSITAETOGD.482307,POINT (16.3689835647217 48.19810289808589),Technische Universität Wien,Institutsgebäude,482307,
UNIVERSITAETOGD.482308,POINT (16.36800720691925 48.19870122092055),Technische Universität Wien,Goldenes Lamm,482308,
UNIVERSITAETOGD.482309,POINT (16.36795129280821 48.19855819073457),Technische Universität Wien,Ödenburg,482309,
UNIVERSITAETOGD.482310,POINT (16.368797188423798 48.19883758722309),Technische Universität Wien,Wien,482310,
UNIVERSITAETOGD.482311,POINT (16.368478842205224 48.19893378769707),Technische Universität Wien,Wien,482311,
UNIVERSITAETOGD.482312,POINT (16.363530828432157 48.20122553439176),Technische Universität Wien,Chemie Hochhaus,482312,
UNIVERSITAETOGD.482313,POINT (16.36232847219996 48.201025429272484),Technische Universität Wien,Institutsgebäude,482313,
UNIVERSITAETOGD.482314,POINT (16.369311377704328 48.1962237926466),Technische Universität Wien,Neues EI,482314,
UNIVERSITAETOGD.482315,POINT (16.37048467090586 48.19673943181366),Technische Universität Wien,Altes EI,482315,
UNIVERSITAETOGD.482316,POINT (16.36756746836803 48.19870696305369),Technische Universität Wien,Freihaus,482316,
UNIVERSITAETOGD.482317,POINT (16.36783842471069 48.19941650522157),Technische Universität Wien,Hauptbibliothek,482317,
UNIVERSITAETOGD.482318,POINT (16.36720437079238 48.19976488613054),Technische Universität Wien,Institutsgebäude,482318,
UNIVERSITAETOGD.482319,POINT (16.366925905107063 48.19953113829651),Technische Universität Wien,Institutsgebäude,482319,
UNIVERSITAETOGD.482320,POINT (16.3714535181323 48.19763592091374),Technische Universität Wien,Institutsgebäude,482320,
UNIVERSITAETOGD.482321,POINT (16.370108208964062 48.19720859301711),Technische Universität Wien,Institutsgebäude,482321,
UNIVERSITAETOGD.482322,POINT (16.370005740803325 48.1970537695099),Technische Universität Wien,Institutsgebäude,482322,
UNIVERSITAETOGD.482323,POINT (16.368925330527816 48.19643917381054),Technische Universität Wien,Institutsgebäude,482323,
UNIVERSITAETOGD.482324,POINT (16.368418084438453 48.19452039430759),Technische Universität Wien,Institutsgebäude,482324,
