FID,SHAPE,MERKMAL,SUBMERKMAL,SE_SDO_ROWID,SE_ANNO_CAD_DATA
RADWEGEOGD.16057664,"LINESTRING (16.376310995751968 48.21508878997557, 16.375952799560274 48.214682423714045, 16.37589597663897 48.214615705128104, 16.375846420457226 48.21456678147616)",Markierte Anlagen,Mehrzweckstreifen,16057664,
RADWEGEOGD.16057665,"LINESTRING (16.42030234727365 48.23502660886054, 16.42030063135462 48.235014559315964, 16.42028566996728 48.23499464148882, 16.420272530145 48.23495271612202, 16.420268936098118 48.234919992733104, 16.420281110610876 48.234874091842514, 16.420300502946766 48.23482975046744)",Getrennte Führung,baulicher Radweg,16057665,
RADWEGEOGD.16057666,"LINESTRING (16.29867970128746 48.186449587571516, 16.298678595050422 48.186454326634376, 16.298675286262295 48.18647339116707, 16.298670888664436 48.18649171790223, 16.298676950561287 48.1865149763181, 16.298687663836958 48.186540817297185, 16.298710297442668 48.186578614125736, 16.29874206943869 48.18660721386068, 16.298783113012945 48.1866284061868, 16.298819265407715 48.1866439042114, 16.298849440155898 48.18664970560856, 16.298879632209548 48.18665018302229, 16.298902175460647 48.186645783636116, 16.29891708842145 48.186648108702926, 16.298922544024908 48.18665445067905)",Getrennte Führung,baulicher Radweg,16057666,
RADWEGEOGD.16057667,"LINESTRING (16.32016088512277 48.190186493708445, 16.320200466532256 48.19018949391049, 16.32036026112309 48.19019201594444, 16.320476760985336 48.1901955211512)",Markierte Anlagen,Radfahrerüberfahrt,16057667,
RADWEGEOGD.16057668,"LINESTRING (16.472049722910654 48.25181156357183, 16.47194165091676 48.251808219999454)",Markierte Anlagen,Radfahren auf Busspuren,16057668,
RADWEGEOGD.16057669,"LINESTRING (16.374974550832153 48.151366673364386, 16.37495588936153 48.151392400423774, 16.374851625397586 48.151427779201136, 16.374795725454746 48.15143903963891, 16.37472881021178 48.151457138638726, 16.37471025560014 48.151464303520285, 16.374700695609057 48.151476231806065)",Getrennte Führung,gemischter Geh- und Radweg,16057669,
RADWEGEOGD.16056527,"LINESTRING (16.48986071682162 48.253672815561565, 16.489649237407704 48.2532531290426, 16.48949336858917 48.25295686129659, 16.48939126342874 48.25276149628341, 16.489234578962698 48.252457144443134, 16.489017640360117 48.252027688436534, 16.48890257620202 48.25180686271187, 16.488820541659354 48.25165288375288, 16.4888008356362 48.2516148330962, 16.488770349347863 48.251547065525735, 16.488711245814486 48.2514376888403)",Markierte Anlagen,Mehrzweckstreifen,16056527,
RADWEGEOGD.16056528,"LINESTRING (16.364120251110172 48.208365250402125, 16.364150189096286 48.20836875042802, 16.364215635558704 48.208376387607565, 16.364271246229144 48.20838287603787, 16.364452427096285 48.20836516882391, 16.364894044096488 48.208322170421766, 16.36529414584928 48.208289262241344, 16.36580370611469 48.20824624304271, 16.366007523801233 48.20821843717264, 16.36616685947084 48.208187809750704, 16.366267218302525 48.20812378796974)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16056528,
RADWEGEOGD.16056529,"LINESTRING (16.382391106820368 48.146220617390675, 16.38244930764944 48.146101486983014, 16.38249948676608 48.144970742168525, 16.382518871911696 48.14439870795682, 16.3825521757941 48.14348211756435, 16.382582989045062 48.14294815611576, 16.382613826952426 48.142457020601, 16.382655701721085 48.14158611226731, 16.382705984949155 48.14058004931112, 16.38272552973374 48.14017362588969, 16.382738874364726 48.13999810753525)",Markierte Anlagen,Mehrzweckstreifen,16056529,
RADWEGEOGD.16056530,"LINESTRING (16.375871638820048 48.16201599345544, 16.375911277766754 48.16204764494969, 16.375970936751752 48.16237950213019, 16.375973575582332 48.16238481622403, 16.376132987319522 48.16328016453809, 16.3761383006008 48.16331909445465, 16.37612895428444 48.16333161631427, 16.37612245483889 48.16334033303703, 16.3761131267589 48.16334175722138)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16056530,
