FID,SHAPE,MERKMAL,SUBMERKMAL,SE_SDO_ROWID,SE_ANNO_CAD_DATA
RADWEGEOGD.16061794,"LINESTRING (16.349730922364778 48.21596427745459, 16.349731084133904 48.21596537460145, 16.349766415921586 48.21619957038628, 16.349917398596368 48.21720039247048, 16.349934828560357 48.217263108684804)",Markierte Anlagen,Radfahren gegen die Einbahn,16061794,
RADWEGEOGD.16061774,"LINESTRING (16.28947150050474 48.22604905402842, 16.28955010140054 48.22591527677094, 16.289558667406325 48.22590857134531, 16.289608460675034 48.22586955220576, 16.289612380017363 48.225866487124726, 16.290002263835266 48.22562255185786, 16.29039213591732 48.22538764437732, 16.290499382148496 48.22528997633457, 16.290620798086294 48.22517939063203)",Markierte Anlagen,Radfahren gegen die Einbahn,16061774,
RADWEGEOGD.16062136,"LINESTRING (16.477331121573553 48.2683757256462, 16.477280471114803 48.26836498716766, 16.477214002785537 48.2683626046752, 16.477147575089298 48.268370087508906, 16.47708670060746 48.268388642974514, 16.477044276702898 48.268401024517175, 16.476961227114312 48.268403743300475)",Getrennte Führung,baulicher Radweg,16062136,
RADWEGEOGD.16062137,"LINESTRING (16.299041717589386 48.18446287009086, 16.299290425658512 48.18440947623886, 16.299396803311193 48.18438664046269, 16.299926334559057 48.1842755620225, 16.300238503064566 48.18422116081657)",Markierte Anlagen,Radfahren gegen die Einbahn,16062137,
RADWEGEOGD.16062138,"LINESTRING (16.355860796866892 48.21194643331275, 16.355861500388738 48.211991282136, 16.35597952410058 48.21249406991328, 16.35601862333294 48.21262623575197, 16.356034671997257 48.21272025655628, 16.35605538498869 48.21283645370202)",Getrennte Führung,baulicher Radweg,16062138,
RADWEGEOGD.16062139,"LINESTRING (16.295732129543207 48.16885292331029, 16.295663893680658 48.16872508743746, 16.294985587472983 48.16753009511855)",Markierte Anlagen,Radfahren gegen die Einbahn,16062139,
RADWEGEOGD.16062140,"LINESTRING (16.359050518056485 48.18200120808102, 16.35927285808331 48.182177286568084, 16.359451025020615 48.182325512630825, 16.359445887169606 48.182353158827674, 16.359754683828864 48.18261415069027, 16.35977632733154 48.18265672011604, 16.359849615592037 48.182711320775844)",Getrennte Führung,baulicher Radweg,16062140,
RADWEGEOGD.16062141,"LINESTRING (16.466072014970948 48.15417982982782, 16.46598992956958 48.15419349348449, 16.46600386465322 48.15433091278932, 16.46602296153289 48.15434617974608, 16.466044695984824 48.15436273874675, 16.46607105688876 48.15437515560891, 16.4661098938706 48.1544155363925, 16.46614875189687 48.154464217921166, 16.466210861388618 48.154518062222756, 16.466243489502833 48.154553269871016)",Getrennte Führung,gemischter Geh- und Radweg,16062141,
RADWEGEOGD.16062142,"LINESTRING (16.37350121049513 48.19949313973839, 16.37381983199722 48.199578219009815, 16.374208333637128 48.19967500134569, 16.374578161654856 48.19976713914703, 16.374807811691593 48.199831471188, 16.37491810517529 48.199848017396775)",Getrennte Führung,baulicher Radweg,16062142,
RADWEGEOGD.16062143,"LINESTRING (16.344018415067843 48.17921255531877, 16.344419805509972 48.17865828346304, 16.34455857309599 48.178485243657235)",Markierte Anlagen,Radfahren gegen die Einbahn,16062143,
RADWEGEOGD.16062144,"LINESTRING (16.45832583208889 48.22110899162678, 16.45831993647487 48.22109156915507, 16.458317011301567 48.22103867450623, 16.458323003173053 48.2210230560106)",Markierte Anlagen,Radfahrerüberfahrt,16062144,
RADWEGEOGD.16062145,"LINESTRING (16.265533863912346 48.19435826211385, 16.26569260275097 48.19452048877844, 16.26573140090516 48.194565199725474)",Markierte Anlagen,Mehrzweckstreifen,16062145,
RADWEGEOGD.16062146,"LINESTRING (16.489273822256656 48.2561766594986, 16.489643296163415 48.25609387068165, 16.489999311252614 48.25601866189689, 16.490232889971498 48.25596774474171, 16.490529564340857 48.255904655631845, 16.490802171605843 48.255845672024044)",Markierte Anlagen,Mehrzweckstreifen,16062146,
RADWEGEOGD.16062147,"LINESTRING (16.374776252056343 48.20841515177781, 16.37378439222188 48.20870894692427, 16.373655941757235 48.20874527647658, 16.3734822808099 48.208814274836136, 16.372887101934612 48.20910859788242, 16.37286066996479 48.20913621539748)",Getrennte Führung,Verkehrsberuhigte Bereiche,16062147,
RADWEGEOGD.16062148,"LINESTRING (16.441496629873658 48.24358278850503, 16.441527671539653 48.24357356006953, 16.44224874674579 48.243360208995, 16.4424264995636 48.24331139189051, 16.44296878864677 48.24317074008656, 16.44298466704728 48.24316662445662)",Markierte Anlagen,Radfahren gegen die Einbahn,16062148,
RADWEGEOGD.16062149,"LINESTRING (16.488180338780122 48.2437034384206, 16.48823246515552 48.243715366271125, 16.488307711378987 48.24375541196513, 16.488379253537644 48.24381303508141, 16.488447142370262 48.243900762980886, 16.48882805094405 48.24440461886155, 16.48949627566896 48.24534071351305, 16.490084303323208 48.24616442564278)",Markierte Anlagen,Radfahren gegen die Einbahn,16062149,
RADWEGEOGD.16062150,"LINESTRING (16.44451242210905 48.251065997864124, 16.444535145736165 48.25110120244426, 16.445218129150977 48.251964865919675)",Getrennte Führung,baulicher Radweg,16062150,
RADWEGEOGD.16062151,"LINESTRING (16.40332482419702 48.254440668208694, 16.40307517546429 48.25453851508604, 16.40278079622001 48.2546515677469)",Getrennte Führung,gemischter Geh- und Radweg,16062151,
RADWEGEOGD.16062152,"LINESTRING (16.419895950092997 48.16916268075244, 16.419914440714916 48.16927288840222, 16.419951149056413 48.16933408758673, 16.42006417990277 48.16941972858681, 16.42020470773454 48.16952371354142, 16.42032384311321 48.16960934981437, 16.420476562619182 48.169711293023106, 16.420617051820617 48.169790788909395, 16.420711686257842 48.16982337370016, 16.420807871735423 48.16984256633772)",Markierte Anlagen,Mehrzweckstreifen,16062152,
RADWEGEOGD.16062153,"LINESTRING (16.323371492690164 48.1481981460785, 16.323058501494348 48.14821528826545, 16.322963354436695 48.14821988202346, 16.32287447118329 48.14821903549194, 16.322472624449432 48.14818002986075, 16.321881740311987 48.1481275996969, 16.32182977555482 48.14811837517459, 16.321805131000584 48.14811133938379, 16.321782502226494 48.14810439377074, 16.321755249717246 48.14810048730386)",Markierte Anlagen,Radfahren gegen die Einbahn,16062153,
RADWEGEOGD.16062154,"LINESTRING (16.361938803167607 48.24718945378171, 16.36192739928229 48.24713731426278)",Markierte Anlagen,Radfahrerüberfahrt,16062154,
RADWEGEOGD.16062155,"LINESTRING (16.38551653616203 48.15959798239143, 16.385895466893576 48.159386693082126, 16.386510483142956 48.15903964487649, 16.38686622616701 48.15883544021357, 16.38687947193314 48.15882783505709)",Getrennte Führung,gemischter Geh- und Radweg,16062155,
RADWEGEOGD.16062156,"LINESTRING (16.440823306859865 48.22503245014501, 16.44082585663181 48.22502223160089, 16.44086773597998 48.22455866837263)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16062156,
RADWEGEOGD.16062157,"LINESTRING (16.44066435324633 48.22567044314072, 16.44079770257049 48.22513520224784)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16062157,
RADWEGEOGD.16062158,"LINESTRING (16.44085953764621 48.223028265883265, 16.440866217378616 48.222423973698994, 16.44086888168062 48.22198871149441)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16062158,
RADWEGEOGD.16062159,"LINESTRING (16.441030200006036 48.21333179906575, 16.440826864155248 48.213216485262464)",Markierte Anlagen,Radfahrerüberfahrt,16062159,
RADWEGEOGD.16062160,"LINESTRING (16.439576000929623 48.230097900376165, 16.439529668569303 48.23029019751209, 16.439296773497194 48.23125679202611, 16.439293207069817 48.23127046480455)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16062160,
RADWEGEOGD.16062161,"LINESTRING (16.439833032115345 48.22904457140662, 16.439984814522372 48.22842432090709, 16.440052775005135 48.22814659604638)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16062161,
RADWEGEOGD.16062162,"LINESTRING (16.43685150996746 48.23338618120057, 16.436888399048016 48.2333823897227, 16.436979687811473 48.233394270500575, 16.437104233501543 48.233410348757126, 16.43763700088415 48.233469144068664, 16.437658636975705 48.23347130129045)",Markierte Anlagen,Radfahren gegen die Einbahn,16062162,
RADWEGEOGD.16061048,"LINESTRING (16.38580027980163 48.21309097539136, 16.38598975887944 48.21314281081366)",Markierte Anlagen,Radfahrerüberfahrt,16061048,
RADWEGEOGD.16061049,"LINESTRING (16.418586277418445 48.16733819856063, 16.418615376541936 48.16731743025471, 16.419210255380367 48.16689926533892, 16.41927188952316 48.16685486606182, 16.41945692990437 48.16674910631427, 16.419456835595653 48.166748980477294)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16061049,
RADWEGEOGD.16061050,"LINESTRING (16.415438419638782 48.23252087670231, 16.41541501652604 48.23249807726348, 16.41538080959142 48.23245246967914, 16.41535556384884 48.23240446372865, 16.415353691935923 48.23235163032354, 16.41536441828547 48.23231560539983, 16.41542901746088 48.2322555316117, 16.4154793059867 48.23222907503774, 16.415554748258273 48.23220860846912, 16.41563743101837 48.232213353604145, 16.415662222358737 48.23221996438555)",Getrennte Führung,Verkehrsberuhigte Bereiche,16061050,
RADWEGEOGD.16061051,"LINESTRING (16.382987290506616 48.27927465088493, 16.382988409080333 48.27931911214465, 16.382985055478333 48.279335112177044, 16.382969110998168 48.279358122945055, 16.38294432972413 48.27938281901785, 16.382907915579807 48.27940139554822, 16.38286629420232 48.27941274376241, 16.382834501980035 48.27941734316413, 16.382742345208715 48.27941621152063, 16.382642928038962 48.27943162998548, 16.38256844683774 48.279458999056985, 16.382515926831662 48.279486539069936, 16.382478496783868 48.27951425282877, 16.38240795235162 48.27957453482501, 16.382343598966422 48.27962770976384, 16.3822376382965 48.279708420163495, 16.382065151652334 48.27982449984775, 16.381971029290433 48.279885960103066, 16.381882827346793 48.27993896444052, 16.38180659942906 48.27997298858001, 16.38173764245352 48.28000197366424, 16.381662480353953 48.28002268754903, 16.381526158309992 48.280053048165485, 16.381432953074984 48.280086359323896, 16.38131374992439 48.28012597578739, 16.381235493938185 48.28015271596337, 16.381161677789635 48.28017234982371, 16.381042326623632 48.28019730736872, 16.380779774754004 48.280245522683636, 16.3805702957325 48.28028058699095, 16.3804225101647 48.28029952954387, 16.38023068023266 48.28033404683706, 16.379961924318444 48.28037659703665, 16.379717817082028 48.28041086363208, 16.379497816250215 48.28043271017592, 16.379393402401444 48.28043796555437, 16.379284254506214 48.280437431084835, 16.379069816867624 48.28042600038227, 16.378821906704037 48.28040871825674, 16.37852779380791 48.2803879453774, 16.37836693336691 48.280368588658305, 16.37825140835398 48.28034635529183, 16.37811303419974 48.2803095074471)",Getrennte Führung,Verkehrsberuhigte Bereiche,16061051,
RADWEGEOGD.16061052,"LINESTRING (16.295520738310746 48.16929216868712, 16.295492167582275 48.16922628313652)",Markierte Anlagen,Radfahrerüberfahrt,16061052,
RADWEGEOGD.16061053,"LINESTRING (16.276076517020186 48.17852257679071, 16.276087713932338 48.1785952838577, 16.27613911705686 48.178967423289926, 16.27621382961719 48.17950827868098)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16061053,
RADWEGEOGD.16061054,"LINESTRING (16.36130319284709 48.2024808556543, 16.360804512996644 48.20201592643449, 16.360442847748256 48.20170109829709, 16.360157920782612 48.201501590571766, 16.35983193467832 48.20132223537446, 16.35960731133484 48.20122158489206, 16.359201169926912 48.201081904253094)",Markierte Anlagen,Radfahren gegen die Einbahn,16061054,
RADWEGEOGD.16061055,"LINESTRING (16.464073281066426 48.21942691415126, 16.464212807270787 48.21940565175539, 16.464300160944163 48.21940117467901, 16.464389722725546 48.21940253163334, 16.464454603433616 48.21939835831073, 16.46450380045031 48.21939181928714, 16.464551317839298 48.21938629834694, 16.46460371196475 48.21937748043743, 16.464653911377265 48.219362828397024, 16.46471065712167 48.21934524623171, 16.464769590228943 48.219330584367064, 16.464839468882044 48.21932320366607, 16.465717236344908 48.21920690675901)",Getrennte Führung,baulicher Radweg,16061055,
RADWEGEOGD.16061056,"LINESTRING (16.499652681024905 48.23401053756984, 16.499689345935796 48.2340306300283, 16.49979129066589 48.23406546821115, 16.500559355156575 48.23411099230201, 16.501486209748332 48.234148368939046, 16.502297976999216 48.234162189654405, 16.50278559197706 48.234157166882696, 16.503229991041888 48.23408436063769, 16.503634939986807 48.23396384761129, 16.504030008434864 48.2338109992643, 16.50449508016114 48.23372625999544, 16.504841292647242 48.23372029344112, 16.50524647430419 48.23373771118241, 16.505562623032063 48.233734250812226, 16.50598023986991 48.23370191556572, 16.506693338878787 48.23359644909636, 16.507063048826126 48.233552813674265, 16.507330332173737 48.23353303560807, 16.50771271650861 48.233495989173974, 16.509127257026716 48.23336148056802, 16.509363542956628 48.23333919037752, 16.509551441996056 48.233282681876524, 16.509800412912092 48.23322617972094, 16.509976107141014 48.23322679541763, 16.51019595418256 48.23325942251843, 16.51036789598723 48.233280754505124, 16.511022272688745 48.23324902200603, 16.512226716460024 48.233158546419226, 16.512940791159625 48.233072590783806, 16.513517161258783 48.232991258968255, 16.51426594100061 48.23287256044829, 16.51542478169853 48.23264051599743, 16.516314916012842 48.232441130856856, 16.517265213582967 48.23222676035814, 16.51769125994243 48.23211718112238, 16.517816666279472 48.23207353706288, 16.517868325279203 48.2320233186078, 16.51790636126607 48.231961484547966, 16.517895531283283 48.23188334226004, 16.517629938067746 48.231178798370436, 16.517626145914083 48.23107710987019, 16.51768862377353 48.231064231927945)",Markierte Anlagen,Mehrzweckstreifen,16061056,
RADWEGEOGD.16061057,"LINESTRING (16.337940388734992 48.20120164347732, 16.337928980952782 48.201200825284054, 16.3379006897944 48.2011877316607, 16.337896343685895 48.201161552559995, 16.337945279398593 48.201037202951035, 16.337974656327475 48.20094848466012, 16.337965951982167 48.20093248592311, 16.337946364653067 48.20091794426179, 16.337910298288524 48.20090940132143)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16061057,
RADWEGEOGD.16061058,"LINESTRING (16.39155190663578 48.25016685439002, 16.391793856131997 48.25028168730132)",Markierte Anlagen,Radfahrerüberfahrt,16061058,
RADWEGEOGD.16061059,"LINESTRING (16.44502976244534 48.2253843990732, 16.445016534925806 48.225328537159335, 16.4449429507096 48.225028145670336, 16.44485404869405 48.22467569826165, 16.444743653922313 48.22421490358624, 16.444629585520968 48.22373432729841, 16.44453845150341 48.22336167405611)",Getrennte Führung,gemischter Geh- und Radweg,16061059,
RADWEGEOGD.16061060,"LINESTRING (16.262591600428983 48.13359865146965, 16.262591643212062 48.13358090232937, 16.262580453981972 48.13357289833878, 16.262559038498527 48.133564641392, 16.262546509015376 48.1335515544298, 16.262539253018875 48.13353449310486, 16.262542763077498 48.1335159970406, 16.262567237441676 48.13342836493318, 16.262642990622354 48.133102559256294, 16.26263797885469 48.13306528783597, 16.262612781874665 48.13303241023394, 16.26256064594665 48.13300119714979, 16.26251192025369 48.132943330093696, 16.262482839904646 48.13287345155613, 16.26248565781032 48.13277235971375, 16.262503818507703 48.13271610477648, 16.262501336665785 48.132630824251756, 16.26249345890647 48.1325779386245, 16.26246103889913 48.13250433471443, 16.262416554312118 48.132449824828164, 16.262356812987793 48.13240133065138, 16.26226192727149 48.13231514096187, 16.262190945539533 48.13225449852878, 16.262143943397497 48.13216658580955, 16.262116895652603 48.13206649998993, 16.262085089270858 48.13199652965417, 16.262024739427634 48.13192333931308, 16.261935117705047 48.13184907785005, 16.26183762341061 48.13173771387768, 16.26177439245044 48.13165993495912, 16.261729670255797 48.1315662768169, 16.26170319572065 48.13152589776947, 16.261611209542277 48.131359498173076, 16.261529635097077 48.131193375048774, 16.261408980474645 48.13101840406021, 16.26138215503224 48.130979508601385, 16.261021337129108 48.13047399405161, 16.261017476221216 48.130468433671425)",Getrennte Führung,gemischter Geh- und Radweg,16061060,
RADWEGEOGD.16061061,"LINESTRING (16.414159669271605 48.30669494244004, 16.414870805798 48.30649968098061, 16.415881468713547 48.30593996494644, 16.41589025003243 48.30593504865954, 16.41629373115093 48.305709276760034, 16.416529961626413 48.305576734373176, 16.416732957903513 48.30548378412766, 16.417018436806963 48.305382232109494, 16.41732251948677 48.30528237491071, 16.417525302245902 48.30522629481702, 16.417667323821572 48.305191121319716, 16.417773120523204 48.30517854588691, 16.41789552654306 48.30518421438007, 16.418089290788057 48.30520414876056, 16.418162067011753 48.30521163298024, 16.418429552511896 48.305239769727784, 16.418583115311865 48.305256656449835, 16.418784302835267 48.305243676154, 16.419019648248273 48.305203275415884, 16.419229132241266 48.30513302166863, 16.419450011964635 48.3049695654484, 16.41974394124098 48.30465369940954, 16.4199291063007 48.30445941496338, 16.420123627253666 48.30430930431649, 16.420348032863174 48.30416997835691, 16.42046808109643 48.30406727716466, 16.42052410621944 48.3039129354616, 16.42054403033147 48.30372921485246)",Getrennte Führung,Verkehrsberuhigte Bereiche,16061061,
RADWEGEOGD.16061062,"LINESTRING (16.292151207823906 48.17211095830901, 16.292393707232556 48.17232481983958, 16.29256796072342 48.172476152080826, 16.29259994561499 48.172524862535624, 16.292643295966172 48.172584369153746, 16.292692306523826 48.17264419265327)",Getrennte Führung,gemischter Geh- und Radweg,16061062,
RADWEGEOGD.16061063,"LINESTRING (16.50787493440737 48.16317730547487, 16.508148872250775 48.16311437458592, 16.50847642298713 48.16304078657159, 16.50866485631033 48.1630113926082, 16.508828100271252 48.16301467271118, 16.508944052567742 48.16304972493553, 16.509029767887597 48.16309934664982, 16.509147312207183 48.16320794308518, 16.509207977536292 48.16323955292822, 16.50930335045383 48.163226854641856, 16.50941928435502 48.16317642555686, 16.5099036026319 48.16301579406255, 16.510708417837215 48.1627176078365, 16.511172162866107 48.16250227829675)",Getrennte Führung,Verkehrsberuhigte Bereiche,16061063,
RADWEGEOGD.16061443,"LINESTRING (16.416154323362992 48.27047791336759, 16.416086662538063 48.27047092789047, 16.4160407661094 48.27046982669688, 16.415992440253756 48.27047434784884, 16.415517898323316 48.27052055046003, 16.414458780400665 48.27063778283278, 16.41296072966634 48.27080262143289, 16.411764404649695 48.270932331116555)",Getrennte Führung,getrennter Geh- und Radweg,16061443,
RADWEGEOGD.16061444,"LINESTRING (16.41218939409994 48.244175571994944, 16.412136104029795 48.24411180107423)",Getrennte Führung,baulicher Radweg,16061444,
RADWEGEOGD.16061445,"LINESTRING (16.34024627956773 48.17933742785937, 16.340306938866657 48.17934598717821, 16.340371377463153 48.17936312585722, 16.342106595758665 48.17981863520405)",Getrennte Führung,getrennter Geh- und Radweg,16061445,
RADWEGEOGD.16061446,"LINESTRING (16.44421800083015 48.23841206348798, 16.44450200533977 48.238362990243054, 16.444768541681352 48.23831693651976, 16.445394287896395 48.2381999720428)",Markierte Anlagen,Radfahren gegen die Einbahn,16061446,
RADWEGEOGD.16061447,"LINESTRING (16.337723723660776 48.23883728668121, 16.337743270835464 48.238830208802575, 16.337754376486988 48.238805252705625, 16.33776507828615 48.2387811959264, 16.337768981591363 48.23795391786913)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16061447,
RADWEGEOGD.16061448,"LINESTRING (16.3084215594715 48.19758423604507, 16.308328840806794 48.19750358973945, 16.307642576607684 48.197075472051885)",Markierte Anlagen,Radfahren gegen die Einbahn,16061448,
RADWEGEOGD.16061449,"LINESTRING (16.537449021734208 48.209479353710165, 16.537369643389024 48.20950795615056)",Markierte Anlagen,Radfahrerüberfahrt,16061449,
RADWEGEOGD.16061450,"LINESTRING (16.38631007474831 48.26401316299457, 16.386013827100896 48.26456931681282, 16.38588837368835 48.26481697796045)",Markierte Anlagen,Mehrzweckstreifen,16061450,
RADWEGEOGD.16061451,"LINESTRING (16.29869184109853 48.18632603378252, 16.298684085711017 48.18643087412348, 16.29867970128746 48.186449587571516)",Markierte Anlagen,Radfahrerüberfahrt,16061451,
RADWEGEOGD.16061452,"LINESTRING (16.267215654719283 48.19680590787453, 16.26731138878659 48.19678539771795, 16.267422580403053 48.19678353960548, 16.268410719613314 48.196517369061674, 16.26951305139875 48.19620828666906, 16.27097517577286 48.1958028109823)",Markierte Anlagen,Radfahren gegen die Einbahn,16061452,
RADWEGEOGD.16061453,"LINESTRING (16.374974945666356 48.18191641201939, 16.37526266673332 48.18124443984557)",Getrennte Führung,Radfahren in Fußgängerzonen,16061453,
RADWEGEOGD.16061454,"LINESTRING (16.36962192181363 48.21849189139078, 16.369481948277034 48.218357772199475)",Markierte Anlagen,Radfahrerüberfahrt,16061454,
RADWEGEOGD.16061455,"LINESTRING (16.385512313770224 48.19831951175962, 16.387119303245125 48.19823731284788, 16.38720769017037 48.198232687023754, 16.387317769262264 48.198141644862034)",Markierte Anlagen,Radfahren gegen die Einbahn,16061455,
RADWEGEOGD.16061456,"LINESTRING (16.365524517662188 48.20994053032897, 16.36590234688773 48.20950794208471)",Markierte Anlagen,Radfahren gegen die Einbahn,16061456,
RADWEGEOGD.16061457,"LINESTRING (16.378274665376043 48.217981168491065, 16.378269383293873 48.21793996376313, 16.37824704188081 48.21765801834616, 16.37820567750589 48.217135881497576)",Markierte Anlagen,Radfahren gegen die Einbahn,16061457,
RADWEGEOGD.16061458,"LINESTRING (16.432834081805446 48.2434923271595, 16.43273225027818 48.24356051774509)",Markierte Anlagen,Radfahrerüberfahrt,16061458,
RADWEGEOGD.16061459,"LINESTRING (16.455269039490986 48.17134476362314, 16.454950231737378 48.17142345188621, 16.454588485036005 48.17150998068545, 16.45452024638546 48.171524701013325, 16.454503204745365 48.171527452518724, 16.45447559631976 48.171530556650914, 16.45445582088679 48.171525513829685, 16.454438367455005 48.17151291429514)",Getrennte Führung,gemischter Geh- und Radweg,16061459,
RADWEGEOGD.16061460,"LINESTRING (16.332415174012276 48.21814095660618, 16.33241460547185 48.218188224644685, 16.332710141758113 48.21910898038041)",Markierte Anlagen,Radfahren gegen die Einbahn,16061460,
RADWEGEOGD.16061461,"LINESTRING (16.319824736854407 48.161088056174286, 16.319673564238066 48.16114082511574, 16.317487550599555 48.161658252252465)",Markierte Anlagen,Mehrzweckstreifen,16061461,
RADWEGEOGD.16061462,"LINESTRING (16.35078158311111 48.22491689920511, 16.350781852660315 48.224918203177424, 16.350791906769082 48.22496654007411)",Getrennte Führung,Radfahren in Wohnstrassen,16061462,
RADWEGEOGD.16061463,"LINESTRING (16.45648183108787 48.27813311612022, 16.45650793802232 48.27812602022493, 16.456538645901606 48.27812752587035, 16.45660408376413 48.278133608549965, 16.456766235560277 48.27816539981995, 16.457271165442222 48.27827306429619, 16.457875617633256 48.278407663325375, 16.45841739684166 48.27852511314694, 16.45905402667864 48.2786590691985, 16.45918399223996 48.27868411969857, 16.45926505072844 48.27868648798606, 16.45934233321616 48.278659363000635, 16.45937537740317 48.27861260857881, 16.459368710233658 48.27854621990388, 16.459348782295766 48.27846716521946, 16.459297210096487 48.278367064695225, 16.459119125437066 48.27820383336456, 16.45898072635874 48.278122279358335, 16.458858168210085 48.278061788023464, 16.458723730012863 48.27798549042181, 16.45869197978765 48.2779143621278, 16.458699660243198 48.27782473799849, 16.458754786882793 48.27776142193944, 16.45885338055119 48.27771123429219, 16.458983630457904 48.277687380404984)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16061463,
RADWEGEOGD.16061464,"LINESTRING (16.37771534775801 48.277581749512215, 16.378198897021342 48.27753862240379, 16.37861350691043 48.27747988884587)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16061464,
RADWEGEOGD.16061465,"LINESTRING (16.3962088601144 48.25584378528964, 16.396295321009948 48.25592709709106)",Markierte Anlagen,Radfahrerüberfahrt,16061465,
RADWEGEOGD.16061466,"LINESTRING (16.368492714861564 48.205096931626606, 16.36847329462797 48.205128871894054, 16.3684352270951 48.20515982816205, 16.36838327471389 48.20518966417514, 16.36829514517672 48.205240311545964)",Markierte Anlagen,Radfahren gegen die Einbahn,16061466,
RADWEGEOGD.16061467,"LINESTRING (16.410296846249864 48.17009264410796, 16.41074823227735 48.17043774595311, 16.410898835884275 48.170538291306464, 16.411494106886405 48.170942669767726, 16.411548816040508 48.17098134073825)",Markierte Anlagen,Mehrzweckstreifen,16061467,
RADWEGEOGD.16061468,"LINESTRING (16.404367338339377 48.21474517820885, 16.40450643055303 48.21462152935669, 16.405199053027196 48.21426102843966, 16.405200249819515 48.214260443163944)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16061468,
RADWEGEOGD.16061469,"LINESTRING (16.443048316871575 48.24921875432661, 16.44305283288994 48.249305155963306, 16.44348358865752 48.24982853122901)",Markierte Anlagen,Mehrzweckstreifen,16061469,
RADWEGEOGD.16061470,"LINESTRING (16.343812848744193 48.15288569511453, 16.34380294743186 48.15291157839603, 16.3436637994599 48.15297154578279, 16.343176107043153 48.15318170464135, 16.342753336471844 48.153265664187565, 16.34239129800322 48.153333439964584, 16.34186357395374 48.15343817641247, 16.34173623244045 48.15346486578982, 16.34159050589554 48.15350183521263, 16.34144323363905 48.15353982076162, 16.341228454096 48.15360245072077, 16.34107505380021 48.15365275684305, 16.34091243386537 48.153709223535174, 16.34065119197729 48.1537892833112, 16.340503878438067 48.15383367085928)",Getrennte Führung,Verkehrsberuhigte Bereiche,16061470,
RADWEGEOGD.16061797,"LINESTRING (16.367925296386787 48.20288322031586, 16.367924321240835 48.2028510069958, 16.367904167204337 48.20280521028744)",Getrennte Führung,getrennter Geh- und Radweg,16061797,
RADWEGEOGD.16061798,"LINESTRING (16.392938840848668 48.21951765166301, 16.39311568769677 48.21955756559885, 16.393189510528103 48.21959009316547, 16.393319044890447 48.219644913969994, 16.393369691963738 48.2196752856104, 16.393397074051798 48.2197081419535, 16.39347932194927 48.2198011351331, 16.393596320060972 48.2198606203407, 16.393746645858634 48.21995009888057, 16.393964731399283 48.22006418436617, 16.394184293530273 48.22010279810213, 16.394297117751847 48.22014727512218, 16.39445997578015 48.220225990558006, 16.394608741549526 48.220314128777105, 16.394686989503032 48.22036633015457, 16.39477452259097 48.220429642279775, 16.394921703516754 48.220507807488076, 16.395066460970494 48.22058462477723, 16.395238828455547 48.220680043509674, 16.395320130202286 48.220718600260646, 16.395357462920256 48.22074293448071, 16.395368022767162 48.22075076207357, 16.395380362207394 48.22077298679256, 16.395403911715274 48.22079505284007, 16.39544910264249 48.220818375739526)",Getrennte Führung,baulicher Radweg,16061798,
RADWEGEOGD.16061799,"LINESTRING (16.431073980397212 48.18561126496685, 16.431058739032977 48.18559440629527, 16.43100591916421 48.18552466259771, 16.43092157394756 48.185395319887675, 16.43091447289274 48.185387870373255, 16.430905354890786 48.18538787789697, 16.430896240638567 48.18538991788319, 16.430894221182076 48.185396016948296, 16.43089423493644 48.1854034723113, 16.43101617975504 48.185597157410655, 16.431018225487186 48.18560528558584, 16.431013167935497 48.185612061653515, 16.430880654320152 48.18573277902538, 16.430877624968808 48.18573820443191)",Getrennte Führung,baulicher Radweg,16061799,
RADWEGEOGD.16061800,"LINESTRING (16.383285805940865 48.21240047913662, 16.383249627054735 48.21252074167806, 16.383246892579116 48.21253211016805)",Markierte Anlagen,Radfahrerüberfahrt,16061800,
RADWEGEOGD.16061801,"LINESTRING (16.25444193407497 48.19893977365851, 16.25453013156046 48.19891023064244, 16.254728988873495 48.19880995348788, 16.25482592542562 48.198757591701565, 16.254965004313927 48.19868106787482, 16.255142180539448 48.198586134650874, 16.25530481952895 48.19849667679094, 16.25578545218358 48.19828221992794)",Getrennte Führung,gemischter Geh- und Radweg,16061801,
