FID,SHAPE,BEZIRK,ADRESSE,WEITERE_INFORMATION,TERMINE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,STANDORT_ID
MOBPROBLEMSTOFFOGD.227801,POINT (16.34811457608783 48.214707256994565),8,Skodagasse vor 23,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227801,,8M2
MOBPROBLEMSTOFFOGD.227802,POINT (16.345369030778865 48.225749052864856),18,Währinger Straße vor 91-93 (Kutschkermarkt),http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227802,,18M5
MOBPROBLEMSTOFFOGD.227803,POINT (16.3356943175562 48.21403578675205),16,Yppengasse vor 1 (Yppenmarkt),http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227803,,16M4
MOBPROBLEMSTOFFOGD.227804,POINT (16.34324639678659 48.190864414985434),6,Gumpendorfer Straße vor 118a,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227804,,6M2
MOBPROBLEMSTOFFOGD.227805,POINT (16.3496987470856 48.20214600061537),7,Siebensterngasse vor 41,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227805,,7M1
MOBPROBLEMSTOFFOGD.227806,POINT (16.343772766016432 48.20175528744744),7,Westbahnstraße vor 21,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227806,,7M2
MOBPROBLEMSTOFFOGD.227807,POINT (16.364963946318994 48.19140076945172),4,Klagbaumgasse ggü 11,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227807,,4M1
MOBPROBLEMSTOFFOGD.227809,POINT (16.4850650374505 48.23596165565912),22,Hasibederstraße vor 2,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227809,,22M4
MOBPROBLEMSTOFFOGD.227810,POINT (16.446845559165986 48.23363803720379),22,Siebenbürgerstraße vor 2-12,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227810,,22M2
MOBPROBLEMSTOFFOGD.227811,POINT (16.353577458305963 48.226852219432196),9,Sobieskiplatz zwischen 4 und 5,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227811,,9M3
