FID,OBJECTID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION,SE_ANNO_CAD_DATA
HUNDESACKERLOGD.31001375,31001375,POINT (16.366775782422753 48.19294375245643),4,Fleischmanngasse,# Wiedner Hauptstraße,2348,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001376,31001376,POINT (16.3565930304865 48.235810453174196),19,Heiligenstädter Straße,31,2688,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001377,31001377,POINT (16.299274643544596 48.20800774398736),16,Flötzersteig,31,2176,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001378,31001378,POINT (16.309530083259453 48.205158173334425),16,Kendlerstraße,# Opfermanngasse,1408,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001379,31001379,POINT (16.351066292100313 48.22175061592194),9,Wilhelm Exner Gasse,5,2521,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001380,31001380,POINT (16.31615637375934 48.209496525295364),16,Pfenninggeldgasse,6-12,0448,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001381,31001381,POINT (16.31571712499186 48.208016981009834),16,Herbststraße,# Zagorskigasse,0220,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001382,31001382,POINT (16.298316141518505 48.208084738736055),16,Flötzersteig ,6A,217,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001384,31001384,POINT (16.31462334215302 48.20701760427216),16,Gablenzgasse,112-118,2651,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001385,31001385,POINT (16.365535725167796 48.20302497004545),1,Opernring,17,3407,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001386,31001386,POINT (16.365656590822933 48.20347507486722),1,Opernring,ggü. 17,3408,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001387,31001387,POINT (16.304489384171703 48.21117082657409),16,Montleartstraße,(Beim Wilhelminenspital),0213,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001388,31001388,POINT (16.47653145530183 48.16632059370367),11,Fuchsbodengasse,(Höhe Unterführung Neu Albern),3375,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001389,31001389,POINT (16.318865275428866 48.21420863754144),16,Familienplatz,ggü. 13,2401,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001390,31001390,POINT (16.305507531066624 48.206652732004024),16,Lorenz-Mandl-Gasse,# Zwinzstraße,0231,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001391,31001391,POINT (16.298566742647026 48.205521170981605),16,Steinbruchstraße,60,2198,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001392,31001392,POINT (16.376029945805886 48.163240630129884),10,Dr. Eberle Gasse,2,3331,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001393,31001393,POINT (16.41160752191471 48.196954995216544),2,Stadionallee ,# Schüttelstraße,3428,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001394,31001394,POINT (16.3206097287841 48.214350464504996),16,Arnethgasse,29,3151,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001395,31001395,POINT (16.32056670412775 48.21004096720816),16,Thalhaimergasse,43,2168,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001396,31001396,POINT (16.324115129332046 48.21442522837979),16,Arnethgasse,# Baldiagasse,0225,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001397,31001397,POINT (16.30222813836354 48.20485754843303),16,Steinbruchstraße,30,2169,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001398,31001398,POINT (16.31653638091833 48.21064997401591),16,Hasnerstraße,112,3135,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001399,31001399,POINT (16.302896738011484 48.206252243900174),16,Montlearstraße,# Agricolagasse,2170,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001400,31001400,POINT (16.319224526744506 48.211402246100604),16,Schuhmeierplatz,ggü. 23,2447,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001401,31001401,POINT (16.31386182763154 48.210851205804026),16,Hasnerstraße,7,2657,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001402,31001402,POINT (16.31880295571213 48.20757326736537),16,Herbststraße,87-91,2167,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001403,31001403,POINT (16.37644595725875 48.24130281827586),20,Meldemannstraße,# Schottenaustraße,1189,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001404,31001404,POINT (16.391493959178174 48.232856699455596),20,Innstraße,ggü. Vorgartenstraße,365,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001405,31001405,POINT (16.374709375083814 48.24940033380399),20,Schonauergasse,ggü. 2,1194,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001406,31001406,POINT (16.367310380606988 48.235697261499176),20,Leipziger Platz,ggü. 2,2433,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001407,31001407,POINT (16.384429754526106 48.237997720507295),20,Allerheiligenplatz,ggü. 3,2991,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001408,31001408,POINT (16.377885314148173 48.23972854244257),20,Höchstädtplatz ,# Meldemannstraße,0351,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001409,31001409,POINT (16.368435816242783 48.24415510314214),20,Brigittenauer Lände,# Lorenz-Müller-Gasse,0383,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001410,31001410,POINT (16.249618284469285 48.21459370870244),14,Hüttelbergstraße,ggü. 71,1463,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001411,31001411,POINT (16.375028311147926 48.247079040385685),20,Leystraße,19-21,0031,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001412,31001412,POINT (16.36693511795348 48.2308753683767),20,Klosterneuburger Straße,44,0380,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001413,31001413,POINT (16.371156736384435 48.2391885710064),20,Jägerstraße,# Zrinyigasse,0370,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001414,31001414,POINT (16.37013122025688 48.2592753294685),20,Am Brigittenauer Sporn,,2993,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001415,31001415,POINT (16.376582617353993 48.229300074080264),20,Wasnergasse,ggü. 41,0372,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001416,31001416,POINT (16.37895379272925 48.24295206718267),20,Marchfeldstraße,16-18,32,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001417,31001417,POINT (16.382281684651787 48.24391028045898),20,Wehlistraße,32-38,0028,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001418,31001418,POINT (16.37085366478896 48.226677499089995),20,Wasnergasse,ggü. 3-5,0378,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001419,31001419,POINT (16.381253514068618 48.23526216899519),20,Dresdner Straße,70,2423,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001420,31001420,POINT (16.37908795505936 48.247845352835355),20,Aignerstraße,(Vor Aignersteg),0361,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001421,31001421,POINT (16.384355678120922 48.24119293806659),20,Maria-Restituta-Platz,,0363,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001422,31001422,POINT (16.375870994248046 48.24319795992608),20,Adalbert Stifter Straße,# Pasettistraße,1190,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001423,31001423,POINT (16.349473608350827 48.1912445983098),6,Grabnergasse,11-13,2704,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001424,31001424,POINT (16.373373089330016 48.228261813961694),20,Wasnergasse,ggü. Karl-Meißl-Straße,0373,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001425,31001425,POINT (16.415549042648546 48.16846165241095),11,Ehamgasse,51,2590,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001426,31001426,POINT (16.371884710238675 48.22941875191587),20,Wallensteinplatz,(in Achse Karl-Meißl-Straße 2),0376,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001427,31001427,POINT (16.379795491014395 48.229736772762365),20,Nordwestbahnstraße,ggü. Kunzgasse,0022,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001428,31001428,POINT (16.380286910846106 48.23611786392986),20,Dresdner Straße,# Kampstraße,2318,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001429,31001429,POINT (16.369081999629678 48.227720192585586),20,Klosterneuburger Straße,# Traunfelsgasse,0382,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001430,31001430,POINT (16.377274682300598 48.247008191595384),20,Kapaunplatz,# Aignerstraße,0360,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001431,31001431,POINT (16.37525016826918 48.23531017443383),20,Leipziger Straße,Ecke Hellwagstraße,2981,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001749,31001749,POINT (16.46817882967067 48.21530223972762),22,Wulzendorfstraße,64,3711,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001752,31001752,POINT (16.532704097674806 48.26224516031577),22,Pfirsichgasse,38,3712,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001753,31001753,POINT (16.295492110825275 48.17390135337398),13,Würzburggasse,# Opitzgasse,3616,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001754,31001754,POINT (16.29326734892672 48.17343987754325),13,Wattmanngasse,# Melchartgasse,3617,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001755,31001755,POINT (16.33571508049682 48.2593056502529),19,Cobenzlgasse,# Oberer Reisenbergweg,3621,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001756,31001756,POINT (16.532083832084552 48.21756566626721),22,Schafflerhofstraße,# Rosenbergstraße,3713,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001757,31001757,POINT (16.528933157794395 48.21147891240364),22,Seefeldergasse,ggü. 6,3717,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001758,31001758,POINT (16.526367752945134 48.21593350444363),22,Simonsgasse,# Greta-Kraus-Weg,3714,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001759,31001759,POINT (16.520841415968047 48.21096156053996),22,Grossmannstraße,# Langer Garten,3719,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001760,31001760,POINT (16.519359144863582 48.212253716771116),22,Kirschenallee,# Schlachthammerstraße,3716,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001761,31001761,POINT (16.5252172224908 48.21354227527189),22,Colerusgasse,ggü. 30,3718,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001762,31001762,POINT (16.523858250313772 48.209139771099736),22,Raphael-Donner-Allee,# Grosserweg,3720,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001763,31001763,POINT (16.520753377097265 48.21595946924155),22,Telephonweg,7,3715,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001776,31001776,POINT (16.29191401527789 48.218338854369414),16,Paulinensteig,63,2193,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001780,31001780,POINT (16.40139914401364 48.26128990706602),21,Floridsdorfer Markt,9-14,0435,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001781,31001781,POINT (16.30391793714763 48.13130420896574),23,Liesinger Flur Gasse,17,3541,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001782,31001782,POINT (16.399887413709603 48.25702136415774),21,Franz-Jonas-Platz,Bahnhof,2067,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001783,31001783,POINT (16.409734598917577 48.25615864007974),21,Mengergasse,# Andreas-Hofer-Gasse,0480,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001784,31001784,POINT (16.413514391536033 48.25628133988918),21,Siegfriedgasse,# Bessemerstraße,2217,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001785,31001785,POINT (16.307357446292198 48.210684058240645),16,Rankgasse,20,2670,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001786,31001786,POINT (16.40937357672632 48.25888971565271),21,Leopoldauer Straße,# Pilzgasse,2368,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001787,31001787,POINT (16.397620516777987 48.24659467678069),21,Arbeiterstrandbadstraße,17,2216,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001789,31001789,POINT (16.42056097348763 48.25661446366426),21,Wolfgang-Riese-Gasse,# Satzingerweg,0479,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001790,31001790,POINT (16.41372169245885 48.255003450953424),21,Bessemerstraße,15,0430,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001791,31001791,POINT (16.40313821519111 48.25607450940311),21,Schloßhoferstraße,32,2220,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001792,31001792,POINT (16.343108658502715 48.23874543323062),19,Cottagegasse,88 ggü,2693,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001793,31001793,POINT (16.42298224864521 48.2527637896406),21,Alfred-Nobel-Straße,# Donaufelder Straße,2219,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001794,31001794,POINT (16.34245568069088 48.23390346080337),19,Hasenauerstraße,26,2690,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001795,31001795,POINT (16.40032721037226 48.2593949105799),21,Angererstraße,# Pius-Parsch-Platz,2535,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001796,31001796,POINT (16.336738121383966 48.18100292994094),12,Niederhofstraße,2,2005,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001797,31001797,POINT (16.40131333164281 48.25793121402312),21,Zaunscherbgasse,# Kramreitergasse,2802,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001798,31001798,POINT (16.422943841608113 48.25009219050551),21,Alois-Negrelli-Gasse,# Nordmanngasse,2803,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001799,31001799,POINT (16.40088800322006 48.24756703310713),21,Arbeiterstrandbadstraße,39A,2809,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001800,31001800,POINT (16.41315858521732 48.25912348855391),21,Leopoldauer Straße,Ecke Bessemerstraße,2808,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001801,31001801,POINT (16.415578699470604 48.25833578050478),21,Klemmweg,31,2807,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001802,31001802,POINT (16.391170605382314 48.24993927825848),21,Floridsdorfer Brücke,# Abfahrt Bruckhaufen,2839,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001803,31001803,POINT (16.38774101885714 48.2484454513436),21,Floridsdorfer Brücke,Haltestelle Donausinsel,2841,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001804,31001804,POINT (16.4277562972816 48.250968132325745),21,Nordmanngasse,# Dückegasse,3064,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001805,31001805,POINT (16.413672751733603 48.24936073099806),21,An der Schanze,1,3068,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001824,31001824,POINT (16.337148880023374 48.18284176111712),12,Längenfeldgasse,16,0118,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001847,31001847,POINT (16.33717792316624 48.20476451964884),7,Lerchenfelder Gürtel,ggü. 6,2643,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001848,31001848,POINT (16.354968353568744 48.20510488966641),7,Zitterhofergasse,6,0070,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001849,31001849,POINT (16.34698816267187 48.19993946633714),7,Jenny Steiner Weg,2,2660,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001851,31001851,POINT (16.399216631894248 48.20796260385988),2,Rustenschacherallee,16,2997,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001853,31001853,POINT (16.398599998234097 48.2100322348611),2,Rustenschacherallee,10,2998,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001854,31001854,POINT (16.398937094664255 48.19957915771495),3,Erdbergstraße,70,2492,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001856,31001856,POINT (16.285588492489673 48.21659263063357),16,Starchantgasse,ggü. 16,3132,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001857,31001857,POINT (16.288592320532405 48.21570599662787),16,Gallizinstraße,ggü. 53,3133,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001858,31001858,POINT (16.319716274660387 48.21736600111307),16,Seeböckgasse,1,3134,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001864,31001864,POINT (16.421650069994108 48.174522866858844),11,Krausegasse,ggü. 20,3386,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001865,31001865,POINT (16.439436970712283 48.191093746032124),2,Gärtnerstraße,# Rennbahnstraße,1180,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001866,31001866,POINT (16.300946151985062 48.19799028951518),14,Hütteldorfer Straße,ggü. 175,3307,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001867,31001867,POINT (16.43570813063011 48.166571841652164),11,Oriongasse,9-11,1354,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001868,31001868,POINT (16.426880562175565 48.17930072284132),11,Haidestraße,,2770,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001869,31001869,POINT (16.46930916658361 48.16721805838303),11,Landwehrstraße,# Jedletzbergerstraße,2587,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001870,31001870,POINT (16.416233806385137 48.17722047812203),11,Huttererweg,# Delsenbachgasse,1336,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001871,31001871,POINT (16.431494763019874 48.162503634824446),11,Neugebäudestraße,13,2489,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001872,31001872,POINT (16.37582707476796 48.25048893747248),20,Luntzgasse,1,3437,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001874,31001874,POINT (16.421104411911028 48.213195148713),2,Dr.-Natterer-Gasse,ggü. 6,1076,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001875,31001875,POINT (16.423193190378523 48.18489348323013),11,Otto-Herschmann-Gasse,# Guglgasse,3378,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001876,31001876,POINT (16.419204530821464 48.17436879118185),11,Krausegasse,# Krötzlergasse,2588,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001877,31001877,POINT (16.42508164690227 48.17641868614786),11,Wachthausgasse,# Lautenschlägergasse,1340,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001878,31001878,POINT (16.428580524261353 48.17382482066671),11,Unter der Kirche,13,1334,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001879,31001879,POINT (16.41698561033384 48.18018268802114),11,Fuchsröhrengasse,bei 31,1342,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001880,31001880,POINT (16.417155610983926 48.18502675608056),11,Döblerhofstraße,# Rosa-Fischer-Gasse,3382,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001881,31001881,POINT (16.435662707888095 48.16935028899803),11,Mitterweg,20,2592,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31001882,31001882,POINT (16.437023626515398 48.16148145080054),11,Neugebäudestraße,65,0298,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
