FID,OBJECTID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION,SE_ANNO_CAD_DATA
HUNDESACKERLOGD.31004387,31004387,POINT (16.3320651525096 48.204031329971244),15,Vogelweidplatz (Hundezone),,666,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004388,31004388,POINT (16.333276703538687 48.20385999868282),15,Vogelweidplatz (Hundezone),,665,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004389,31004389,POINT (16.333660715955972 48.18638726126993),15,Ingnatz-Kuranda-Park,,671,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004390,31004390,POINT (16.333340950355677 48.18925859697413),15,Kranzgasse (Hundezone),,675,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004391,31004391,POINT (16.330278064003398 48.1986381319789),15,Reithofferplatz (Hundezone),,667,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004392,31004392,POINT (16.328520961793835 48.18995856811204),15,Dadlerpark (Hundezone),,663,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004393,31004393,POINT (16.321248906425147 48.19050628894879),15,Mariahilfer Spitz,,664,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004394,31004394,POINT (16.32019739365217 48.189752286988835),15,Auer-Welsbach-Park/ggü Winkelmannstraße 38,,1600,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004395,31004395,POINT (16.316119722135493 48.187558255656015),15,Auer-Welsbach-Park (Hundeauslauf),,673,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004396,31004396,POINT (16.318828864720178 48.19690173937763),15,Forschneritschpark (Hundezone),,668,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004397,31004397,POINT (16.248574442758 48.202945996988504),14,Ferdinand-Wolf-Park,,637,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004398,31004398,POINT (16.247665318969588 48.2021623619456),14,Ferdinand-Wolf-Park,,641,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004399,31004399,POINT (16.248429379444904 48.20996647551871),14,Lagerwiese Wolfersberg,,640,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004400,31004400,POINT (16.24595254269385 48.20966998518387),14,Lagerwiese Wolfersberg,,638,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004401,31004401,POINT (16.244525395134403 48.21097549702793),14,Lagerwiese Wolfersberg,,639,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004402,31004402,POINT (16.305303905858338 48.18791901551999),14,Hadikpark (Hundezone),,649,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
