FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
HYDRANTOGD.9278842,9278842,POINT (16.363475261182753 48.249820545632645),
HYDRANTOGD.9278843,9278843,POINT (16.442153384110053 48.249628887181125),
HYDRANTOGD.9278844,9278844,POINT (16.283098714520328 48.14183116123019),
HYDRANTOGD.9278845,9278845,POINT (16.369033930318498 48.27798305908168),
HYDRANTOGD.9278846,9278846,POINT (16.38886592732728 48.204290216416034),
HYDRANTOGD.9278847,9278847,POINT (16.332451691217162 48.18192621838193),
HYDRANTOGD.9278848,9278848,POINT (16.371842084120566 48.17670103724997),
HYDRANTOGD.9278849,9278849,POINT (16.282875524823606 48.234085966597206),
HYDRANTOGD.9278850,9278850,POINT (16.414058501825227 48.28882602623519),
HYDRANTOGD.9278851,9278851,POINT (16.392090959088918 48.20786248971739),
HYDRANTOGD.9278852,9278852,POINT (16.285719984885297 48.22509585382724),
HYDRANTOGD.9278853,9278853,POINT (16.31739954966733 48.22442421586328),
HYDRANTOGD.9278854,9278854,POINT (16.250191432955532 48.20240635850709),
HYDRANTOGD.9278855,9278855,POINT (16.366110856210522 48.17149460890408),
HYDRANTOGD.9278856,9278856,POINT (16.432350567557318 48.235748147365186),
HYDRANTOGD.9278857,9278857,POINT (16.322872840437494 48.22676220315884),
HYDRANTOGD.9278858,9278858,POINT (16.295068370389366 48.19589257920157),
HYDRANTOGD.9278859,9278859,POINT (16.392329867730023 48.15632617766037),
HYDRANTOGD.9278860,9278860,POINT (16.328443293671747 48.2289503794114),
HYDRANTOGD.9278861,9278861,POINT (16.401367327269977 48.264161716148394),
HYDRANTOGD.9278862,9278862,POINT (16.413943095597332 48.296152468736736),
HYDRANTOGD.9278863,9278863,POINT (16.226012354290635 48.21213715399688),
HYDRANTOGD.9278864,9278864,POINT (16.259298871277704 48.16304921359363),
HYDRANTOGD.9278865,9278865,POINT (16.38702836136372 48.22916394287686),
HYDRANTOGD.9278866,9278866,POINT (16.39436147915113 48.21269995803869),
HYDRANTOGD.9278867,9278867,POINT (16.26137687609544 48.13336954594568),
HYDRANTOGD.9278868,9278868,POINT (16.327816064710078 48.233156878000905),
HYDRANTOGD.9278869,9278869,POINT (16.37551214118226 48.20762602002848),
HYDRANTOGD.9278870,9278870,POINT (16.404447000223833 48.14045126677052),
HYDRANTOGD.9278871,9278871,POINT (16.314248286679202 48.21537736837743),
HYDRANTOGD.9278872,9278872,POINT (16.51614719209625 48.212213962042256),
HYDRANTOGD.9278873,9278873,POINT (16.44116733855783 48.256494564855714),
HYDRANTOGD.9278874,9278874,POINT (16.351708034385332 48.206262919197215),
HYDRANTOGD.9278875,9278875,POINT (16.30015834768457 48.20830023858993),
HYDRANTOGD.9278876,9278876,POINT (16.286858468500718 48.14681402874933),
HYDRANTOGD.9278877,9278877,POINT (16.272072742437018 48.15390594573549),
HYDRANTOGD.9278878,9278878,POINT (16.33195342576501 48.2295958161514),
HYDRANTOGD.9278879,9278879,POINT (16.313464923151294 48.20422719408014),
HYDRANTOGD.9278880,9278880,POINT (16.38753391218886 48.144923541264994),
HYDRANTOGD.9278881,9278881,POINT (16.370383299651856 48.23385225265775),
HYDRANTOGD.9278882,9278882,POINT (16.501806760171316 48.215863163576),
HYDRANTOGD.9278883,9278883,POINT (16.298222383670222 48.16408934757457),
HYDRANTOGD.9278884,9278884,POINT (16.32060251768092 48.2098281575465),
HYDRANTOGD.9278885,9278885,POINT (16.444229938403325 48.263081956197446),
HYDRANTOGD.9278886,9278886,POINT (16.38792506404765 48.169568577721996),
HYDRANTOGD.9278887,9278887,POINT (16.32823149991345 48.160826502693645),
HYDRANTOGD.9278888,9278888,POINT (16.326807658723393 48.227449573337765),
HYDRANTOGD.9278889,9278889,POINT (16.35789925574305 48.20201339460783),
HYDRANTOGD.9278890,9278890,POINT (16.28975405547676 48.2086059748352),
HYDRANTOGD.9278891,9278891,POINT (16.43713640574706 48.25544651654662),
HYDRANTOGD.9278892,9278892,POINT (16.37481681195208 48.21999519053359),
HYDRANTOGD.9278893,9278893,POINT (16.37499034152878 48.14523631473782),
HYDRANTOGD.9278894,9278894,POINT (16.331029207011625 48.18338747288684),
HYDRANTOGD.9278895,9278895,POINT (16.398509687890567 48.28114663834312),
HYDRANTOGD.9278896,9278896,POINT (16.375247267725054 48.14257997278134),
HYDRANTOGD.9278897,9278897,POINT (16.502882875890272 48.20680123159554),
HYDRANTOGD.9278898,9278898,POINT (16.315566763223973 48.20922212990477),
HYDRANTOGD.9278899,9278899,POINT (16.273065549549532 48.177702295157864),
HYDRANTOGD.9278900,9278900,POINT (16.307697245518373 48.14807939761341),
HYDRANTOGD.9278901,9278901,POINT (16.3942947878258 48.26799583334012),
HYDRANTOGD.9278902,9278902,POINT (16.30952473700735 48.15465705941615),
HYDRANTOGD.9278903,9278903,POINT (16.31577391173022 48.19381331978134),
HYDRANTOGD.9278904,9278904,POINT (16.316310386409423 48.17529486500358),
HYDRANTOGD.9278905,9278905,POINT (16.36708966842368 48.2603800033164),
HYDRANTOGD.9278906,9278906,POINT (16.35601974539413 48.22513157566396),
