FID,SHAPE,BEZIRK,KREUZUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.4,POINT (16.30499734865891 48.18819163868749),14,Hadikgasse-Diesterweggasse,4,
AKUSTISCHEAMPELOGD.5,POINT (16.22304462172856 48.20488849531584),14,Wientalstraße-Johann-Schorsch-Gasse,5,
AKUSTISCHEAMPELOGD.7,POINT (16.440907523305196 48.213227216122725),22,Industriestr.-Kaisermühlenstr.,7,
AKUSTISCHEAMPELOGD.8,POINT (16.429798231785103 48.206614103890445),2,Wehlistraße-Simon-Wiesenthal-Gasse,8,
AKUSTISCHEAMPELOGD.9,POINT (16.42904304624971 48.208088537425205),2,Handelskai-Chrastekgasse,9,
AKUSTISCHEAMPELOGD.11,POINT (16.4748057669835 48.222155087667524),22,Erzherzog Karl Str.-Wonkaplatz,11,
AKUSTISCHEAMPELOGD.12,POINT (16.476353673426605 48.22407964396572),22,Aspernstrasse-Wonkaplatz,12,
AKUSTISCHEAMPELOGD.13,POINT (16.458197683806507 48.220764704243074),22,Hardegasse-Schickgasse,13,
AKUSTISCHEAMPELOGD.14,POINT (16.3036053728042 48.1475998516232),23,Erlaaer Str.-Eduard-Kittenberger-Gasse,14,
AKUSTISCHEAMPELOGD.15,POINT (16.27538582178635 48.1378654335334),23,Breitenfurter Str.-ON 378,15,
AKUSTISCHEAMPELOGD.16,POINT (16.280206643130636 48.1362838854131),23,Breitenfurter Str.-Lehmanngasse,16,
AKUSTISCHEAMPELOGD.17,POINT (16.277325609247 48.137189718573666),23,Breitenfurter Str.-Fabergasse,17,
AKUSTISCHEAMPELOGD.18,POINT (16.463295052836695 48.175248424159705),11,11. Haidequerstr.-Margetinstr. / Seitenhafenstr.,18,
AKUSTISCHEAMPELOGD.19,POINT (16.418959092019765 48.21210239975335),2,Vorgartenstr.-ON 15,19,
AKUSTISCHEAMPELOGD.20,POINT (16.44690780562989 48.21776269226989),22,Neuhaufenstr.-Kaisermühlenstr.,20,
AKUSTISCHEAMPELOGD.21,POINT (16.38740146631857 48.2071453308399),3,Marxergasse-Untere Viaduktg.,21,
AKUSTISCHEAMPELOGD.22,POINT (16.37963481310041 48.1797965145183),10,Sonnwendgasse-Hackergasse,22,
AKUSTISCHEAMPELOGD.23,POINT (16.449213626666804 48.24843944421626),22,Kagraner Platz-Kraygasse,23,
