FID,OBJECTID,SHAPE,GARAGE_ID,BETREIBER,BEZEICHNUNG,PLZ,ORT,ADRESSE,WEBLINK_BETR_DE,WEBLINK_BETR_EN,WEBLINK_WK_DE,WEBLINK_WK_EN,LONGITUDE,LATITUDE,PARK_AND_RIDE,BEHINDERTENPARKPL,SE_ANNO_CAD_DATA
GARAGENOGD.67019,67019,POINT (16.403903908897316 48.213173354163345),189-3-258,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Parkplatz Prater - Waldsteingartenstraﬂe,1020,Wien,Prater 123 - Waldsteingartenstraﬂe,http://www.bestinparking.at/de/garage/wien/waldsteingartenstrasse,http://www.bestinparking.at/,http://www.parkeninwien.at/garage-3-258.html,http://www.parkeninwien.at/en/garage-3-258.html,16.403369,48.212616,N,Y,
GARAGENOGD.67009,67009,POINT (16.43619479093524 48.241078795457966),189-3-215,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Donauzentrum Parkhaus 3,1220,Wien,Donaustadtstraﬂe/Bernoullistraﬂe,http://www.bestinparking.at/de/garage/wien/donaustadtstrasse-bernoullistrasse,http://www.bestinparking.at/de/garage/wien/donaustadtstrasse-bernoullistrasse,http://www.parkeninwien.at/garage-3-215.html,http://www.parkeninwien.at/en/garage-3-215.html,16.436204,48.241085,N,Y,
GARAGENOGD.67010,67010,POINT (16.432527913350867 48.24234741897903),189-3-216,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Donauplex Parkhaus 4,1220,Wien,Anton Sattler Gasse/Wagramer Straﬂe,http://www.bestinparking.at/web/frontend/view.php,http://www.bestinparking.at/web/frontend/view.php,http://www.parkeninwien.at/garage-3-216.html,http://www.parkeninwien.at/en/garage-3-216.html,16.432537,48.242354,N,Y,
GARAGENOGD.67011,67011,POINT (16.360032804752016 48.22101928535986),189-3-225,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Bauernfeldplatz,1090,Wien,Bauernfeldplatz/ Liechtensteinstraﬂe,http://www.bestinparking.at/de/garage/wien/bauernfeldplatz,http://www.bestinparking.at/de/garage/wien/bauernfeldplatz,http://www.parkeninwien.at/garage-3-225.html,http://www.parkeninwien.at/en/garage-3-225.html,16.360076,48.220859,N,Y,
GARAGENOGD.67012,67012,POINT (16.344190903867094 48.21653878467334),189-3-228,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Zimmermannplatz,1090,Wien,Zimmermannplatz,http://www.bestinparking.at/de/garage/wien/zimmermannplatz,http://www.bestinparking.at/de/garage/wien/zimmermannplatz,http://www.parkeninwien.at/garage-3-228.html,http://www.parkeninwien.at/en/garage-3-228.html,16.344354,48.216472,N,Y,
GARAGENOGD.67020,67020,POINT (16.37722621346195 48.217787328828436),189-3-26,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Karmelitermarkt,1020,Wien,Karmelitermarkt,http://www.bestinparking.at/de/garage/wien/leopoldsgasse/39,http://www.bestinparking.at/,http://www.parkeninwien.at/garage-3-26.html,http://www.parkeninwien.at/en/garage-3-26.html,16.377627,48.217394,N,Y,
GARAGENOGD.67021,67021,POINT (16.38000248256382 48.21261435004535),189-3-272,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Praterstraﬂe,1020,Wien,Praterstraﬂe 1,http://www.bestinparking.at/de/garage/wien/praterstrasse/1,http://www.bestinparking.at,http://www.parkeninwien.at/garage-3-272.html,http://www.parkeninwien.at/en/garage-3-272.html,16.38017,48.212713,N,Y,
GARAGENOGD.67022,67022,POINT (16.389514772109216 48.20203102803337),189-3-284,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Sechskr¸gelgasse,1030,Wien,Sechskr¸gelgasse 4,http://www.bestinparking.at/de/garage/wien/sechskruegelgasse-4,http://www.bestinparking.at/de/garage/wien/sechskruegelgasse-4,http://www.parkeninwien.at/garage-3-284.html,http://www.parkeninwien.at/en/garage-3-284.html,16.389539,48.201868,N,Y,
GARAGENOGD.67023,67023,POINT (16.317198414509257 48.191736991549426),189-3-285,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Schlossallee Schˆnbrunn,1140,Wien,Linzer Straﬂe 3a,http://www.bestinparking.at/de/garage/wien/linzer-strasse-3a,http://www.bestinparking.at/de/garage/wien/linzer-strasse-3a,http://www.parkeninwien.at/garage-3-285.html,http://www.parkeninwien.at/en/garage-3-285.html,16.317207,48.191743,N,Y,
GARAGENOGD.67024,67024,POINT (16.412238937869727 48.17023120740908),189-3-292,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Herbortgasse,1110,Wien,Herbortgasse 28,http://www.bestinparking.at/de/garage/wien/herbortgasse-28,http://www.bestinparking.at/de/garage/wien/herbortgasse-28,http://www.parkeninwien.at/garage-3-292.html,http://www.parkeninwien.at/en/garage-3-292.html,16.412248,48.170237,N,N,
GARAGENOGD.67025,67025,POINT (16.303833222766887 48.211109992815054),189-3-293,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Parken Spitalsgel‰nde Wilhelminenspital,1160,Wien,Montleartstrasse 37,http://www.bestinparking.at/de/garage/wien/montleartstrasse-37,http://www.bestinparking.at/de/garage/wien/montleartstrasse-37,http://www.parkeninwien.at/garage-3-293.html,http://www.parkeninwien.at/en/garage-3-293.html,16.303842,48.211116,N,Y,
GARAGENOGD.67026,67026,POINT (16.43841624690397 48.24307625735852),189-3-294,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Donauzentrum Parkhaus 1,1220,Wien,Wintzingerrodestraﬂe,http://www.bestinparking.at/de/garage/wien/wintzingerodestrasse,http://www.bestinparking.at/de/garage/wien/wintzingerodestrasse,http://www.parkeninwien.at/garage-3-294.html,http://www.parkeninwien.at/en/garage-3-294.html,16.438425,48.243082,N,Y,
GARAGENOGD.67027,67027,POINT (16.397933074333682 48.217764989474404),189-3-332,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Prater,1020,Wien,"1020 Wien, Tiefstraﬂe / Pr‰uscherplatz (Ausstellungsstraﬂe)",http://www.bestinparking.at/de/garage/wien/prater-9-tiefstrasse-ausstellungsstrasse,http://www.bestinparking.at/de/garage/wien/prater-9-tiefstrasse-ausstellungsstrasse,http://www.parkeninwien.at/garage-3-332.html,http://www.parkeninwien.at/en/garage-3-332.html,16.397942,48.217771,N,Y,
GARAGENOGD.67028,67028,POINT (16.38463702182153 48.204921258806976),189-3-37,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage-Invalidenstrasse,1030,Wien,Invalidenstrasse 10,http://www.bestinparking.at/de/garage/wien/invalidenstrasse-10,http://www.bestinparking.at/de/garage/wien/invalidenstrasse-10,http://www.parkeninwien.at/garage-3-37.html,http://www.parkeninwien.at/en/garage-3-37.html,16.384646,48.204927,N,N,
GARAGENOGD.67029,67029,POINT (16.388160983893655 48.20492007798959),189-3-38,"K‰rntnerstraﬂe Tiefgarage, Bau- u. BetriebsgesmbH & Co KG",Garage Landstraﬂer Hauptstraﬂe,1030,Wien,Seidlgasse 41,http://www.bestinparking.at/de/garage/wien/seidlgasse/37,http://www.bestinparking.at/de/garage/wien/seidlgasse/37,http://www.parkeninwien.at/garage-3-38.html,http://www.parkeninwien.at/en/garage-3-38.html,16.388362,48.204972,N,Y,
GARAGENOGD.67030,67030,POINT (16.404100509574356 48.196688205337125),189-3-43,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Tiefgarage Fiakerplatz,1030,Wien,Fiakerplatz,http://www.bestinparking.at/de/garage/wien/fiakerplatz,http://www.bestinparking.at/de/garage/wien/fiakerplatz,http://www.parkeninwien.at/garage-3-43.html,http://www.parkeninwien.at/en/garage-3-43.html,16.404243,48.19654,N,Y,
GARAGENOGD.67031,67031,POINT (16.391522075998083 48.196752093652705),189-3-485,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Juchgasse,1030,Wien,Juchgasse 22,http://www.bestinparking.at/de/garage/wien/juchgasse/22,http://www.bestinparking.at/de/garage/wien/juchgasse/22,http://www.parkeninwien.at/garage-3-485.html,http://www.parkeninwien.at/en/garage-3-485.html,16.391531,48.196758,N,Y,
GARAGENOGD.67032,67032,POINT (16.391653759379174 48.195148204045715),189-3-51,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Rudolfstiftung,1030,Wien,Boerhaavegasse 8a,http://www.bestinparking.at/de/garage/wien/boerhaavegasse-8a,http://www.bestinparking.at/de/garage/wien/boerhaavegasse-8a,http://www.parkeninwien.at/garage-3-51.html,http://www.parkeninwien.at/en/garage-3-51.html,16.391991,48.195507,N,Y,
GARAGENOGD.67033,67033,POINT (16.37543503285932 48.197681296092185),189-3-55,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Parkplatz Palais Schwarzenberg,1030,Wien,Schwarzenbergplatz 9/ Einfahrt Prinz Eugen Straﬂe,http://www.bestinparking.at/de/garage/wien/prinz-eugen-strasse,http://www.bestinparking.at/de/garage/wien/prinz-eugen-strasse,http://www.parkeninwien.at/garage-3-55.html,http://www.parkeninwien.at/en/garage-3-55.html,16.375394,48.197378,N,N,
