FID,SHAPE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,BEZIRK,ADRESSE,ANZAHL,ART_KAT
FAHRRADABSTELLANLAGEOGD.4734507,POINT (16.365261444432917 48.22076755977523),4734507,,9,Hahngasse 17,6,0
FAHRRADABSTELLANLAGEOGD.4734508,POINT (16.337098281368554 48.1923491307803),4734508,,15,Gebr¸der-Lang-Gasse 4,8,0
FAHRRADABSTELLANLAGEOGD.4734509,POINT (16.362201616483038 48.21548419353926),4734509,,9,Kolinstraﬂe 6,6,0
FAHRRADABSTELLANLAGEOGD.4734510,POINT (16.362544295446444 48.222346274069714),4734510,,9,Pramergasse 7,6,0
FAHRRADABSTELLANLAGEOGD.4734511,POINT (16.380712171642028 48.149909800403414),4734511,,10,Stockholmer Platz 18,6,0
FAHRRADABSTELLANLAGEOGD.4734512,POINT (16.354387730683847 48.21013421166881),4734512,,8,"Loidoldgasse 4, Lenaugasse",4,0
FAHRRADABSTELLANLAGEOGD.4734513,POINT (16.346666325630725 48.21319064089151),4734513,,8,Laudongasse 36,8,0
FAHRRADABSTELLANLAGEOGD.4734514,POINT (16.349927961215815 48.2117690398269),4734514,,8,Florianigasse 27,6,0
FAHRRADABSTELLANLAGEOGD.4734515,POINT (16.406861939755117 48.25285461559203),4734515,,21,Scheffelstraﬂe 13,6,0
FAHRRADABSTELLANLAGEOGD.4734516,POINT (16.390810128949333 48.18739170169365),4734516,,3,Ghehastraﬂe 3,6,0
FAHRRADABSTELLANLAGEOGD.4734517,POINT (16.36352012610147 48.22775198079291),4734517,,9,Spittelauer L‰nde 11,12,0
FAHRRADABSTELLANLAGEOGD.4734518,POINT (16.350014069677133 48.211699332322496),4734518,,8,Piaristengasse 49,8,0
FAHRRADABSTELLANLAGEOGD.4734519,POINT (16.347924061169063 48.207979621470024),4734519,,8,Pfeilgasse 3,28,0
FAHRRADABSTELLANLAGEOGD.4734520,POINT (16.348889075691936 48.207941458637855),4734520,,8,Pfeilgasse 1A,28,0
FAHRRADABSTELLANLAGEOGD.4734521,POINT (16.359128849127988 48.19682843594823),4734521,,5,"Kettenbr¸ckengasse, Ausgang U4-Station",18,0
FAHRRADABSTELLANLAGEOGD.4734522,POINT (16.348620815970634 48.2080744254268),4734522,,8,Pfeilgasse 2,8,0
FAHRRADABSTELLANLAGEOGD.4734523,POINT (16.349149967600805 48.20788680465006),4734523,,8,Zeltgasse 13,4,0
FAHRRADABSTELLANLAGEOGD.4734524,POINT (16.349154023748387 48.20796466711847),4734524,,8,"Zeltgasse 14, Strozzigasse",8,0
FAHRRADABSTELLANLAGEOGD.4734525,POINT (16.349045711453105 48.20805085203672),4734525,,8,Zeltgasse 13,4,0
FAHRRADABSTELLANLAGEOGD.4734526,POINT (16.348366542861907 48.20790783634776),4734526,,8,Pfeilgasse 1A,10,0
FAHRRADABSTELLANLAGEOGD.4734527,POINT (16.33629158935268 48.200665763632365),4734527,,15,Lˆhrgasse 25,6,0
FAHRRADABSTELLANLAGEOGD.4734528,POINT (16.365144034173195 48.172667395470924),4734528,,10,"Neilreichgasse †51-53, Inzersdorfer Straﬂe",8,0
FAHRRADABSTELLANLAGEOGD.4734529,POINT (16.378461301647583 48.173111737377376),4734529,,10,Reumannplatz 6,10,0
FAHRRADABSTELLANLAGEOGD.4734530,POINT (16.365256834901917 48.2219381461605),4734530,,9,Hahngasse 22,6,0
FAHRRADABSTELLANLAGEOGD.4734531,POINT (16.369729061364797 48.17593500306933),4734531,,10,Quellenstraﬂe 102,6,0
FAHRRADABSTELLANLAGEOGD.4734532,POINT (16.431523582612716 48.251223671992456),4734532,,22,Donaufelder Straﬂe 177,4,0
FAHRRADABSTELLANLAGEOGD.4734533,POINT (16.397338783710303 48.13684242158636),4734533,,10,Liesingbachstraﬂe 85,8,0
FAHRRADABSTELLANLAGEOGD.4734534,POINT (16.375187235285733 48.176572962753845),4734534,,10,Pernerstorfergasse 30,8,0
FAHRRADABSTELLANLAGEOGD.4734535,POINT (16.309497177651995 48.201901149040694),4734535,,14,Laurentiusplatz 1,6,0
FAHRRADABSTELLANLAGEOGD.4734536,POINT (16.393670958281827 48.263678305815255),4734536,,21,Galvanigasse 19,12,0
FAHRRADABSTELLANLAGEOGD.4734537,POINT (16.40539664468505 48.19838772101555),4734537,,3,Dietrichgasse 47,6,0
FAHRRADABSTELLANLAGEOGD.4734538,POINT (16.374815454633882 48.17996719447384),4734538,,10,Columbusgasse 15,6,0
FAHRRADABSTELLANLAGEOGD.4734539,POINT (16.279292214531054 48.18997602610018),4734539,,13,Auhofstraﬂe 77,8,0
FAHRRADABSTELLANLAGEOGD.4734540,POINT (16.348972454658124 48.153848598367155),4734540,,10,"Otto-Probst-Platz, Straﬂenbahn 67 Haltestelle",6,0
FAHRRADABSTELLANLAGEOGD.4734541,POINT (16.35658764619331 48.17210147259798),4734541,,10,Hantzenbergergasse 1,8,0
FAHRRADABSTELLANLAGEOGD.4734542,POINT (16.351802463920006 48.22406437499541),4734542,,9,Bleichergasse 12-14,12,0
FAHRRADABSTELLANLAGEOGD.4734543,POINT (16.35727446648501 48.19640386475155),4734543,,5,"Rechte Wienzeile 49, Falcostiege",8,0
FAHRRADABSTELLANLAGEOGD.4734544,POINT (16.36499792583917 48.178757700396105),4734544,,10,Karmarschgasse 19,6,0
FAHRRADABSTELLANLAGEOGD.4734545,POINT (16.359390680569874 48.21364865461285),4734545,,1,Reichsratstraﬂe 6,8,0
FAHRRADABSTELLANLAGEOGD.4734546,POINT (16.367413969111933 48.177633678052466),4734546,,10,"Erlachgasse 124, Schule",5,0
FAHRRADABSTELLANLAGEOGD.4734547,POINT (16.36840682647189 48.17879435619959),4734547,,10,Alxingergasse 22,6,0
FAHRRADABSTELLANLAGEOGD.4734548,POINT (16.34727807508986 48.20432850913976),4734548,,7,Burggasse 70,8,0
FAHRRADABSTELLANLAGEOGD.4734549,POINT (16.366673637390054 48.17948289341874),4734549,,10,Hasengasse 38-42,6,0
FAHRRADABSTELLANLAGEOGD.4734550,POINT (16.36718728326223 48.17751120697846),4734550,,10,Herzgasse 18,4,0
FAHRRADABSTELLANLAGEOGD.4734551,POINT (16.3759333267394 48.18025885796276),4734551,,10,Raaber-Bahn-Gasse 16,6,0
FAHRRADABSTELLANLAGEOGD.4734552,POINT (16.359489561562647 48.179720097072085),4734552,,10,"Triester Straﬂe, Matzleinsdorfer Platz",8,0
FAHRRADABSTELLANLAGEOGD.4734553,POINT (16.37563700454835 48.17760019489903),4734553,,10,Senefeldergasse 6,6,0
FAHRRADABSTELLANLAGEOGD.4734554,POINT (16.26099128349379 48.19502624263824),4734554,,13,"Auhofstraﬂe 192, Pfeiffenbergergasse",4,0
FAHRRADABSTELLANLAGEOGD.4734555,POINT (16.378417782472177 48.17336009253569),4734555,,10,Reumannplatz,12,0
FAHRRADABSTELLANLAGEOGD.4734556,POINT (16.374882310256588 48.18290148846454),4734556,,10,"Reisingergasse 9, Favoritenstraﬂe",14,0
FAHRRADABSTELLANLAGEOGD.4734557,POINT (16.365383579477584 48.17716044192843),4734557,,10,"Pernerstorfergasse 77, Neilreichgasse",8,0
FAHRRADABSTELLANLAGEOGD.4734558,POINT (16.37972409566897 48.17370748886267),4734558,,10,Laaer-Berg-Straﬂe 1,12,0
FAHRRADABSTELLANLAGEOGD.4734559,POINT (16.375966833650274 48.1738798161872),4734559,,10,"Rotenhofgasse 7, Leibnitzgasse",8,0
FAHRRADABSTELLANLAGEOGD.4734560,POINT (16.432581401309683 48.244646896683435),4734560,,22,"Straﬂe der Menschenrechte 1, Schule",10,0
FAHRRADABSTELLANLAGEOGD.4734561,POINT (16.378112236878135 48.174672649870764),4734561,,10,Reumannplatz gg¸. 17,8,0
FAHRRADABSTELLANLAGEOGD.4734562,POINT (16.278042660189218 48.19261470997582),4734562,,14,"Hadikgasse - Preindlsteg, Kefergasse 2",6,0
FAHRRADABSTELLANLAGEOGD.4734563,POINT (16.386129996849252 48.24042083855061),4734563,,20,Wehlistraﬂe 55,8,0
FAHRRADABSTELLANLAGEOGD.4734564,POINT (16.464941902027153 48.235241772322865),4734564,,22,Hirschst‰ttener Straﬂe 91A,2,0
FAHRRADABSTELLANLAGEOGD.4734565,POINT (16.273972234767264 48.175567868137406),4734565,,13,Wolkersbergenstraﬂe gg¸. 120,14,0
FAHRRADABSTELLANLAGEOGD.4734566,POINT (16.440702839947857 48.250895205668996),4734566,,22,Anton-Sattler-Gasse 92,6,0
FAHRRADABSTELLANLAGEOGD.4734567,POINT (16.436564096279334 48.24683769739813),4734567,,22,Steigenteschgasse 1,12,0
FAHRRADABSTELLANLAGEOGD.4734568,POINT (16.387414855601328 48.201618710659986),4734568,,3,Ungargasse 29,4,0
FAHRRADABSTELLANLAGEOGD.4734569,POINT (16.383869080283503 48.197216679164704),4734569,,3,"Jauresgasse 9, Reisnerstraﬂe",6,0
FAHRRADABSTELLANLAGEOGD.4734570,POINT (16.3144020341473 48.198051787938596),4734570,,15,Meiselstraﬂe 48,6,0
FAHRRADABSTELLANLAGEOGD.4734571,POINT (16.364320621385975 48.22018500235348),4734571,,9,Servitengasse 8,8,0
FAHRRADABSTELLANLAGEOGD.4734572,POINT (16.35283228992218 48.223960313423774),4734572,,9,Bleichergasse 6,6,0
FAHRRADABSTELLANLAGEOGD.4734573,POINT (16.362822212618404 48.228193960692096),4734573,,9,Gussenbauergasse 6,6,0
FAHRRADABSTELLANLAGEOGD.4734574,POINT (16.4052392914684 48.250739362949425),4734574,,21,"M¸hlsch¸ttelgasse 21, 2. Eingang",4,0
FAHRRADABSTELLANLAGEOGD.4734575,POINT (16.362764464300497 48.218352739371454),4734575,,9,Berggasse 16,6,0
FAHRRADABSTELLANLAGEOGD.4734576,POINT (16.356020046461904 48.228327380668404),4734576,,9,Liechtensteinstraﬂe†111-115,4,0
FAHRRADABSTELLANLAGEOGD.4734577,POINT (16.27482826226971 48.19229308289564),4734577,,13,"Hietzinger Kai gg¸. 169, U-Bahn Ober St.Veit",20,0
FAHRRADABSTELLANLAGEOGD.4734578,POINT (16.301106175852087 48.18791806971399),4734578,,13,"Am-Hans-Moser-Park 1A, Amtshaus",8,0
FAHRRADABSTELLANLAGEOGD.4734579,POINT (16.32550731691797 48.185176496888225),4734579,,15,Rauchfangkehrergasse 41,6,0
FAHRRADABSTELLANLAGEOGD.4734580,POINT (16.327124175562894 48.198313077327285),4734580,,15,St‰ttermayergasse 26,8,0
FAHRRADABSTELLANLAGEOGD.4734581,POINT (16.351075121554477 48.223501797763525),4734581,,9,"Prechtlgasse, 3 Stk. Erweiterung am 7 12 2012   19.04.1994",24,0
FAHRRADABSTELLANLAGEOGD.4734582,POINT (16.253690061268347 48.19895848290007),4734582,,13,Auhofstraﬂe 256,6,0
FAHRRADABSTELLANLAGEOGD.4734583,POINT (16.315175876018465 48.22313253381971),4734583,,17,"Heigerleinstraﬂe, Station Hernals",8,0
FAHRRADABSTELLANLAGEOGD.4734584,POINT (16.343258101159385 48.20171563662291),4734584,,7,Schottenfeldgasse 46,6,0
FAHRRADABSTELLANLAGEOGD.4734585,POINT (16.27495336953869 48.19227597243729),4734585,,13,"Hietzinger Kai gg¸. 169, U-Bahn Ober St.Veit",20,0
FAHRRADABSTELLANLAGEOGD.4734586,POINT (16.342267142341765 48.201871555393936),4734586,,7,Westbahnstraﬂe 40,8,0
FAHRRADABSTELLANLAGEOGD.4734587,POINT (16.339623994688832 48.21407526575855),4734587,,17,Thelemangasse 1,16,0
FAHRRADABSTELLANLAGEOGD.4734588,POINT (16.36284304997076 48.22432943795944),4734588,,9,Glasergasse†8,16,0
FAHRRADABSTELLANLAGEOGD.4734589,POINT (16.344235662777976 48.201861026998884),4734589,,7,Westbahnstraﬂe 28,8,0
FAHRRADABSTELLANLAGEOGD.4734590,POINT (16.32024233334341 48.22158454990848),4734590,,17,Wurlitzergasse 93,6,0
FAHRRADABSTELLANLAGEOGD.4734591,POINT (16.337844100859314 48.200970583033616),4734591,,7,Urban-Loritz-Platz,8,0
FAHRRADABSTELLANLAGEOGD.4734592,POINT (16.337278528579148 48.19294636750943),4734592,,15,Maria-vom-Siege 3,6,0
FAHRRADABSTELLANLAGEOGD.4734593,POINT (16.29461718074287 48.18945003839925),4734593,,13,"Hietzinger Kai 59, Hietzinger Kai-Steg",12,1
FAHRRADABSTELLANLAGEOGD.4734594,POINT (16.28546640284939 48.169363475152004),4734594,,13,Speisinger Straﬂe†41,8,0
FAHRRADABSTELLANLAGEOGD.4734595,POINT (16.336520551173884 48.19498657031659),4734595,,15,Fuchsgasse†1,16,0
FAHRRADABSTELLANLAGEOGD.4734596,POINT (16.361392947838922 48.21534766951499),4734596,,9,Kolingasse†1,22,0
FAHRRADABSTELLANLAGEOGD.4734597,POINT (16.362916363431957 48.21510452613858),4734597,,9,"Maria-Theresien-Straﬂe 5, Wasagasse",4,0
FAHRRADABSTELLANLAGEOGD.4734598,POINT (16.364542175080373 48.21599408042033),4734598,,9,Peregringasse 1,8,0
FAHRRADABSTELLANLAGEOGD.4734599,POINT (16.39732101362442 48.17712695624625),4734599,,3,Schlechtastraﬂe 4,6,0
FAHRRADABSTELLANLAGEOGD.4734600,POINT (16.374353670212525 48.24864925811157),4734600,,20,Robert-Blum-Gasse 2,8,0
FAHRRADABSTELLANLAGEOGD.4734601,POINT (16.380523401467354 48.21266904673666),4734601,,2,"Praterstraﬂe 8, Groﬂe Mohrengasse",8,0
FAHRRADABSTELLANLAGEOGD.4734602,POINT (16.355413032166997 48.22911837762073),4734602,,9,"Nuﬂgasse, Vereinsstiege",6,0
FAHRRADABSTELLANLAGEOGD.4734603,POINT (16.359168899980844 48.227422682692676),4734603,,9,Badgasse 13,8,0
FAHRRADABSTELLANLAGEOGD.4734604,POINT (16.372682348747283 48.190275609379626),4734604,,4,Belvederegasse 39,2,0
FAHRRADABSTELLANLAGEOGD.4734605,POINT (16.391115825461537 48.18681646684684),4734605,,3,Kelsenstraﬂe 1,6,0
FAHRRADABSTELLANLAGEOGD.4734606,POINT (16.391850116540574 48.19544069450033),4734606,,3,Boerhavegasse 8a,6,0
FAHRRADABSTELLANLAGEOGD.4734607,POINT (16.35602845552957 48.22911452219478),4734607,,9,"Liechtensteinstraﬂe 121, Vereinsstiege",6,0
